table,column,data_type,missing_values,unique_values
branches,branch_id,str,0,6
branches,branch_name,str,0,6
branches,city,str,0,6
branches,state,str,0,6
branches,region,str,0,4
branches,warehouse_type,str,0,4
branches,warehouse_capacity,str,0,6
branches,service_center_available,str,0,2
branches,manager_id,int64,0,6
branches,total_employees,int64,0,6
branches,avg_monthly_revenue,int64,0,6
branches,monthly_operational_cost,int64,0,6
branches,market_demand_index,int64,0,4
customers,customer_id,str,0,500
customers,customer_type,str,0,5
customers,industry_segment,str,0,6
customers,city,str,0,21
customers,state,str,0,16
customers,pincode,int64,0,500
customers,region,str,0,6
customers,branch_id,str,0,6
customers,credit_limit,int64,0,500
customers,current_balance,int64,0,499
customers,payment_terms,str,0,5
customers,customer_since,str,0,467
customers,last_purchase_date,str,0,449
customers,total_purchase_value,int64,0,500
customers,customer_rating,int64,0,5
inventory_master,product_id,str,0,30
inventory_master,branch_id,str,0,6
inventory_master,opening_stock,int64,0,127
inventory_master,reorder_level,int64,0,75
inventory_master,safety_stock,int64,0,63
inventory_master,max_stock,int64,0,148
inventory_master,current_stock,int64,0,180
inventory_master,warehouse_bin,str,0,95
invoices,invoice_id,str,0,17836
invoices,so_id,str,0,18033
invoices,customer_id,str,0,500
invoices,branch_id,str,0,6
invoices,invoice_date,str,0,2203
invoices,due_date,str,0,2235
invoices,total_order_value,int64,0,16248
invoices,total_gst_amount,float64,0,16951
invoices,grand_total,float64,0,16938
invoices,payment_status,str,0,3
payments,payment_id,str,0,19055
payments,invoice_id,str,0,16036
payments,payment_date,str,0,2243
payments,payment_amount,float64,0,18778
payments,payment_method,str,0,5
products,product_id,str,0,30
products,product_name,str,0,30
products,category,str,0,15
products,machine_type,str,0,6
products,brand,str,0,6
products,model_compatibility,str,0,18
products,unit_cost,int64,0,30
products,unit_price,int64,0,28
products,margin_percentage,float64,0,30
products,gst_rate,int64,0,2
products,weight_kg,float64,0,29
products,dimensions_cm,str,0,29
products,material_type,str,0,10
products,warranty_months,int64,0,5
products,reorder_level,int64,0,20
products,safety_stock,int64,0,17
products,max_stock_level,int64,0,19
products,lead_time_days,int64,0,19
products,criticality_level,str,0,3
products,usage_frequency,str,0,3
products,uom,str,0,3
products,last_purchase_price,int64,0,30
products,last_purchase_date,str,0,30
purchase_orders_header,po_id,str,0,24000
purchase_orders_header,supplier_id,str,0,8
purchase_orders_header,branch_id,str,0,6
purchase_orders_header,order_date,str,0,2192
purchase_orders_header,expected_delivery_date,str,0,2207
purchase_orders_header,received_date,str,2370,2207
purchase_orders_header,po_status,str,0,2
purchase_orders_header,total_cost,float64,0,24000
purchase_orders_header,total_gst_amount,float64,0,24000
purchase_orders_header,grand_total,float64,0,24000
purchase_orders_lines,po_id,str,0,24000
purchase_orders_lines,line_number,int64,0,12
purchase_orders_lines,product_id,str,0,30
purchase_orders_lines,quantity,int64,0,281
purchase_orders_lines,unit_cost,float64,0,142292
purchase_orders_lines,gst_rate,int64,0,2
purchase_orders_lines,line_total,float64,0,155224
purchase_orders_lines,gst_amount,float64,0,155254
purchase_orders_lines,line_grand_total,float64,0,155269
sales_orders_header,so_id,str,0,20000
sales_orders_header,customer_id,str,0,500
sales_orders_header,branch_id,str,0,6
sales_orders_header,order_date,str,0,2192
sales_orders_header,delivery_date,str,0,2204
sales_orders_header,order_status,str,0,2
sales_orders_header,payment_terms,str,0,5
sales_orders_header,total_order_value,int64,0,17905
sales_orders_header,total_gst_amount,float64,0,18749
sales_orders_header,grand_total,float64,0,18735
sales_orders_header,sales_channel,str,0,4
sales_orders_lines,so_id,str,0,20000
sales_orders_lines,line_number,int64,0,12
sales_orders_lines,product_id,str,0,30
sales_orders_lines,quantity,int64,0,20
sales_orders_lines,unit_price,int64,0,28
sales_orders_lines,gst_rate,int64,0,2
sales_orders_lines,line_total,int64,0,534
sales_orders_lines,gst_amount,float64,0,534
sales_orders_lines,line_grand_total,float64,0,534
stock_ledger,movement_id,str,0,237230
stock_ledger,product_id,str,0,30
stock_ledger,branch_id,str,0,6
stock_ledger,movement_type,str,0,3
stock_ledger,movement_date,str,0,2218
stock_ledger,quantity,int64,0,300
stock_ledger,reference_type,str,0,3
stock_ledger,reference_id,str,0,43709
stock_ledger,running_balance,int64,0,98171
suppliers,supplier_id,str,0,8
suppliers,supplier_name,str,0,8
suppliers,supplier_type,str,0,3
suppliers,product_category,str,0,3
suppliers,city,str,0,8
suppliers,province,str,0,6
suppliers,region,str,0,3
suppliers,pincode,int64,0,8
suppliers,lead_time_days,int64,0,7
suppliers,reliability_score,int64,0,3
suppliers,import_duty_rate,int64,0,4
suppliers,china_tax_id,str,0,8
