customer_id,total_purchase_value,total_orders,total_items_purchased,last_purchase_date,recency_days,frequency,monetary,R_score,F_score,M_score,RFM_score,customer_segment
C0001,67052288.0,40,2656,2024-12-25,6,40,67052288.0,5,3,3,533,Loyal Customers
C0002,77917319.2,56,3636,2024-11-28,33,56,77917319.2,3,5,5,355,Loyal Customers
C0003,50921823.2,40,2365,2024-10-30,62,40,50921823.2,2,3,1,231,Potential / Regular
C0004,62484367.6,47,2995,2024-12-31,0,47,62484367.6,5,5,3,553,Loyal Customers
C0005,85668379.8,51,3747,2024-10-04,88,51,85668379.8,2,5,5,255,At-Risk High-Value
C0006,77685503.4,46,3221,2024-09-02,120,46,77685503.4,1,5,5,155,At-Risk High-Value
C0007,48267553.2,36,2263,2024-11-03,58,36,48267553.2,2,2,1,221,Low-Value / Inactive
C0008,49133801.0,36,2319,2024-07-16,168,36,49133801.0,1,2,1,121,Low-Value / Inactive
C0009,68836324.8,34,2677,2024-11-04,57,34,68836324.8,2,1,4,214,Potential / Regular
C0010,69405822.8,50,3255,2024-11-27,34,50,69405822.8,3,5,4,354,Loyal Customers
C0011,57187490.8,41,2717,2024-11-22,39,41,57187490.8,3,3,2,332,Potential / Regular
C0012,54659532.0,38,2001,2024-10-10,82,38,54659532.0,2,2,2,222,Low-Value / Inactive
C0013,81970974.6,49,3585,2024-10-27,65,49,81970974.6,2,5,5,255,At-Risk High-Value
C0014,55301444.6,31,2054,2024-12-21,10,31,55301444.6,5,1,2,512,New / Potential Customers
C0015,64944750.0,38,2619,2024-11-16,45,38,64944750.0,3,2,3,323,Potential / Regular
C0016,77633128.0,41,3051,2024-12-18,13,41,77633128.0,5,3,5,535,Loyal Customers
C0017,59455266.0,40,2469,2024-12-21,10,40,59455266.0,5,3,2,532,Potential / Regular
C0018,59030468.4,36,2257,2024-12-24,7,36,59030468.4,5,2,2,522,New / Potential Customers
C0019,54871093.4,43,2359,2024-12-10,21,43,54871093.4,4,4,2,442,Potential / Regular
C0020,48976856.0,41,2338,2024-10-17,75,41,48976856.0,2,3,1,231,Potential / Regular
C0021,65405456.4,47,2628,2024-11-01,60,47,65405456.4,2,5,3,253,Potential / Regular
C0022,56771100.0,39,2583,2024-11-06,55,39,56771100.0,2,3,2,232,Potential / Regular
C0023,68015185.6,37,2461,2024-12-27,4,37,68015185.6,5,2,4,524,New / Potential Customers
C0024,62453301.2,48,2666,2024-09-17,105,48,62453301.2,1,5,3,153,Potential / Regular
C0025,74907916.8,44,3107,2024-09-21,101,44,74907916.8,1,4,4,144,At-Risk High-Value
C0026,76679411.4,41,3118,2024-12-29,2,41,76679411.4,5,3,5,535,Loyal Customers
C0027,60238104.6,44,2664,2024-12-26,5,44,60238104.6,5,4,3,543,Loyal Customers
C0028,42570807.4,34,2094,2024-11-13,48,34,42570807.4,3,1,1,311,Potential / Regular
C0029,58176890.6,38,2565,2024-06-30,184,38,58176890.6,1,2,2,122,Low-Value / Inactive
C0030,64370910.6,38,2832,2024-09-02,120,38,64370910.6,1,2,3,123,Potential / Regular
C0031,66478869.4,40,2659,2024-08-13,140,40,66478869.4,1,3,3,133,Potential / Regular
