product_id,product_name,category,total_inventory_value,total_current_stock,inventory_value_pct,cumulative_value_pct,abc_class
P015,Engine Block EB-600,Engine,60411676500,632583,21.476448322878507,21.476448322878507,A
P014,Transmission Assembly TA-800,Transmission,45323915500,661663,16.112724980017106,37.58917330289562,A
P021,Boom Cylinder BC-400,Hydraulic,22449965200,630617,7.980998796949806,45.57017209984542,A
P004,Track Chain TC-45,Undercarriage,20763665000,638882,7.3815163591108295,52.951688458956255,A
P019,Swing Motor SWM-350,Hydraulic,19414168800,622249,6.901768285884937,59.85345674484119,A
P010,Turbocharger TB-900,Engine,19110067200,661248,6.793659677157537,66.64711642199873,A
P011,Hydraulic Cylinder HC-200,Hydraulic,13983363500,650389,4.971108252355413,71.61822467435414,A
P001,Hydraulic Pump HP-300,Hydraulic,12203496800,643984,4.338362773024736,75.95658744737888,A
P030,Fuel Pump FP-350,Engine,10369556000,632290,3.6863938640271767,79.64298131140606,A
P022,Control Valve CV-75,Hydraulic,8286054400,647348,2.945705688570985,82.58868699997704,B
P009,Starter Motor SM-700,Electrical,7235724450,631941,2.572311699196322,85.16099869917336,B
P023,Idler Wheel IW-55,Undercarriage,6085984000,661520,2.163577116914897,87.32457581608826,B
P006,Alternator ALT-500,Electrical,5597882100,647154,1.9900561051010832,89.31463192118935,B
P018,Wheel Rim WR-24,Undercarriage,5333731000,650455,1.8961499634865309,91.21078188467588,B
P016,Radiator RD-250,Cooling,4944888000,633960,1.7579156505352416,92.96869753521112,B
P024,Track Roller TR-60,Undercarriage,4855791200,656188,1.726241594594519,94.69493912980563,B
P005,Fuel Injector FI-220,Engine,4183507000,658820,1.4872434784010755,96.1821826082067,C
P025,Cabin Glass CG-20,Cabin,3649973600,651781,1.2975714951441686,97.47975410335087,C
P029,Pressure Sensor PS-90,Sensors,1746189500,634978,0.620773180474524,98.1005272838254,C
P012,Brake Pad BP-40,Brakes,1193592600,663107,0.42432409225508255,98.52485137608048,C
P028,Light Assembly LA-18,Electrical,905156700,624246,0.3217846651161427,98.84663604119662,C
P007,Hydraulic Hose HH-60,Hydraulic,643686540,656823,0.22883160199075872,99.07546764318738,C
P013,Seal Kit SK-15,Seals,602851000,634580,0.2143145017320556,99.28978214491944,C
P003,Air Filter AF-120,Filters,533094300,650115,0.1895158824994882,99.47929802741893,C
P020,Pivot Pin PP-12,Pins & Bushes,468949500,625266,0.16671230275805565,99.64601033017699,C
P002,Engine Oil Filter OF-90,Filters,294755400,655012,0.10478601957006416,99.75079634974706,C
P008,Bucket Tooth BT-10,Attachments,212395960,624694,0.07550710596366533,99.82630345571073,C
P017,Fan Belt FB-30,Belts,210901120,659066,0.07497568793538115,99.90127914364611,C
P027,O-Ring Set OR-50,Seals,164057660,630991,0.05832276243752932,99.95960190608363,C
P026,Grease Cartridge GC-5,Lubricants,113636880,631316,0.04039809391638298,100.00000000000001,C
