product_id,product_name,category,total_quantity_sold,cogs,current_stock,inventory_value,inventory_turnover
P029,Pressure Sensor PS-90,Sensors,47066,129431500,634978,1746189500,0.07412225305443654
P028,Light Assembly LA-18,Electrical,46164,66937800,624246,905156700,0.0739516152286118
P019,Swing Motor SWM-350,Hydraulic,45971,1434295200,622249,19414168800,0.0738787848594373
P021,Boom Cylinder BC-400,Hydraulic,46364,1650558400,630617,22449965200,0.0735216462607256
P016,Radiator RD-250,Cooling,46306,361186800,633960,4944888000,0.07304246324689255
P008,Bucket Tooth BT-10,Attachments,45376,15427840,624694,212395960,0.07263716315508073
P030,Fuel Pump FP-350,Engine,45897,752710800,632290,10369556000,0.07258852741621724
P020,Pivot Pin PP-12,Pins & Bushes,45340,34005000,625266,468949500,0.07251313840829343
P027,O-Ring Set OR-50,Seals,45678,11876280,630991,164057660,0.07239088988590962
P006,Alternator ALT-500,Electrical,46731,404223150,647154,5597882100,0.0722100149268953
P011,Hydraulic Cylinder HC-200,Hydraulic,46612,1002158000,650389,13983363500,0.07166787876178718
P015,Engine Block EB-600,Engine,45222,4318701000,632583,60411676500,0.07148785218698574
P004,Track Chain TC-45,Undercarriage,45575,1481187500,638882,20763665000,0.07133555179203671
P009,Starter Motor SM-700,Electrical,44946,514631700,631941,7235724450,0.07112372832273899
P026,Grease Cartridge GC-5,Lubricants,44844,8071920,631316,113636880,0.07103257322798726
P010,Turbocharger TB-900,Engine,46964,1357259600,661248,19110067200,0.07102327719705769
P022,Control Valve CV-75,Hydraulic,45819,586483200,647348,8286054400,0.07077954979392846
P007,Hydraulic Hose HH-60,Hydraulic,46468,45538640,656823,643686540,0.07074660905601661
P001,Hydraulic Pump HP-300,Hydraulic,45389,860121550,643984,12203496800,0.07048156475937291
P003,Air Filter AF-120,Filters,45684,37460880,650115,533094300,0.07027064442444798
P025,Cabin Glass CG-20,Cabin,45598,255348800,651781,3649973600,0.06995908134787605
P013,Seal Kit SK-15,Seals,44081,41876950,634580,602851000,0.06946484288820952
P012,Brake Pad BP-40,Brakes,45972,82749600,663107,1193592600,0.0693281778053919
P018,Wheel Rim WR-24,Undercarriage,45027,369221400,650455,5333731000,0.06922385099661006
P002,Engine Oil Filter OF-90,Filters,45342,20403900,655012,294755400,0.06922315927036451
P017,Fan Belt FB-30,Belts,45578,14584960,659066,210901120,0.06915544118494961
P005,Fuel Injector FI-220,Engine,45026,285915100,658820,4183507000,0.0683434018396527
P014,Transmission Assembly TA-800,Transmission,45035,3084897500,661663,45323915500,0.06806334946944291
P023,Idler Wheel IW-55,Undercarriage,44437,408820400,661520,6085984000,0.06717408392792357
P024,Track Roller TR-60,Undercarriage,44022,325762800,656188,4855791200,0.06708748102677892
