product_id,product_name,category,unit_cost,margin_percentage,total_quantity_sold,total_sales_value,total_orders,avg_selling_price,estimated_gross_profit
P015,Engine Block EB-600,Engine,95500,24.6,45222,5381418000,3773,119000.0,1062717000
P014,Transmission Assembly TA-800,Transmission,68500,21.8,45035,3760422500,3838,83500.0,675525000
P021,Boom Cylinder BC-400,Hydraulic,35600,29.8,46364,2142016800,3873,46200.0,491458400
P019,Swing Motor SWM-350,Hydraulic,31200,27.6,45971,1829645800,3849,39800.0,395350600
P004,Track Chain TC-45,Undercarriage,32500,22.5,45575,1813885000,3781,39800.0,332697500
P010,Turbocharger TB-900,Engine,28900,20.8,46964,1639043600,3933,34900.0,281784000
P011,Hydraulic Cylinder HC-200,Hydraulic,21500,28.4,46612,1286491200,3982,27600.0,284333200
P001,Hydraulic Pump HP-300,Hydraulic,18950,29.2,45389,1112030500,3854,24500.0,251908950
P030,Fuel Pump FP-350,Engine,16400,33.5,45897,1005144300,3856,21900.0,252433500
P022,Control Valve CV-75,Hydraulic,12800,32.0,45819,774341100,3892,16900.0,187857900
P009,Starter Motor SM-700,Electrical,11450,30.1,44946,669695400,3784,14900.0,155063700
P023,Idler Wheel IW-55,Undercarriage,9200,40.8,44437,575459150,3754,12950.0,166638750
P006,Alternator ALT-500,Electrical,8650,29.5,46731,523387200,3936,11200.0,119164050
P018,Wheel Rim WR-24,Undercarriage,8200,37.8,45027,508805100,3839,11300.0,139583700
P016,Radiator RD-250,Cooling,7800,30.8,46306,472321200,3934,10200.0,111134400
P024,Track Roller TR-60,Undercarriage,7400,39.2,44022,453426600,3762,10300.0,127663800
P005,Fuel Injector FI-220,Engine,6350,33.0,45026,380469700,3840,8450.0,94554600
P025,Cabin Glass CG-20,Cabin,5600,40.2,45598,357944300,3853,7850.0,102595500
P029,Pressure Sensor PS-90,Sensors,2750,43.6,47066,185910700,3882,3950.0,56479200
P012,Brake Pad BP-40,Brakes,1800,36.1,45972,112631400,3883,2450.0,29881800
P028,Light Assembly LA-18,Electrical,1450,55.2,46164,103869000,3917,2250.0,36931200
P007,Hydraulic Hose HH-60,Hydraulic,980,48.0,46468,67378600,3906,1450.0,21839960
P013,Seal Kit SK-15,Seals,950,52.6,44081,63917450,3783,1450.0,22040500
P003,Air Filter AF-120,Filters,820,52.4,45684,57105000,3895,1250.0,19644120
P020,Pivot Pin PP-12,Pins & Bushes,750,53.3,45340,52141000,3823,1150.0,18136000
P002,Engine Oil Filter OF-90,Filters,450,37.3,45342,32646240,3861,720.0,12242340
P008,Bucket Tooth BT-10,Attachments,340,70.6,45376,26318080,3860,580.0,10890240
P017,Fan Belt FB-30,Belts,320,62.5,45578,23700560,3913,520.0,9115600
P027,O-Ring Set OR-50,Seals,260,84.6,45678,21925440,3860,480.0,10049160
P026,Grease Cartridge GC-5,Lubricants,180,72.2,44844,13901640,3823,310.0,5829720
