product_id,product_name,category,total_current_stock,total_inventory_value,branches_affected,average_stock,average_max_stock,average_reorder_level,total_demand,average_monthly_demand,overall_demand_change_pct,demand_trend,stock_to_avg_monthly_demand,combined_risk
P015,Engine Block EB-600,Engine,632583,60411676500,6,105430.5,305.3333333333333,68.16666666666667,45222,628.0833333333334,-16.26984126984127,Decreasing,1007.1641236566272,Medium Risk - Overstock + Demand Decline
P014,Transmission Assembly TA-800,Transmission,661663,45323915500,6,110277.16666666667,319.6666666666667,62.333333333333336,45035,625.4861111111111,-13.529411764705882,Decreasing,1057.8380370822695,Medium Risk - Overstock + Demand Decline
P021,Boom Cylinder BC-400,Hydraulic,630617,22449965200,6,105102.83333333333,360.8333333333333,76.16666666666667,46364,643.9444444444445,-22.913719943422915,Strongly Decreasing,979.3034250711759,High Risk - Overstock + Strong Demand Decline
P004,Track Chain TC-45,Undercarriage,638882,20763665000,6,106480.33333333333,308.5,63.333333333333336,45575,632.9861111111111,-12.023121387283236,Decreasing,1009.3144048272079,Medium Risk - Overstock + Demand Decline
P019,Swing Motor SWM-350,Hydraulic,622249,19414168800,6,103708.16666666667,308.3333333333333,59.166666666666664,45971,638.4861111111111,-18.3206106870229,Decreasing,974.5693589436819,Medium Risk - Overstock + Demand Decline
P010,Turbocharger TB-900,Engine,661248,19110067200,6,110208.0,254.0,50.166666666666664,46964,652.2777777777778,-44.414535666218036,Strongly Decreasing,1013.7521505834255,High Risk - Overstock + Strong Demand Decline
P011,Hydraulic Cylinder HC-200,Hydraulic,650389,13983363500,6,108398.16666666667,329.3333333333333,65.16666666666667,46612,647.3888888888889,-15.66265060240964,Decreasing,1004.6341714579936,Medium Risk - Overstock + Demand Decline
P001,Hydraulic Pump HP-300,Hydraulic,643984,12203496800,6,107330.66666666667,391.1666666666667,72.16666666666667,45389,630.4027777777778,39.96101364522417,Strongly Increasing,1021.543722047192,Growth Opportunity - Overstock + Rising Demand
P030,Fuel Pump FP-350,Engine,632290,10369556000,6,105381.66666666667,288.1666666666667,55.666666666666664,45897,637.4583333333334,-3.428571428571429,Stable,991.8922805412118,Medium Risk - Overstock + Demand Decline
P022,Control Valve CV-75,Hydraulic,647348,8286054400,6,107891.33333333333,337.0,72.66666666666667,45819,636.375,-38.03009575923393,Strongly Decreasing,1017.2429778039677,High Risk - Overstock + Strong Demand Decline
P009,Starter Motor SM-700,Electrical,631941,7235724450,6,105323.5,327.1666666666667,66.5,44946,624.25,-12.802768166089965,Decreasing,1012.3203844613536,Medium Risk - Overstock + Demand Decline
P023,Idler Wheel IW-55,Undercarriage,661520,6085984000,6,110253.33333333333,263.8333333333333,56.0,44437,617.1805555555555,-46.808510638297875,Strongly Decreasing,1071.8419335238652,High Risk - Overstock + Strong Demand Decline
P006,Alternator ALT-500,Electrical,647154,5597882100,6,107859.0,285.8333333333333,55.333333333333336,46731,649.0416666666666,11.181434599156118,Increasing,997.0916094241511,Monitor - Overstock + Stable/Moderate Demand
P018,Wheel Rim WR-24,Undercarriage,650455,5333731000,6,108409.16666666667,401.5,80.83333333333333,45027,625.375,-32.73231622746186,Strongly Decreasing,1040.1039376374176,High Risk - Overstock + Strong Demand Decline
P016,Radiator RD-250,Cooling,633960,4944888000,6,105660.0,288.6666666666667,57.666666666666664,46306,643.1388888888889,-23.26732673267327,Strongly Decreasing,985.7279834146763,High Risk - Overstock + Strong Demand Decline
P024,Track Roller TR-60,Undercarriage,656188,4855791200,6,109364.66666666667,331.1666666666667,72.0,44022,611.4166666666666,-19.801980198019802,Decreasing,1073.2255690336651,Medium Risk - Overstock + Demand Decline
P005,Fuel Injector FI-220,Engine,658820,4183507000,6,109803.33333333333,351.3333333333333,72.16666666666667,45026,625.3611111111111,4.448105436573312,Stable,1053.5033091991295,Monitor - Overstock + Stable/Moderate Demand
P025,Cabin Glass CG-20,Cabin,651781,3649973600,6,108630.16666666667,355.6666666666667,72.83333333333333,45598,633.3055555555555,13.259668508287293,Increasing,1029.173033904996,Monitor - Overstock + Stable/Moderate Demand
P029,Pressure Sensor PS-90,Sensors,634978,1746189500,6,105829.66666666667,243.66666666666666,48.0,47066,653.6944444444445,-7.9178885630498534,Decreasing,971.3682063485319,Medium Risk - Overstock + Demand Decline
P012,Brake Pad BP-40,Brakes,663107,1193592600,6,110517.83333333333,306.0,60.166666666666664,45972,638.5,-6.239737274220033,Decreasing,1038.538762725137,Medium Risk - Overstock + Demand Decline
