month,product_id,total_quantity,total_orders,sales_value,product_name,category,previous_month_quantity,demand_change_pct
2019-01,P001,513,56,12568500,Hydraulic Pump HP-300,Hydraulic,,
2019-02,P001,429,32,10510500,Hydraulic Pump HP-300,Hydraulic,513.0,-16.374269005847953
2019-03,P001,642,52,15729000,Hydraulic Pump HP-300,Hydraulic,429.0,49.65034965034965
2019-04,P001,549,51,13450500,Hydraulic Pump HP-300,Hydraulic,642.0,-14.485981308411214
2019-05,P001,748,67,18326000,Hydraulic Pump HP-300,Hydraulic,549.0,36.247723132969035
2019-06,P001,732,56,17934000,Hydraulic Pump HP-300,Hydraulic,748.0,-2.13903743315508
2019-07,P001,860,70,21070000,Hydraulic Pump HP-300,Hydraulic,732.0,17.48633879781421
2019-08,P001,622,55,15239000,Hydraulic Pump HP-300,Hydraulic,860.0,-27.674418604651162
2019-09,P001,580,51,14210000,Hydraulic Pump HP-300,Hydraulic,622.0,-6.752411575562702
2019-10,P001,654,51,16023000,Hydraulic Pump HP-300,Hydraulic,580.0,12.758620689655173
2019-11,P001,587,46,14381500,Hydraulic Pump HP-300,Hydraulic,654.0,-10.244648318042813
2019-12,P001,586,52,14357000,Hydraulic Pump HP-300,Hydraulic,587.0,-0.17035775127768313
2020-01,P001,777,65,19036500,Hydraulic Pump HP-300,Hydraulic,586.0,32.593856655290104
2020-02,P001,450,37,11025000,Hydraulic Pump HP-300,Hydraulic,777.0,-42.084942084942085
2020-03,P001,608,51,14896000,Hydraulic Pump HP-300,Hydraulic,450.0,35.11111111111111
2020-04,P001,663,50,16243500,Hydraulic Pump HP-300,Hydraulic,608.0,9.046052631578947
2020-05,P001,745,61,18252500,Hydraulic Pump HP-300,Hydraulic,663.0,12.368024132730016
2020-06,P001,525,43,12862500,Hydraulic Pump HP-300,Hydraulic,745.0,-29.53020134228188
2020-07,P001,811,68,19869500,Hydraulic Pump HP-300,Hydraulic,525.0,54.47619047619048
2020-08,P001,825,62,20212500,Hydraulic Pump HP-300,Hydraulic,811.0,1.726263871763255
2020-09,P001,545,55,13352500,Hydraulic Pump HP-300,Hydraulic,825.0,-33.939393939393945
