product_id,product_name,category,total_demand,total_orders,total_sales_value,average_monthly_demand,first_month_demand,latest_month_demand,overall_demand_change_pct,demand_trend
P001,Hydraulic Pump HP-300,Hydraulic,45389,3854,1112030500,630.4027777777778,513,718,39.96101364522417,Strongly Increasing
P002,Engine Oil Filter OF-90,Filters,45342,3861,32646240,629.75,513,710,38.40155945419103,Strongly Increasing
P003,Air Filter AF-120,Filters,45684,3895,57105000,634.5,537,559,4.0968342644320295,Stable
P004,Track Chain TC-45,Undercarriage,45575,3781,1813885000,632.9861111111111,865,761,-12.023121387283236,Decreasing
P005,Fuel Injector FI-220,Engine,45026,3840,380469700,625.3611111111111,607,634,4.448105436573312,Stable
P006,Alternator ALT-500,Electrical,46731,3936,523387200,649.0416666666666,474,527,11.181434599156118,Increasing
P007,Hydraulic Hose HH-60,Hydraulic,46468,3906,67378600,645.3888888888889,517,597,15.473887814313347,Increasing
P008,Bucket Tooth BT-10,Attachments,45376,3860,26318080,630.2222222222222,586,754,28.668941979522184,Strongly Increasing
P009,Starter Motor SM-700,Electrical,44946,3784,669695400,624.25,578,504,-12.802768166089965,Decreasing
P010,Turbocharger TB-900,Engine,46964,3933,1639043600,652.2777777777778,743,413,-44.414535666218036,Strongly Decreasing
P011,Hydraulic Cylinder HC-200,Hydraulic,46612,3982,1286491200,647.3888888888889,747,630,-15.66265060240964,Decreasing
P012,Brake Pad BP-40,Brakes,45972,3883,112631400,638.5,609,571,-6.239737274220033,Decreasing
P013,Seal Kit SK-15,Seals,44081,3783,63917450,612.2361111111111,563,698,23.978685612788635,Strongly Increasing
P014,Transmission Assembly TA-800,Transmission,45035,3838,3760422500,625.4861111111111,680,588,-13.529411764705882,Decreasing
P015,Engine Block EB-600,Engine,45222,3773,5381418000,628.0833333333334,756,633,-16.26984126984127,Decreasing
P016,Radiator RD-250,Cooling,46306,3934,472321200,643.1388888888889,606,465,-23.26732673267327,Strongly Decreasing
P017,Fan Belt FB-30,Belts,45578,3913,23700560,633.0277777777778,671,461,-31.296572280178836,Strongly Decreasing
P018,Wheel Rim WR-24,Undercarriage,45027,3839,508805100,625.375,721,485,-32.73231622746186,Strongly Decreasing
P019,Swing Motor SWM-350,Hydraulic,45971,3849,1829645800,638.4861111111111,786,642,-18.3206106870229,Decreasing
P020,Pivot Pin PP-12,Pins & Bushes,45340,3823,52141000,629.7222222222222,569,511,-10.193321616871705,Decreasing
P021,Boom Cylinder BC-400,Hydraulic,46364,3873,2142016800,643.9444444444445,707,545,-22.913719943422915,Strongly Decreasing
P022,Control Valve CV-75,Hydraulic,45819,3892,774341100,636.375,731,453,-38.03009575923393,Strongly Decreasing
P023,Idler Wheel IW-55,Undercarriage,44437,3754,575459150,617.1805555555555,846,450,-46.808510638297875,Strongly Decreasing
P024,Track Roller TR-60,Undercarriage,44022,3762,453426600,611.4166666666666,606,486,-19.801980198019802,Decreasing
P025,Cabin Glass CG-20,Cabin,45598,3853,357944300,633.3055555555555,543,615,13.259668508287293,Increasing
P026,Grease Cartridge GC-5,Lubricants,44844,3823,13901640,622.8333333333334,558,677,21.32616487455197,Strongly Increasing
P027,O-Ring Set OR-50,Seals,45678,3860,21925440,634.4166666666666,534,646,20.973782771535582,Strongly Increasing
P028,Light Assembly LA-18,Electrical,46164,3917,103869000,641.1666666666666,650,672,3.3846153846153846,Stable
P029,Pressure Sensor PS-90,Sensors,47066,3882,185910700,653.6944444444445,682,628,-7.9178885630498534,Decreasing
P030,Fuel Pump FP-350,Engine,45897,3856,1005144300,637.4583333333334,525,507,-3.428571428571429,Stable
