month,total_units_sold,total_revenue,order_count,active_products,year,month_number,units_mom_change_pct,revenue_mom_change_pct,units_yoy_change_pct,revenue_yoy_change_pct,demand_level
2019-01,17188,357413990,254,30,2019,1,,,,,Normal Demand
2019-02,14117,258162180,220,30,2019,2,-17.867116592971843,-27.76942503006108,,,Low Demand
2019-03,18013,342412430,266,30,2019,3,27.59793157186372,32.63462138412374,,,High Demand
2019-04,17860,332472000,258,30,2019,4,-0.8493865541553292,-2.903057578838475,,,High Demand
2019-05,18496,339264250,264,30,2019,5,3.5610302351623657,2.042953993118224,,,High Demand
2019-06,16734,303356270,239,30,2019,6,-9.52638408304498,-10.584074213537086,,,Normal Demand
2019-07,19642,366469350,266,30,2019,7,17.37779371339787,20.804936716818155,,,High Demand
2019-08,19033,348201880,271,30,2019,8,-3.1004989308624387,-4.984719731677423,,,High Demand
2019-09,16830,302099990,247,30,2019,9,-11.574633531235223,-13.239988824873661,,,Normal Demand
2019-10,16823,317957620,239,30,2019,10,-0.041592394533573884,5.249132911258947,,,Normal Demand
2019-11,17304,319773930,269,30,2019,11,2.859180883314516,0.5712427964456479,,,Normal Demand
2019-12,15885,282432710,238,30,2019,12,-8.200416088765605,-11.677380954726358,,,Low Demand
2020-01,16441,316348040,248,30,2020,1,3.5001573811772158,12.008286858841522,-4.346055387479641,-11.489743308592926,Normal Demand
2020-02,15393,273133120,222,30,2020,2,-6.3743081321087525,-13.66056195574975,9.038747609265418,5.799044616062665,Low Demand
2020-03,16317,298756050,223,30,2020,3,6.002728512960442,9.381114234699917,-9.415422195081335,-12.749648136313274,Normal Demand
2020-04,16060,299107250,222,30,2020,4,-1.5750444321872892,0.11755410476206318,-10.078387458006722,-10.035356360836401,Low Demand
2020-05,19488,359390320,291,30,2020,5,21.344956413449555,20.15433260143309,5.363321799307963,5.932269609898477,High Demand
2020-06,17130,324524990,249,30,2020,6,-12.099753694581283,-9.701243483686483,2.3664395840803154,6.978171243996378,Normal Demand
2020-07,22304,407508620,312,30,2020,7,30.204319906596623,25.570798107104164,13.552591385805934,11.198554531231597,High Demand
2020-08,20237,362475030,265,30,2020,8,-9.267395982783356,-11.050953965096488,6.3258550937844715,4.099101934774163,High Demand
2020-09,16503,312615830,236,30,2020,9,-18.45135148490389,-13.755209565745808,-1.9429590017825293,3.4809137199905305,Normal Demand
2020-10,16247,302490750,245,30,2020,10,-1.5512331091316778,-3.238825110040011,-3.4238839683766287,-4.864443884062286,Low Demand
2020-11,18034,308329270,263,30,2020,11,10.998953652982092,1.9301482772613676,4.218677762367085,-3.578984690840803,High Demand
2020-12,17853,352852850,262,30,2020,12,-1.0036597537983805,14.440270299345892,12.389046270066096,24.933422194617606,Normal Demand
2021-01,18203,351237570,257,30,2021,1,1.9604548255195198,-0.4577772292330917,10.717109664862235,11.028843421947542,High Demand
2021-02,17227,317844230,245,30,2021,2,-5.361753557105975,-9.507337156443718,11.914506593906316,16.369713786449623,Normal Demand
2021-03,16612,311500650,242,30,2021,3,-3.56997736111917,-1.9958141130955842,1.8079303793589574,4.265888506693005,Normal Demand
2021-04,16107,314602910,246,30,2021,4,-3.0399711052251366,0.9959080342208049,0.29265255292652004,5.180636711413711,Low Demand
2021-05,16604,311761690,245,30,2021,5,3.085614950021731,-0.9031130703781476,-14.798850574712642,-13.252619046612047,Normal Demand
2021-06,15816,288973320,239,30,2021,6,-4.745844374849428,-7.309547879343359,-7.670753064798596,-10.954986856328075,Low Demand
2021-07,17061,310246220,256,30,2021,7,7.871775417298932,7.361544657479113,-23.506994261119086,-23.867568740018307,Normal Demand
2021-08,18048,336400590,233,30,2021,8,5.785123966942152,8.430197795802318,-10.816820675001237,-7.1934444698163125,High Demand
2021-09,16378,309288000,248,30,2021,9,-9.253102836879435,-8.059614283078398,-0.7574380415682036,-1.0645110325987028,Normal Demand
