customer_id,customer_type,industry_segment,region,delivered_order_count,total_revenue,average_order_value,unique_sales_channels,preferred_sales_channel,preferred_channel_orders,preferred_channel_revenue,preferred_channel_revenue_share_pct,channel_diversification_class,channel_preference_class
C0001,Retail,Construction,East,34,55019747.4,1618227.8647058823,4,Field Sales,10,16385468.8,29.78,Multi-Channel Customer,No Sales
C0002,Fleet Owner,Manufacturing,South,51,71712838.0,1406134.0784313725,4,Field Sales,18,26996855.8,37.65,Multi-Channel Customer,No Sales
C0003,Government,Logistics,West,38,44728031.8,1177053.4684210524,4,Counter Sale,13,20963210.4,46.87,Multi-Channel Customer,Counter Sale Preferred
C0004,Fleet Owner,Logistics,South,46,60843242.8,1322679.1913043477,4,Counter Sale,13,19779035.2,32.51,Multi-Channel Customer,Counter Sale Preferred
C0005,Dealer,Construction,West,45,74996415.4,1666587.008888889,4,Counter Sale,15,29690072.400000002,39.59,Multi-Channel Customer,Counter Sale Preferred
C0006,Government,Construction,West,40,65482805.4,1637070.135,4,Dealer Network,14,24814420.8,37.89,Multi-Channel Customer,Dealer Network Preferred
C0007,Corporate,Manufacturing,West,31,36509378.2,1177721.8774193549,4,Counter Sale,7,15304462.6,41.92,Multi-Channel Customer,Counter Sale Preferred
C0008,Corporate,Logistics,West,34,48368868.0,1422613.7647058824,4,Online,14,21069559.6,43.56,Multi-Channel Customer,Online Preferred
C0009,Corporate,Rental,West,34,68836324.8,2024597.788235294,4,Field Sales,10,28039680.2,40.73,Multi-Channel Customer,No Sales
C0010,Dealer,Construction,South,46,63051038.4,1370674.7478260868,4,Dealer Network,16,26907097.6,42.68,Multi-Channel Customer,Dealer Network Preferred
C0011,Retail,Infrastructure,West,41,57187490.8,1394816.8487804877,4,Field Sales,13,19420888.8,33.96,Multi-Channel Customer,No Sales
C0012,Fleet Owner,Logistics,South,37,53404468.4,1443364.0108108108,4,Counter Sale,8,17067669.2,31.96,Multi-Channel Customer,Counter Sale Preferred
C0013,Dealer,Construction,West,44,76843692.4,1746447.5545454547,4,Field Sales,11,25911212.6,33.72,Multi-Channel Customer,No Sales
C0014,Fleet Owner,Construction,East,27,41523847.6,1537920.2814814816,4,Dealer Network,9,16297846.8,39.25,Multi-Channel Customer,Dealer Network Preferred
C0015,Government,Rental,West,34,61028370.8,1794952.0823529412,4,Counter Sale,12,20292512.8,33.25,Multi-Channel Customer,Counter Sale Preferred
C0016,Government,Rental,East,35,70872336.2,2024923.8914285714,4,Dealer Network,11,23047389.8,32.52,Multi-Channel Customer,Dealer Network Preferred
C0017,Government,Infrastructure,South,39,59194497.0,1517807.6153846155,4,Online,13,20090790.8,33.94,Multi-Channel Customer,Online Preferred
C0018,Retail,Construction,West,31,49286607.8,1589890.5741935482,4,Field Sales,10,20235807.6,41.06,Multi-Channel Customer,No Sales
C0019,Government,Logistics,East,37,42528118.4,1149408.6054054054,4,Online,10,13206318.6,31.05,Multi-Channel Customer,Online Preferred
C0020,Dealer,Logistics,East,37,42586254.6,1150979.854054054,4,Dealer Network,14,19332225.400000002,45.4,Multi-Channel Customer,Dealer Network Preferred
C0021,Corporate,Mining,South,45,59956738.4,1332371.9644444445,4,Field Sales,17,27840038.8,46.43,Multi-Channel Customer,No Sales
C0022,Retail,Infrastructure,South,38,56759064.0,1493659.5789473683,4,Dealer Network,13,19957052.8,35.16,Multi-Channel Customer,Dealer Network Preferred
C0023,Corporate,Mining,South,32,58217713.2,1819303.5375,4,Dealer Network,10,19564137.4,33.61,Multi-Channel Customer,Dealer Network Preferred
C0024,Dealer,Rental,South,44,60658309.2,1378597.9363636365,4,Online,18,38119151.4,62.84,Multi-Channel Customer,Online Preferred
C0025,Corporate,Infrastructure,West,38,70349653.0,1851306.6578947369,4,Counter Sale,9,23375798.4,33.23,Multi-Channel Customer,Counter Sale Preferred
C0026,Fleet Owner,Mining,North,36,60554977.0,1682082.6944444445,4,Online,12,22734310.4,37.54,Multi-Channel Customer,Online Preferred
C0027,Fleet Owner,Logistics,West,39,54309976.4,1392563.4974358974,4,Counter Sale,14,20430606.6,37.62,Multi-Channel Customer,Counter Sale Preferred
C0028,Retail,Infrastructure,South,29,38208624.0,1317538.7586206896,4,Counter Sale,7,13066863.399999999,34.2,Multi-Channel Customer,Counter Sale Preferred
C0029,Dealer,Construction,South,38,58176890.6,1530970.805263158,4,Counter Sale,14,23322942.0,40.09,Multi-Channel Customer,Counter Sale Preferred
C0030,Corporate,Construction,South,32,58263942.8,1820748.2125,4,Dealer Network,10,26494110.0,45.47,Multi-Channel Customer,Dealer Network Preferred
C0031,Government,Mining,East,34,50500841.8,1485318.8764705881,4,Dealer Network,14,22846260.4,45.24,Multi-Channel Customer,Dealer Network Preferred
C0032,Government,Logistics,West,44,71991263.0,1636165.0681818181,4,Field Sales,15,27466224.8,38.15,Multi-Channel Customer,No Sales
C0033,Government,Mining,South,30,49354094.2,1645136.4733333334,4,Dealer Network,9,16886348.2,34.21,Multi-Channel Customer,Dealer Network Preferred
C0034,Government,Construction,West,32,42477752.2,1327429.75625,4,Field Sales,10,18911597.4,44.52,Multi-Channel Customer,No Sales
C0035,Dealer,Infrastructure,Central,38,53340276.800000004,1403691.494736842,4,Field Sales,10,17134245.8,32.12,Multi-Channel Customer,No Sales
C0036,Fleet Owner,Construction,East,31,48929201.8,1578361.3483870968,4,Counter Sale,12,16157282.6,33.02,Multi-Channel Customer,Counter Sale Preferred
C0037,Corporate,Construction,West,36,45505928.0,1264053.5555555555,4,Online,12,16919241.0,37.18,Multi-Channel Customer,Online Preferred
C0038,Fleet Owner,Rental,North,36,57808311.2,1605786.4222222222,4,Dealer Network,16,33522777.6,57.99,Multi-Channel Customer,Dealer Network Preferred
C0039,Fleet Owner,Rental,South,38,62706510.2,1650171.3210526316,4,Field Sales,9,20494240.4,32.68,Multi-Channel Customer,No Sales
C0040,Government,Logistics,North,43,53757984.6,1250185.688372093,4,Counter Sale,15,21921638.8,40.78,Multi-Channel Customer,Counter Sale Preferred
C0041,Government,Rental,South,38,68044561.6,1790646.3578947366,4,Online,12,20131896.2,29.59,Multi-Channel Customer,Online Preferred
C0042,Fleet Owner,Rental,South,41,73882726.2,1802017.712195122,4,Counter Sale,14,27407469.4,37.1,Multi-Channel Customer,Counter Sale Preferred
C0043,Corporate,Construction,South,36,47644638.800000004,1323462.188888889,4,Dealer Network,15,18345886.4,38.51,Multi-Channel Customer,Dealer Network Preferred
C0044,Government,Mining,West,34,49589458.0,1458513.4705882352,4,Online,13,17263353.4,34.81,Multi-Channel Customer,Online Preferred
C0045,Corporate,Rental,East,42,75275350.60000001,1792270.2523809527,4,Field Sales,13,25792941.6,34.26,Multi-Channel Customer,No Sales
C0046,Retail,Rental,West,46,87078641.0,1893013.9347826086,4,Counter Sale,12,27656064.2,31.76,Multi-Channel Customer,Counter Sale Preferred
C0047,Corporate,Rental,West,30,57880918.0,1929363.9333333333,4,Dealer Network,13,27536519.4,47.57,Multi-Channel Customer,Dealer Network Preferred
C0048,Dealer,Mining,South,31,49413459.2,1593982.5548387098,4,Online,11,19623231.6,39.71,Multi-Channel Customer,Online Preferred
C0049,Dealer,Manufacturing,South,39,82316206.2,2110671.953846154,4,Online,13,27592913.8,33.52,Multi-Channel Customer,Online Preferred
