customer_id,customer_type,industry_segment,region,first_purchase_date,last_purchase_date,delivered_order_count,total_revenue,average_order_value,customer_lifetime_days,customer_lifetime_years,orders_per_year,days_since_last_purchase,churn_status,churn_risk_score,churn_risk_class,revenue_at_risk,churn_priority_score,churn_priority_class
C0001,Retail,Construction,East,2019-01-26,2024-11-15,34,55019747.4,1618227.8647058823,2120,5.804243668720055,5.8577830188679245,47,Active Customer,0,Low Churn Risk,0.0,16.28,Low Retention Priority
C0002,Fleet Owner,Manufacturing,South,2019-01-24,2024-09-07,51,71712838.0,1406134.0784313725,2053,5.620807665982204,9.073429128105213,116,At Risk,40,Moderate Churn Risk,71712838.0,59.91,High Retention Priority
C0003,Government,Logistics,West,2019-04-05,2024-10-30,38,44728031.8,1177053.4684210524,2035,5.5715263518138265,6.82039312039312,63,At Risk,40,Moderate Churn Risk,44728031.8,37.32,Medium Retention Priority
C0004,Fleet Owner,Logistics,South,2019-03-21,2024-12-31,46,60843242.8,1322679.1913043477,2112,5.782340862422998,7.955255681818182,1,Active Customer,0,Low Churn Risk,0.0,29.23,Low Retention Priority
C0005,Dealer,Construction,West,2019-02-28,2024-10-04,45,74996415.4,1666587.008888889,2045,5.598904859685147,8.037286063569683,89,At Risk,40,Moderate Churn Risk,74996415.4,60.0,High Retention Priority
C0006,Government,Construction,West,2019-06-05,2024-09-02,40,65482805.4,1637070.135,1916,5.245722108145106,7.625260960334029,121,Churn Risk,70,High Churn Risk,65482805.4,71.76,High Retention Priority
C0007,Corporate,Manufacturing,West,2019-05-08,2024-11-03,31,36509378.2,1177721.8774193549,2006,5.492128678986996,5.6444416749750745,59,Active Customer,0,Low Churn Risk,0.0,3.9,Low Retention Priority
C0008,Corporate,Logistics,West,2019-03-04,2024-07-16,34,48368868.0,1422613.7647058824,1961,5.368925393566051,6.332738398776135,169,Churn Risk,70,High Churn Risk,48368868.0,53.94,High Retention Priority
C0009,Corporate,Rental,West,2019-04-14,2024-11-04,34,68836324.8,2024597.788235294,2031,5.560574948665297,6.114475627769572,58,Active Customer,0,Low Churn Risk,0.0,25.88,Low Retention Priority
C0010,Dealer,Construction,South,2019-01-23,2024-11-27,46,63051038.4,1370674.7478260868,2135,5.845311430527036,7.869555035128806,35,Active Customer,0,Low Churn Risk,0.0,30.83,Low Retention Priority
C0011,Retail,Infrastructure,West,2019-01-03,2024-11-22,41,57187490.8,1394816.8487804877,2150,5.886379192334018,6.965232558139535,40,Active Customer,0,Low Churn Risk,0.0,24.0,Low Retention Priority
C0012,Fleet Owner,Logistics,South,2019-01-28,2024-10-10,37,53404468.4,1443364.0108108108,2082,5.700205338809035,6.49099423631124,83,At Risk,40,Moderate Churn Risk,53404468.4,41.99,Medium Retention Priority
C0013,Dealer,Construction,West,2019-01-02,2024-10-27,44,76843692.4,1746447.5545454547,2125,5.817932922655715,7.562823529411765,66,At Risk,40,Moderate Churn Risk,76843692.4,59.95,High Retention Priority
C0014,Fleet Owner,Construction,East,2019-03-05,2024-12-21,27,41523847.6,1537920.2814814816,2118,5.798767967145791,4.656161473087819,11,Active Customer,0,Low Churn Risk,0.0,2.76,Low Retention Priority
C0015,Government,Rental,West,2019-02-18,2024-11-16,34,61028370.8,1794952.0823529412,2098,5.7440109514031485,5.919208770257388,46,Active Customer,0,Low Churn Risk,0.0,21.38,Low Retention Priority
C0016,Government,Rental,East,2019-01-18,2024-12-18,35,70872336.2,2024923.8914285714,2161,5.916495550992471,5.915664044423878,14,Active Customer,0,Low Churn Risk,0.0,27.78,Low Retention Priority
C0017,Government,Infrastructure,South,2019-01-31,2024-12-21,39,59194497.0,1517807.6153846155,2151,5.88911704312115,6.622384937238493,11,Active Customer,0,Low Churn Risk,0.0,24.56,Low Retention Priority
C0018,Retail,Construction,West,2019-06-10,2024-11-14,31,49286607.8,1589890.5741935482,1984,5.431895961670089,5.70703125,48,Active Customer,0,Low Churn Risk,0.0,9.65,Low Retention Priority
C0019,Government,Logistics,East,2019-01-19,2024-12-10,37,42528118.4,1149408.6054054054,2152,5.891854893908282,6.27985594795539,22,Active Customer,0,Low Churn Risk,0.0,11.54,Low Retention Priority
C0020,Dealer,Logistics,East,2019-01-26,2024-10-17,37,42586254.6,1150979.854054054,2091,5.724845995893224,6.4630559540889525,76,At Risk,40,Moderate Churn Risk,42586254.6,35.64,Medium Retention Priority
C0021,Corporate,Mining,South,2019-01-16,2024-10-01,45,59956738.4,1332371.9644444445,2085,5.708418891170431,7.883093525179857,92,At Risk,40,Moderate Churn Risk,59956738.4,51.95,Medium Retention Priority
