customer_id,first_purchase_date,last_purchase_date,delivered_order_count,total_revenue,cohort_year,cohort_month,customer_lifespan_days,customer_lifespan_years,repeat_purchase_status,repeat_purchase_flag,purchase_frequency_class,average_order_value,customer_type,industry_segment,region
C0001,2019-01-26,2024-11-15,34,55019747.4,2019,2019-01,2120,5.804243668720055,Repeat Customer,1,Frequent,1618227.8647058823,Retail,Construction,East
C0002,2019-01-24,2024-09-07,51,71712838.0,2019,2019-01,2053,5.620807665982204,Repeat Customer,1,Very Frequent,1406134.0784313725,Fleet Owner,Manufacturing,South
C0003,2019-04-05,2024-10-30,38,44728031.8,2019,2019-04,2035,5.5715263518138265,Repeat Customer,1,Frequent,1177053.4684210524,Government,Logistics,West
C0004,2019-03-21,2024-12-31,46,60843242.8,2019,2019-03,2112,5.782340862422998,Repeat Customer,1,Very Frequent,1322679.1913043477,Fleet Owner,Logistics,South
C0005,2019-02-28,2024-10-04,45,74996415.4,2019,2019-02,2045,5.598904859685147,Repeat Customer,1,Very Frequent,1666587.008888889,Dealer,Construction,West
C0006,2019-06-05,2024-09-02,40,65482805.4,2019,2019-06,1916,5.245722108145106,Repeat Customer,1,Very Frequent,1637070.135,Government,Construction,West
C0007,2019-05-08,2024-11-03,31,36509378.2,2019,2019-05,2006,5.492128678986996,Repeat Customer,1,Frequent,1177721.8774193549,Corporate,Manufacturing,West
C0008,2019-03-04,2024-07-16,34,48368868.0,2019,2019-03,1961,5.368925393566051,Repeat Customer,1,Frequent,1422613.7647058824,Corporate,Logistics,West
C0009,2019-04-14,2024-11-04,34,68836324.8,2019,2019-04,2031,5.560574948665297,Repeat Customer,1,Frequent,2024597.788235294,Corporate,Rental,West
C0010,2019-01-23,2024-11-27,46,63051038.4,2019,2019-01,2135,5.845311430527036,Repeat Customer,1,Very Frequent,1370674.7478260868,Dealer,Construction,South
C0011,2019-01-03,2024-11-22,41,57187490.8,2019,2019-01,2150,5.886379192334018,Repeat Customer,1,Very Frequent,1394816.8487804877,Retail,Infrastructure,West
C0012,2019-01-28,2024-10-10,37,53404468.4,2019,2019-01,2082,5.700205338809035,Repeat Customer,1,Frequent,1443364.0108108108,Fleet Owner,Logistics,South
C0013,2019-01-02,2024-10-27,44,76843692.4,2019,2019-01,2125,5.817932922655715,Repeat Customer,1,Very Frequent,1746447.5545454547,Dealer,Construction,West
C0014,2019-03-05,2024-12-21,27,41523847.6,2019,2019-03,2118,5.798767967145791,Repeat Customer,1,Moderate,1537920.2814814816,Fleet Owner,Construction,East
C0015,2019-02-18,2024-11-16,34,61028370.8,2019,2019-02,2098,5.7440109514031485,Repeat Customer,1,Frequent,1794952.0823529412,Government,Rental,West
C0016,2019-01-18,2024-12-18,35,70872336.2,2019,2019-01,2161,5.916495550992471,Repeat Customer,1,Frequent,2024923.8914285714,Government,Rental,East
C0017,2019-01-31,2024-12-21,39,59194497.0,2019,2019-01,2151,5.88911704312115,Repeat Customer,1,Frequent,1517807.6153846155,Government,Infrastructure,South
C0018,2019-06-10,2024-11-14,31,49286607.8,2019,2019-06,1984,5.431895961670089,Repeat Customer,1,Frequent,1589890.5741935482,Retail,Construction,West
C0019,2019-01-19,2024-12-10,37,42528118.4,2019,2019-01,2152,5.891854893908282,Repeat Customer,1,Frequent,1149408.6054054054,Government,Logistics,East
C0020,2019-01-26,2024-10-17,37,42586254.6,2019,2019-01,2091,5.724845995893224,Repeat Customer,1,Frequent,1150979.854054054,Dealer,Logistics,East
C0021,2019-01-16,2024-10-01,45,59956738.4,2019,2019-01,2085,5.708418891170431,Repeat Customer,1,Very Frequent,1332371.9644444445,Corporate,Mining,South
C0022,2019-01-13,2024-11-06,38,56759064.0,2019,2019-01,2124,5.815195071868583,Repeat Customer,1,Frequent,1493659.5789473683,Retail,Infrastructure,South
C0023,2019-01-05,2024-12-27,32,58217713.2,2019,2019-01,2183,5.976728268309377,Repeat Customer,1,Frequent,1819303.5375,Corporate,Mining,South
C0024,2019-01-22,2024-09-17,44,60658309.2,2019,2019-01,2065,5.653661875427789,Repeat Customer,1,Very Frequent,1378597.9363636365,Dealer,Rental,South
C0025,2019-01-29,2024-08-18,38,70349653.0,2019,2019-01,2028,5.552361396303901,Repeat Customer,1,Frequent,1851306.6578947369,Corporate,Infrastructure,West
C0026,2019-01-09,2024-12-29,36,60554977.0,2019,2019-01,2181,5.971252566735113,Repeat Customer,1,Frequent,1682082.6944444445,Fleet Owner,Mining,North
C0027,2019-03-25,2024-12-26,39,54309976.4,2019,2019-03,2103,5.757700205338809,Repeat Customer,1,Frequent,1392563.4974358974,Fleet Owner,Logistics,West
C0028,2019-01-22,2024-11-13,29,38208624.0,2019,2019-01,2122,5.809719370294319,Repeat Customer,1,Moderate,1317538.7586206896,Retail,Infrastructure,South
C0029,2019-01-16,2024-06-30,38,58176890.6,2019,2019-01,1992,5.453798767967146,Repeat Customer,1,Frequent,1530970.805263158,Dealer,Construction,South
C0030,2019-01-30,2024-09-02,32,58263942.8,2019,2019-01,2042,5.590691307323751,Repeat Customer,1,Frequent,1820748.2125,Corporate,Construction,South
C0031,2019-04-11,2024-08-13,34,50500841.8,2019,2019-04,1951,5.341546885694729,Repeat Customer,1,Frequent,1485318.8764705881,Government,Mining,East
C0032,2019-01-23,2024-10-25,44,71991263.0,2019,2019-01,2102,5.754962354551677,Repeat Customer,1,Very Frequent,1636165.0681818181,Government,Logistics,West
C0033,2019-03-05,2024-12-12,30,49354094.2,2019,2019-03,2109,5.774127310061601,Repeat Customer,1,Frequent,1645136.4733333334,Government,Mining,South
C0034,2019-01-05,2024-10-06,32,42477752.2,2019,2019-01,2101,5.752224503764545,Repeat Customer,1,Frequent,1327429.75625,Government,Construction,West
C0035,2019-01-07,2024-11-12,38,53340276.800000004,2019,2019-01,2136,5.848049281314168,Repeat Customer,1,Frequent,1403691.494736842,Dealer,Infrastructure,Central
C0036,2019-06-26,2024-12-18,31,48929201.8,2019,2019-06,2002,5.4811772758384665,Repeat Customer,1,Frequent,1578361.3483870968,Fleet Owner,Construction,East
C0037,2019-06-12,2024-10-25,36,45505928.0,2019,2019-06,1962,5.371663244353183,Repeat Customer,1,Frequent,1264053.5555555555,Corporate,Construction,West
C0038,2019-01-08,2024-11-29,36,57808311.2,2019,2019-01,2152,5.891854893908282,Repeat Customer,1,Frequent,1605786.4222222222,Fleet Owner,Rental,North
C0039,2019-04-17,2024-11-28,38,62706510.2,2019,2019-04,2052,5.618069815195072,Repeat Customer,1,Frequent,1650171.3210526316,Fleet Owner,Rental,South
C0040,2019-02-23,2024-12-21,43,53757984.6,2019,2019-02,2128,5.8261464750171115,Repeat Customer,1,Very Frequent,1250185.688372093,Government,Logistics,North
C0041,2019-01-11,2024-06-11,38,68044561.6,2019,2019-01,1978,5.415468856947296,Repeat Customer,1,Frequent,1790646.3578947366,Government,Rental,South
C0042,2019-01-25,2024-10-13,41,73882726.2,2019,2019-01,2088,5.716632443531828,Repeat Customer,1,Very Frequent,1802017.712195122,Fleet Owner,Rental,South
C0043,2019-04-04,2024-06-14,36,47644638.800000004,2019,2019-04,1898,5.196440793976728,Repeat Customer,1,Frequent,1323462.188888889,Corporate,Construction,South
C0044,2019-01-05,2024-11-17,34,49589458.0,2019,2019-01,2143,5.867214236824093,Repeat Customer,1,Frequent,1458513.4705882352,Government,Mining,West
C0045,2019-02-02,2024-12-15,42,75275350.60000001,2019,2019-02,2143,5.867214236824093,Repeat Customer,1,Very Frequent,1792270.2523809527,Corporate,Rental,East
C0046,2019-02-03,2024-12-09,46,87078641.0,2019,2019-02,2136,5.848049281314168,Repeat Customer,1,Very Frequent,1893013.9347826086,Retail,Rental,West
C0047,2019-04-06,2024-08-25,30,57880918.0,2019,2019-04,1968,5.388090349075975,Repeat Customer,1,Frequent,1929363.9333333333,Corporate,Rental,West
C0048,2019-04-05,2024-09-12,31,49413459.2,2019,2019-04,1987,5.4401095140314855,Repeat Customer,1,Frequent,1593982.5548387098,Dealer,Mining,South
C0049,2019-01-25,2024-12-25,39,82316206.2,2019,2019-01,2161,5.916495550992471,Repeat Customer,1,Frequent,2110671.953846154,Dealer,Manufacturing,South
C0050,2019-01-11,2024-12-14,27,56151044.8,2019,2019-01,2164,5.924709103353867,Repeat Customer,1,Moderate,2079668.3259259257,Dealer,Mining,East
C0051,2019-02-15,2024-11-15,36,59420710.4,2019,2019-02,2100,5.749486652977413,Repeat Customer,1,Frequent,1650575.288888889,Retail,Infrastructure,North
C0052,2019-02-12,2024-12-11,35,56612172.2,2019,2019-02,2129,5.8288843258042435,Repeat Customer,1,Frequent,1617490.6342857145,Government,Manufacturing,North East
C0053,2019-05-16,2024-09-18,27,45016037.4,2019,2019-05,1952,5.344284736481861,Repeat Customer,1,Moderate,1667260.6444444444,Fleet Owner,Construction,North
C0054,2019-01-31,2024-12-14,37,63424926.8,2019,2019-01,2144,5.8699520876112254,Repeat Customer,1,Frequent,1714187.2108108108,Fleet Owner,Manufacturing,South
C0055,2019-04-01,2024-12-11,32,59056095.2,2019,2019-04,2081,5.6974674880219025,Repeat Customer,1,Frequent,1845502.975,Dealer,Construction,North
C0056,2019-01-08,2024-11-10,36,60885469.8,2019,2019-01,2133,5.839835728952772,Repeat Customer,1,Frequent,1691263.0499999998,Dealer,Mining,North
C0057,2019-03-20,2024-12-04,32,49701788.6,2019,2019-03,2086,5.711156741957564,Repeat Customer,1,Frequent,1553180.89375,Retail,Logistics,East
C0058,2019-01-23,2024-12-24,40,56831525.0,2019,2019-01,2162,5.919233401779603,Repeat Customer,1,Very Frequent,1420788.125,Retail,Infrastructure,West
C0059,2019-01-21,2024-12-20,32,56859509.4,2019,2019-01,2160,5.9137577002053385,Repeat Customer,1,Frequent,1776859.66875,Retail,Manufacturing,South
C0060,2019-07-20,2024-11-24,44,77163010.4,2019,2019-07,1954,5.349760438056126,Repeat Customer,1,Very Frequent,1753704.781818182,Dealer,Mining,South
C0061,2019-01-29,2024-09-08,29,33890240.0,2019,2019-01,2049,5.6098562628336754,Repeat Customer,1,Moderate,1168628.9655172413,Dealer,Construction,West
C0062,2019-03-18,2024-10-31,36,78963082.0,2019,2019-03,2054,5.623545516769336,Repeat Customer,1,Frequent,2193418.9444444445,Dealer,Construction,South
C0063,2019-02-28,2024-12-19,38,72065344.4,2019,2019-02,2121,5.806981519507187,Repeat Customer,1,Frequent,1896456.4315789475,Retail,Rental,North
C0064,2019-03-21,2024-10-18,32,57893888.0,2019,2019-03,2038,5.579739904175223,Repeat Customer,1,Frequent,1809184.0,Corporate,Manufacturing,North
C0065,2019-01-07,2024-12-12,36,59751563.6,2019,2019-01,2166,5.930184804928132,Repeat Customer,1,Frequent,1659765.6555555556,Corporate,Mining,West
C0066,2019-01-29,2024-10-11,32,54037060.800000004,2019,2019-01,2082,5.700205338809035,Repeat Customer,1,Frequent,1688658.1500000001,Retail,Manufacturing,Central
C0067,2019-05-29,2024-12-30,31,55575120.6,2019,2019-05,2042,5.590691307323751,Repeat Customer,1,Frequent,1792745.8258064517,Retail,Manufacturing,West
C0068,2019-03-11,2024-12-06,39,57372766.4,2019,2019-03,2097,5.7412731006160165,Repeat Customer,1,Frequent,1471096.5743589744,Retail,Mining,North
C0069,2019-02-18,2024-12-11,47,77108269.8,2019,2019-02,2123,5.812457221081451,Repeat Customer,1,Very Frequent,1640601.485106383,Dealer,Logistics,North
C0070,2019-02-04,2024-12-20,41,76883391.4,2019,2019-02,2146,5.87542778918549,Repeat Customer,1,Very Frequent,1875204.668292683,Government,Logistics,West
C0071,2019-01-24,2024-11-26,42,72076738.0,2019,2019-01,2133,5.839835728952772,Repeat Customer,1,Very Frequent,1716112.8095238095,Corporate,Rental,North
C0072,2019-06-15,2024-12-23,26,55369763.0,2019,2019-06,2018,5.5249828884325805,Repeat Customer,1,Moderate,2129606.269230769,Government,Logistics,West
C0073,2019-03-23,2024-11-12,32,56970903.6,2019,2019-03,2061,5.642710472279261,Repeat Customer,1,Frequent,1780340.7375,Corporate,Rental,North
C0074,2019-01-10,2024-12-31,39,50426138.6,2019,2019-01,2182,5.973990417522245,Repeat Customer,1,Frequent,1292977.912820513,Fleet Owner,Infrastructure,East
C0075,2019-04-17,2024-10-20,33,50186853.4,2019,2019-04,2013,5.51129363449692,Repeat Customer,1,Frequent,1520813.7393939393,Retail,Mining,South
C0076,2019-01-12,2024-10-06,45,80026994.2,2019,2019-01,2094,5.73305954825462,Repeat Customer,1,Very Frequent,1778377.648888889,Government,Mining,South
C0077,2019-02-05,2024-12-16,34,57865492.6,2019,2019-02,2141,5.861738535249829,Repeat Customer,1,Frequent,1701926.2529411765,Corporate,Mining,North
C0078,2019-01-31,2024-06-22,31,42565724.6,2019,2019-01,1969,5.390828199863107,Repeat Customer,1,Frequent,1373087.8903225807,Dealer,Rental,South
C0079,2019-01-25,2024-11-28,31,47175266.2,2019,2019-01,2134,5.842573579739904,Repeat Customer,1,Frequent,1521782.7806451614,Retail,Rental,North
C0080,2019-02-20,2024-11-03,42,56541324.2,2019,2019-02,2083,5.702943189596167,Repeat Customer,1,Very Frequent,1346222.004761905,Retail,Mining,South
C0081,2019-01-03,2024-12-23,37,56355210.0,2019,2019-01,2181,5.971252566735113,Repeat Customer,1,Frequent,1523113.7837837837,Corporate,Rental,West
C0082,2019-03-17,2024-12-18,46,77500928.6,2019,2019-03,2103,5.757700205338809,Repeat Customer,1,Very Frequent,1684802.7956521737,Fleet Owner,Manufacturing,West
C0083,2019-05-23,2024-10-04,45,89672688.2,2019,2019-05,1961,5.368925393566051,Repeat Customer,1,Very Frequent,1992726.4044444445,Dealer,Infrastructure,North
C0084,2019-04-29,2024-09-22,39,73317161.4,2019,2019-04,1973,5.401779603011636,Repeat Customer,1,Frequent,1879927.2153846156,Corporate,Logistics,West
C0085,2019-01-01,2024-09-20,37,60463527.2,2019,2019-01,2089,5.71937029431896,Repeat Customer,1,Frequent,1634149.3837837838,Retail,Mining,South
