customer_id,customer_type,industry_segment,city,state,region,branch_id,credit_limit,current_balance,customer_rating,delivered_order_count,total_revenue,average_order_value,revenue_contribution_pct,regional_revenue_rank,regional_customer_value_class,regional_priority_flag
C0001,Retail,Construction,Kolkata,West Bengal,East,KOL001,45896,43284,4,34,55019747.4,1618227.8647058823,0.1880760246799968,53,Medium Regional Value,Medium Value Customer
C0002,Fleet Owner,Manufacturing,Hyderabad,Telangana,South,HYD001,531506,426735,2,51,71712838.0,1406134.0784313725,0.24513862979968193,27,High Regional Value,High Value - Review
C0003,Government,Logistics,Surat,Gujarat,West,DEL001,1306933,733495,2,38,44728031.8,1177053.4684210524,0.15289547499275652,131,Low Regional Value,Low Value Customer
C0004,Fleet Owner,Logistics,Chennai,Tamil Nadu,South,CHN001,506336,250255,3,46,60843242.8,1322679.1913043477,0.20798269303693379,62,Medium Regional Value,Medium Value Customer
C0005,Dealer,Construction,Ahmedabad,Gujarat,West,AHM001,380783,183927,2,45,74996415.4,1666587.008888889,0.2563630031075296,12,High Regional Value,High Value - Review
C0006,Government,Construction,Ahmedabad,Gujarat,West,AHM001,514827,303122,3,40,65482805.4,1637070.135,0.22384228039050985,37,High Regional Value,High Value Customer
C0007,Corporate,Manufacturing,Pune,Maharashtra,West,PUN001,859003,565081,4,31,36509378.2,1177721.8774193549,0.1248013493314318,143,Low Regional Value,Low Value Customer
C0008,Corporate,Logistics,Mumbai,Maharashtra,West,HYD001,941092,934117,1,34,48368868.0,1422613.7647058824,0.16534107918698854,107,Low Regional Value,Low Value Customer
C0009,Corporate,Rental,Ahmedabad,Gujarat,West,AHM001,273316,231149,4,34,68836324.8,2024597.788235294,0.23530573900753812,25,High Regional Value,High Value Customer
C0010,Dealer,Construction,Chennai,Tamil Nadu,South,CHN001,277717,105625,5,46,63051038.4,1370674.7478260868,0.21552968187959773,48,High Regional Value,High Value Customer
C0011,Retail,Infrastructure,Vadodara,Gujarat,West,KOL001,29130,4200,4,41,57187490.8,1394816.8487804877,0.1954861016153609,72,Medium Regional Value,Medium Value Customer
C0012,Fleet Owner,Logistics,Chennai,Tamil Nadu,South,CHN001,785687,30771,1,37,53404468.4,1443364.0108108108,0.18255445710789484,102,Medium Regional Value,Medium Value Customer
C0013,Dealer,Construction,Surat,Gujarat,West,AHM001,425862,104029,2,44,76843692.4,1746447.5545454547,0.2626776179696616,11,High Regional Value,High Value - Review
C0014,Fleet Owner,Construction,Kolkata,West Bengal,East,KOL001,611397,522294,2,27,41523847.6,1537920.2814814816,0.14194249437840978,83,Low Regional Value,Low Value Customer
C0015,Government,Rental,Pune,Maharashtra,West,PUN001,790010,18560,2,34,61028370.8,1794952.0823529412,0.20861552288334922,53,Medium Regional Value,Medium Value Customer
C0016,Government,Rental,Ranchi,Jharkhand,East,DEL001,1033243,195540,4,35,70872336.2,2024923.8914285714,0.24226551160575174,13,High Regional Value,High Value Customer
C0017,Government,Infrastructure,Chennai,Tamil Nadu,South,CHN001,1155360,986611,1,39,59194497.0,1517807.6153846155,0.20234672467238546,74,Medium Regional Value,Medium Value Customer
C0018,Retail,Construction,Ahmedabad,Gujarat,West,AHM001,49835,49052,2,31,49286607.8,1589890.5741935482,0.16847822287504943,103,Low Regional Value,Low Value Customer
C0019,Government,Logistics,Kolkata,West Bengal,East,KOL001,678408,196058,5,37,42528118.4,1149408.6054054054,0.14537543016404736,81,Low Regional Value,Low Value Customer
C0020,Dealer,Logistics,Kolkata,West Bengal,East,KOL001,492285,202707,3,37,42586254.6,1150979.854054054,0.145574159273189,80,Low Regional Value,Low Value Customer
C0021,Corporate,Mining,Hyderabad,Telangana,South,HYD001,856624,298508,5,45,59956738.4,1332371.9644444445,0.20495232246468859,70,Medium Regional Value,Medium Value Customer
C0022,Retail,Infrastructure,Chennai,Tamil Nadu,South,CHN001,47651,19003,3,38,56759064.0,1493659.5789473683,0.19402159453893672,87,Medium Regional Value,Medium Value Customer
C0023,Corporate,Mining,Chennai,Tamil Nadu,South,CHN001,274997,248491,2,32,58217713.2,1819303.5375,0.1990077487090785,78,Medium Regional Value,Medium Value Customer
C0024,Dealer,Rental,Visakhapatnam,Andhra Pradesh,South,CHN001,266822,86814,4,44,60658309.2,1378597.9363636365,0.20735052771518317,63,Medium Regional Value,Medium Value Customer
C0025,Corporate,Infrastructure,Pune,Maharashtra,West,PUN001,738335,521844,2,38,70349653.0,1851306.6578947369,0.24047880441299901,20,High Regional Value,High Value - Review
C0026,Fleet Owner,Mining,Jaipur,Rajasthan,North,HYD001,172621,3188,5,36,60554977.0,1682082.6944444445,0.20699730345815145,40,Medium Regional Value,Medium Value Customer
C0027,Fleet Owner,Logistics,Surat,Gujarat,West,AHM001,119712,6429,1,39,54309976.4,1392563.4974358974,0.18564978838445997,85,Medium Regional Value,Medium Value Customer
C0028,Retail,Infrastructure,Bengaluru,Karnataka,South,PUN001,45173,40670,3,29,38208624.0,1317538.7586206896,0.13060994370200832,154,Low Regional Value,Low Value Customer
C0029,Dealer,Construction,Visakhapatnam,Andhra Pradesh,South,KOL001,403949,343364,1,38,58176890.6,1530970.805263158,0.19886820331514415,79,Medium Regional Value,Medium Value Customer
C0030,Corporate,Construction,Hyderabad,Telangana,South,HYD001,501072,443634,5,32,58263942.8,1820748.2125,0.19916577704983648,77,Medium Regional Value,Medium Value Customer
C0031,Government,Mining,Kolkata,West Bengal,East,KOL001,661950,182414,4,34,50500841.8,1485318.8764705881,0.17262888358403136,63,Low Regional Value,Low Value Customer
C0032,Government,Logistics,Ahmedabad,Gujarat,West,AHM001,1262598,420821,5,44,71991263.0,1636165.0681818181,0.24609038021014504,18,High Regional Value,High Value Customer
C0033,Government,Mining,Chennai,Tamil Nadu,South,CHN001,655166,632856,5,30,49354094.2,1645136.4733333334,0.16870891411649933,119,Low Regional Value,Low Value Customer
C0034,Government,Construction,Pune,Maharashtra,West,PUN001,1033298,786303,5,32,42477752.2,1327429.75625,0.14520326153147678,134,Low Regional Value,Low Value Customer
C0035,Dealer,Infrastructure,Indore,Madhya Pradesh,Central,CHN001,333126,90011,4,38,53340276.800000004,1403691.494736842,0.18233502860237888,9,Medium Regional Value,Medium Value Customer
