customer_id,first_purchase_date,last_purchase_date,delivered_order_count,total_revenue,average_order_value,customer_lifetime_days,customer_lifetime_years,effective_lifetime_years,orders_per_year,historical_clv,annual_customer_value,estimated_lifetime_years,estimated_lifetime_value,future_value_estimate,clv_to_revenue_ratio,customer_type,industry_segment,region,clv_value_class,customer_lifetime_class,clv_percentile,frequency_percentile,revenue_percentile,clv_priority_score,clv_priority_class,clv_priority_rank
C0153,2019-01-17,2024-12-12,56,108200489.6,1932151.6,2176,5.96,5.96,9.4,108200489.6,18161869.87,5.0,90809349.33,-17391140.27,0.84,Retail,Rental,East,Very High Value,Long-Term Customer,100.0,99.8,100.0,99.96,Critical Value Customer,1
C0288,2019-02-21,2024-10-18,55,97218403.8,1767607.34,2141,5.86,5.86,9.38,97218403.8,16585250.81,5.0,82926254.06,-14292149.74,0.85,Dealer,Infrastructure,North,Very High Value,Long-Term Customer,99.8,99.6,99.8,99.76,Critical Value Customer,2
C0475,2019-01-19,2024-12-18,55,94883375.2,1725152.28,2174,5.95,5.95,9.24,94883375.2,15941192.64,5.0,79705963.18,-15177412.02,0.84,Fleet Owner,Construction,East,Very High Value,Long-Term Customer,98.8,99.4,99.4,99.1,Critical Value Customer,3
C0254,2019-07-01,2024-09-25,48,89556446.6,1865759.3,2011,5.51,5.51,8.72,89556446.6,16265784.25,5.0,81328921.23,-8227525.37,0.91,Dealer,Mining,West,Very High Value,Long-Term Customer,99.4,99.0,98.0,98.9,Critical Value Customer,4
C0483,2019-02-20,2024-12-18,47,96130859.2,2045337.43,2142,5.86,5.86,8.01,96130859.2,16392061.78,5.0,81960308.88,-14170550.32,0.85,Corporate,Rental,North,Very High Value,Long-Term Customer,99.6,94.8,99.6,98.64,Critical Value Customer,5
C0495,2019-01-28,2024-11-25,48,94540537.6,1969594.53,2165,5.93,5.93,8.1,94540537.6,15949621.87,5.0,79748109.37,-14792428.23,0.84,Fleet Owner,Infrastructure,North,Very High Value,Long-Term Customer,99.0,96.0,99.2,98.46,Critical Value Customer,6
C0178,2019-01-22,2024-12-09,54,89493824.6,1657293.05,2171,5.94,5.94,9.08,89493824.6,15056480.62,5.0,75282403.12,-14211421.48,0.84,Dealer,Logistics,East,Very High Value,Long-Term Customer,97.8,99.2,97.8,98.08,Critical Value Customer,7
C0083,2019-05-23,2024-10-04,45,89672688.2,1992726.4,2050,5.61,5.61,8.02,89672688.2,15977048.47,5.0,79885242.35,-9787445.85,0.89,Dealer,Infrastructure,North,Very High Value,Long-Term Customer,99.2,95.0,98.2,98.06,Critical Value Customer,8
C0240,2019-02-19,2024-11-10,46,92835709.4,2018167.6,2143,5.87,5.87,7.84,92835709.4,15822791.81,5.0,79113959.07,-13721750.33,0.85,Corporate,Manufacturing,South,Very High Value,Long-Term Customer,98.6,92.6,99.0,97.52,Critical Value Customer,9
C0466,2019-03-19,2024-12-13,47,88329161.4,1879343.86,2115,5.79,5.79,8.12,88329161.4,15254007.66,5.0,76270038.3,-12059123.1,0.86,Retail,Manufacturing,South,Very High Value,Long-Term Customer,98.0,96.2,97.6,97.52,Critical Value Customer,10
C0420,2019-01-10,2024-11-22,46,92482888.8,2010497.58,2183,5.98,5.98,7.7,92482888.8,15473831.94,5.0,77369159.72,-15113729.08,0.84,Retail,Rental,South,Very High Value,Long-Term Customer,98.4,90.4,98.8,96.92,Critical Value Customer,11
C0134,2019-03-03,2024-11-24,48,85243025.2,1775896.36,2131,5.83,5.83,8.23,85243025.2,14610518.51,5.0,73052592.57,-12190432.63,0.86,Fleet Owner,Infrastructure,West,Very High Value,Long-Term Customer,97.0,97.2,96.6,96.92,Critical Value Customer,12
C0304,2019-01-26,2024-12-25,48,86460648.4,1801263.51,2167,5.93,5.93,8.09,86460648.4,14573028.07,5.0,72865140.35,-13595508.05,0.84,Dealer,Construction,North,Very High Value,Long-Term Customer,96.6,95.8,97.0,96.56,Critical Value Customer,13
