customer_id,customer_type,industry_segment,region,customer_since,customer_tenure_years,delivered_order_count,orders_per_year,total_revenue,average_order_value,total_units_purchased,total_product_revenue,total_gross_profit,gross_margin_pct,annualized_revenue,annualized_gross_profit,estimated_customer_lifetime_value,customer_profitability_class,customer_clv_class,overall_customer_value_class,profitability_rank,clv_rank
C0201,Dealer,Infrastructure,South,2024-10-23,0.25,47,188.0,80475593.0,1712246.66,3326,63133600,17453692.07,21.69,321902372.0,69814768.28,209444304.84,High Profitability,High CLV,Strategic High Value,29,1
C0272,Government,Construction,North,2024-10-24,0.25,39,156.0,75550922.6,1937203.14,2889,59253070,15885735.99,21.03,302203690.4,63542943.96,190628831.88,High Profitability,High CLV,Strategic High Value,66,2
C0499,Corporate,Construction,East,2024-11-14,0.25,39,156.0,62785837.0,1609893.26,2434,49218150,13709648.57,21.84,251143348.0,54838594.28,164515782.84,Medium Profitability,High CLV,High Value,160,3
C0054,Fleet Owner,Manufacturing,South,2024-11-07,0.25,37,148.0,63424926.8,1714187.21,2238,49743760,13201291.33,20.81,253699707.2,52805165.32,158415495.96,Medium Profitability,High CLV,High Value,201,4
C0219,Government,Manufacturing,West,2024-09-26,0.27,39,146.85,59976015.0,1537846.54,2604,47075000,13062444.42,21.78,225837520.4,49186163.14,147558489.41,Medium Profitability,High CLV,High Value,215,5
C0024,Dealer,Rental,South,2024-09-24,0.27,44,162.33,60658309.2,1378597.94,2526,47587690,13325832.58,21.97,223792398.34,49164245.96,147492737.87,Medium Profitability,High CLV,High Value,189,6
C0066,Retail,Manufacturing,Central,2024-10-07,0.25,32,128.0,54037060.8,1688658.15,2394,42371560,11902165.38,22.03,216148243.2,47608661.52,142825984.56,Medium Profitability,High CLV,High Value,302,7
C0120,Fleet Owner,Construction,South,2024-12-04,0.25,34,136.0,50313583.0,1479811.26,2427,39523350,11304046.41,22.47,201254332.0,45216185.64,135648556.92,Medium Profitability,High CLV,High Value,343,8
C0226,Dealer,Logistics,West,2024-10-18,0.25,26,104.0,47025541.0,1808674.65,2065,36902950,10402470.11,22.12,188102164.0,41609880.44,124829641.32,Low Profitability,High CLV,High Value,404,9
C0289,Corporate,Logistics,South,2024-09-24,0.27,35,129.13,50221149.2,1434889.98,2220,39396940,11251184.68,22.4,185285603.49,41510052.57,124530157.71,Medium Profitability,High CLV,High Value,348,10
C0079,Retail,Rental,North,2024-12-15,0.25,31,124.0,47175266.2,1521782.78,1956,36993090,10307743.36,21.85,188701064.8,41230973.44,123692920.32,Low Profitability,High CLV,High Value,411,11
C0212,Retail,Infrastructure,North East,2024-11-17,0.25,31,124.0,45262151.0,1460069.39,1825,35519950,9729034.97,21.49,181048604.0,38916139.88,116748419.64,Low Profitability,High CLV,High Value,440,12
C0250,Government,Infrastructure,East,2024-07-27,0.43,43,99.4,74416923.4,1730626.13,3065,58330380,16223935.43,21.8,172030261.21,37505015.29,112515045.87,High Profitability,High CLV,Strategic High Value,55,13
C0194,Fleet Owner,Construction,South,2024-09-25,0.27,33,122.99,48202752.8,1460689.48,1704,37787710,9949993.14,20.64,179653627.14,37084030.55,111252091.66,Low Profitability,High CLV,High Value,429,14
C0075,Retail,Mining,South,2024-09-06,0.32,33,103.02,50186853.4,1520813.74,2235,39435130,11363799.85,22.64,156673061.58,35475452.1,106426356.29,Medium Profitability,High CLV,High Value,337,15
C0050,Dealer,Mining,East,2024-09-01,0.33,27,80.83,56151044.8,2079668.33,1930,44016360,11831594.39,21.07,168107943.55,35422047.96,106266143.88,Medium Profitability,High CLV,High Value,307,16
C0141,Corporate,Rental,West,2024-08-04,0.41,36,87.66,66220737.2,1839464.92,2432,51926540,14130180.29,21.34,161247495.08,34406989.01,103220967.02,Medium Profitability,High CLV,High Value,133,17
C0134,Fleet Owner,Infrastructure,West,2024-06-15,0.55,48,87.66,85243025.2,1775896.36,3623,66943890,18329832.99,21.5,155675074.77,33474857.5,100424572.49,High Profitability,High CLV,Strategic High Value,21,18
C0485,Fleet Owner,Rental,West,2024-08-15,0.38,28,73.58,59146123.8,2112361.56,2289,46389160,12593079.86,21.29,155418141.86,33090808.77,99272426.31,Medium Profitability,High CLV,High Value,247,19
C0197,Government,Manufacturing,West,2024-06-25,0.52,47,90.35,77464617.6,1648183.35,3182,60798070,16888004.96,21.8,148915534.62,32464967.43,97394902.29,High Profitability,High CLV,Strategic High Value,38,20
C0246,Retail,Manufacturing,North,2024-06-29,0.51,35,68.73,77080113.6,2202288.96,2469,60399770,16182087.82,20.99,151362965.01,31776922.45,95330767.36,High Profitability,High CLV,Strategic High Value,56,21
C0316,Dealer,Manufacturing,East,2024-09-06,0.32,33,103.02,45390754.0,1375477.39,1948,35655050,10120381.3,22.3,141700623.06,31593754.44,94781263.33,Low Profitability,High CLV,High Value,420,22
C0302,Fleet Owner,Mining,West,2024-07-26,0.44,36,82.7,63607092.0,1766863.67,2506,49894150,13676097.91,21.5,146116291.53,31416319.26,94248957.77,Medium Profitability,High CLV,High Value,165,23
C0373,Corporate,Manufacturing,South,2024-07-02,0.5,38,75.84,69753317.8,1835613.63,2794,54767460,14924181.58,21.4,139220761.35,29787198.48,89361595.44,High Profitability,High CLV,Strategic High Value,98,24
C0146,Retail,Mining,West,2024-07-01,0.5,30,59.55,61245406.2,2041513.54,2407,48058590,13514292.95,22.07,121575459.86,26826605.98,80479817.93,Medium Profitability,High CLV,High Value,177,25
C0385,Corporate,Manufacturing,West,2024-06-10,0.56,37,65.92,67435700.6,1822586.5,2706,52865670,14877954.15,22.06,120150681.19,26508159.77,79524479.32,High Profitability,High CLV,Strategic High Value,104,26
C0182,Dealer,Infrastructure,East,2024-08-25,0.35,29,82.11,40856091.0,1408830.72,1956,32105700,9136470.93,22.36,115679746.03,25868961.3,77606883.89,Low Profitability,High CLV,High Value,458,27
C0406,Dealer,Logistics,West,2024-05-22,0.61,32,52.18,64818334.4,2025572.95,2312,50826330,13527171.35,20.87,105691502.86,22057139.89,66171419.67,Medium Profitability,High CLV,High Value,176,28
C0348,Retail,Logistics,North,2024-06-25,0.52,34,65.36,50897650.4,1496989.72,2515,39978280,11443123.12,22.48,97844035.83,21997898.52,65993695.57,Medium Profitability,High CLV,High Value,334,29
C0390,Fleet Owner,Construction,North,2024-04-16,0.71,32,44.95,64132451.0,2004139.09,2474,50314950,13870381.8,21.63,90093760.49,19485219.05,58455657.14,Medium Profitability,High CLV,High Value,155,30
C0356,Dealer,Mining,East,2024-02-02,0.91,45,49.21,79690881.0,1770908.47,3218,62479450,17278679.26,21.68,87146988.88,18895322.15,56685966.46,High Profitability,High CLV,Strategic High Value,33,31
C0195,Fleet Owner,Logistics,East,2024-05-03,0.67,31,46.6,56797913.6,1832190.76,2094,44526020,12190926.91,21.46,85372172.6,18324016.68,54972050.05,Medium Profitability,High CLV,High Value,279,32
C0276,Dealer,Manufacturing,Central,2024-03-11,0.81,44,54.29,67350598.6,1530695.42,2840,52803770,14736367.67,21.88,83107453.17,18183980.71,54551942.14,High Profitability,High CLV,Strategic High Value,110,33
C0001,Retail,Construction,East,2024-04-10,0.73,34,46.69,55019747.4,1618227.86,2123,43201680,11927379.28,21.68,75548732.1,16377726.62,49133179.87,Medium Profitability,High CLV,High Value,299,34
C0122,Dealer,Rental,North East,2024-05-05,0.66,31,46.98,48051119.4,1550036.11,2051,37712330,10657566.21,22.18,72824362.49,16152182.81,48456548.44,Low Profitability,High CLV,High Value,386,35
C0096,Corporate,Construction,South,2024-04-05,0.74,34,45.82,51986858.4,1529025.25,2169,40828880,11316740.0,21.77,70067158.78,15252543.49,45757630.46,Medium Profitability,High CLV,High Value,342,36
C0172,Dealer,Manufacturing,South,2024-03-10,0.81,37,45.5,57323600.2,1549286.49,2312,44967390,12351632.35,21.55,70496447.72,15190012.51,45570037.53,Medium Profitability,High CLV,High Value,266,37
C0342,Dealer,Infrastructure,North,2023-12-14,1.05,36,34.24,72821567.8,2022821.33,3037,57066210,15955143.92,21.91,69265827.18,15176084.16,45528252.47,High Profitability,High CLV,Strategic High Value,62,38
C0025,Corporate,Infrastructure,West,2023-12-13,1.05,38,36.05,70349653.0,1851306.66,2887,55220350,15514684.11,22.05,66740807.16,14718800.96,44156402.89,High Profitability,High CLV,Strategic High Value,75,39
C0244,Government,Logistics,North,2023-10-29,1.18,44,37.37,77550764.4,1762517.37,2958,60886580,16726827.89,21.57,65873062.09,14208078.81,42624236.42,High Profitability,High CLV,Strategic High Value,40,40
C0264,Retail,Infrastructure,West,2023-12-16,1.05,36,34.42,67321592.8,1870044.24,2396,52753710,14328646.61,21.28,64369664.32,13700361.71,41101085.14,Medium Profitability,High CLV,High Value,128,41
C0019,Government,Logistics,East,2024-04-14,0.72,37,51.58,42528118.4,1149408.61,1905,33389880,9460061.35,22.24,59287768.11,13188119.88,39564359.63,Low Profitability,High CLV,High Value,451,42
C0088,Corporate,Infrastructure,West,2024-01-19,0.95,36,37.78,57330201.8,1592505.61,2304,44991010,12346402.42,21.54,60172000.6,12958400.82,38875202.45,Medium Profitability,High CLV,High Value,267,43
C0222,Fleet Owner,Logistics,North,2024-01-01,1.0,41,40.92,57177978.6,1394584.84,2558,44904020,12541532.99,21.93,57060810.61,12515833.13,37547499.38,Medium Profitability,High CLV,High Value,248,44
C0445,Government,Mining,East,2024-01-15,0.96,28,29.05,57177744.4,2042062.3,2065,44860580,11982946.37,20.96,59330031.65,12434008.98,37302026.95,Medium Profitability,High CLV,High Value,295,45
C0394,Government,Construction,South,2023-09-30,1.26,40,31.83,69936379.2,1748409.48,2924,54868190,15255957.08,21.81,55651988.02,12139952.77,36419858.32,High Profitability,High CLV,Strategic High Value,85,46
C0312,Government,Construction,West,2023-10-19,1.2,37,30.71,65437706.6,1768586.66,2689,51311620,14226209.37,21.74,54320732.58,11809370.39,35428111.18,Medium Profitability,High CLV,High Value,130,47
C0192,Fleet Owner,Logistics,East,2023-09-26,1.27,40,31.56,69269688.4,1731742.21,2569,54295880,14896863.85,21.51,54645256.35,11751791.62,35255374.87,High Profitability,High CLV,Strategic High Value,101,48
C0005,Dealer,Construction,West,2023-07-27,1.43,45,31.37,74996415.4,1666587.01,3231,58882280,16231626.97,21.64,52275650.24,11314125.48,33942376.44,High Profitability,High CLV,Strategic High Value,54,49
C0292,Corporate,Rental,Central,2024-05-23,0.61,27,44.22,30979627.8,1147393.62,1511,24356960,6792434.11,21.93,50741296.21,11125276.05,33375828.14,Low Profitability,High CLV,High Value,498,50
C0475,Fleet Owner,Construction,East,2023-02-24,1.85,55,29.67,94883375.2,1725152.28,4162,74442140,20565143.34,21.67,51190772.22,11095153.04,33285459.11,High Profitability,High CLV,Strategic High Value,3,51
C0467,Retail,Construction,North,2023-09-29,1.26,48,38.11,62880162.4,1310003.38,2649,49361930,13970372.08,22.22,49928215.91,11092779.14,33278337.41,Medium Profitability,High CLV,High Value,147,52
C0110,Dealer,Logistics,Central,2023-03-12,1.81,42,23.21,90807306.0,2162078.71,3618,71230450,19781368.36,21.78,50177562.05,10930627.52,32791882.57,High Profitability,High CLV,Strategic High Value,9,53
C0252,Retail,Construction,South,2024-02-01,0.92,34,37.07,45321304.6,1332979.55,2068,35584220,10003263.52,22.07,49413750.76,10906543.29,32719629.86,Low Profitability,High CLV,High Value,425,54
C0357,Corporate,Mining,West,2023-11-20,1.12,28,25.07,57734552.2,2061948.29,1981,45252290,12111665.4,20.98,51685159.78,10842612.22,32527836.67,Medium Profitability,High CLV,High Value,285,55
C0464,Corporate,Infrastructure,North,2023-08-08,1.4,38,27.11,67405736.8,1773835.18,2841,52908510,14663782.2,21.75,48085830.79,10460832.91,31382498.72,High Profitability,High CLV,Strategic High Value,113,56
C0231,Government,Infrastructure,West,2023-11-27,1.1,32,29.15,51646725.4,1613960.17,2430,40582530,11354060.51,21.98,47042310.35,10341821.95,31025465.84,Medium Profitability,High CLV,High Value,339,57
C0255,Retail,Infrastructure,South,2023-06-16,1.55,45,29.09,71144094.2,1580979.87,3237,55876690,15924274.03,22.38,45991823.73,10294409.01,30883227.02,High Profitability,High CLV,Strategic High Value,64,58
C0117,Government,Mining,North East,2024-02-28,0.84,31,36.76,38951277.4,1256492.82,1951,30628680,8627572.77,22.15,46191409.32,10231236.86,30693710.59,Low Profitability,High CLV,High Value,475,59
C0301,Dealer,Mining,East,2023-08-11,1.39,46,33.01,63821535.6,1387424.69,2547,50074420,13974282.32,21.9,45797280.7,10027714.38,30083143.13,Medium Profitability,High CLV,High Value,146,60
C0145,Retail,Construction,West,2024-03-24,0.77,33,42.59,34445949.4,1043816.65,1817,27079080,7693161.27,22.33,44457183.81,9929071.22,29787213.65,Low Profitability,High CLV,High Value,489,61
C0437,Dealer,Mining,West,2023-12-27,1.02,30,29.54,46199550.2,1539985.01,1956,36305140,10085065.76,21.83,45483519.44,9928760.83,29786282.5,Low Profitability,High CLV,High Value,422,62
C0256,Corporate,Infrastructure,North East,2023-09-18,1.29,30,23.26,58794725.4,1959824.18,2389,46110780,12764004.19,21.71,45593998.84,9898200.7,29694602.1,Medium Profitability,High CLV,High Value,236,63
C0142,Retail,Manufacturing,West,2023-02-23,1.86,45,24.24,84828043.0,1885067.62,3255,66580100,18072730.04,21.31,45698293.08,9736083.55,29208250.65,High Profitability,High CLV,Strategic High Value,23,64
