customer_id,customer_type,industry_segment,region,delivered_order_count,total_revenue,average_order_value,median_order_value,minimum_order_value,maximum_order_value,average_products_per_order,average_units_per_order,total_units_purchased,total_product_revenue,order_value_std,order_value_cv_pct,basket_size_class,order_value_segment,basket_frequency_segment,basket_value_score,basket_behaviour_class,action_focus,basket_behaviour_rank
C0110,Dealer,Logistics,Central,42,90807306.0,2162078.71,1977231.5,28672.0,5811158.8,7.24,86.14,3618,71230450,1476908.61,68.31,Small Basket,High Order Value,High Frequency,95.32,Premium Basket Customer,Protect relationship and promote premium/high-margin products,1
C0206,Retail,Construction,West,40,89674652.2,2241866.31,2064018.7,566.4,5579431.0,6.78,81.38,3255,70279540,1463294.87,65.27,Small Basket,High Order Value,High Frequency,94.18,Premium Basket Customer,Protect relationship and promote premium/high-margin products,2
C0490,Government,Logistics,West,44,84742703.8,1925970.54,1558164.5,20461.2,5433408.0,6.93,83.05,3654,66510660,1443857.5,74.97,Small Basket,High Order Value,High Frequency,91.96,Premium Basket Customer,Protect relationship and promote premium/high-margin products,3
C0240,Corporate,Manufacturing,South,46,92835709.4,2018167.6,1812043.0,32448.0,5559161.0,6.48,74.57,3430,72778580,1527110.71,75.67,Small Basket,High Order Value,Very High Frequency,91.8,Premium Basket Customer,Protect relationship and promote premium/high-margin products,4
C0049,Dealer,Manufacturing,South,39,82316206.2,2110671.95,1884073.0,162240.0,6084164.0,6.77,78.79,3073,64589840,1463807.11,69.35,Small Basket,High Order Value,High Frequency,91.38,Premium Basket Customer,Protect relationship and promote premium/high-margin products,5
C0083,Dealer,Infrastructure,North,45,89672688.2,1992726.4,1663264.0,6844.0,6474399.2,6.38,75.13,3381,70378740,1503621.02,75.46,Small Basket,High Order Value,Very High Frequency,90.37,Premium Basket Customer,Protect relationship and promote premium/high-margin products,6
C0420,Retail,Rental,South,46,92482888.8,2010497.58,1812923.2,566.4,6346810.6,6.3,78.17,3596,72545910,1497815.04,74.5,Small Basket,High Order Value,Very High Frequency,89.96,Premium Basket Customer,Protect relationship and promote premium/high-margin products,7
C0440,Retail,Manufacturing,South,44,82426773.6,1873335.76,1230530.1,9408.0,7055107.4,6.61,75.34,3315,64680520,1648330.36,87.99,Small Basket,High Order Value,High Frequency,89.26,Premium Basket Customer,Protect relationship and promote premium/high-margin products,8
C0062,Dealer,Construction,South,36,78963082.0,2193418.94,1999571.7,10816.0,6867421.6,6.67,84.56,3044,61918150,1781905.18,81.24,Small Basket,High Order Value,High Frequency,88.67,Premium Basket Customer,Protect relationship and promote premium/high-margin products,9
C0466,Retail,Manufacturing,South,47,88329161.4,1879343.86,1409165.6,10266.0,6126273.8,6.34,76.43,3592,69276730,1493616.07,79.48,Small Basket,High Order Value,Very High Frequency,88.18,Premium Basket Customer,Protect relationship and promote premium/high-margin products,10
