customer_id,customer_type,industry_segment,region,payment_terms,customer_rating,credit_limit,current_balance,credit_utilisation_pct,credit_utilisation_class,payment_count,total_payment_amount,average_payment_amount,payment_methods_used,first_payment_date,last_payment_date,balance_to_payment_ratio,payment_activity_class,payment_behaviour_class,credit_risk_score,credit_risk_class,credit_risk_priority_score,credit_risk_rank,credit_action_focus
C0343,Corporate,Construction,West,Advance,1,994769,993939,99.92,Very High Credit Utilisation,42,52681885.07,1254330.6,5,2019-04-09,2025-01-01,0.02,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,109.98,1,Credit review and payment recovery
C0008,Corporate,Logistics,West,Net 60,1,941092,934117,99.26,Very High Credit Utilisation,39,39034847.07,1000893.51,5,2019-06-05,2024-10-02,0.02,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,109.85,2,Credit review and payment recovery
C0018,Retail,Construction,West,Advance,2,49835,49052,98.43,Very High Credit Utilisation,30,42221512.96,1407383.77,5,2019-07-13,2024-12-30,0.0,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,109.69,3,Credit review and payment recovery
C0259,Fleet Owner,Logistics,South,Net 15,1,326836,313932,96.05,Very High Credit Utilisation,34,47803548.02,1405986.71,5,2019-03-20,2025-03-04,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,109.21,4,Credit review and payment recovery
C0112,Fleet Owner,Mining,South,Net 45,2,389833,373500,95.81,Very High Credit Utilisation,33,40501188.81,1227308.75,5,2019-04-25,2025-01-24,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,109.16,5,Credit review and payment recovery
C0040,Government,Logistics,North,Net 15,2,842290,805196,95.6,Very High Credit Utilisation,49,46475030.28,948470.01,5,2019-03-31,2024-12-30,0.02,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,109.12,6,Credit review and payment recovery
C0187,Retail,Rental,North,Net 60,1,42105,40074,95.18,Very High Credit Utilisation,36,39550586.02,1098627.39,5,2019-06-21,2024-12-30,0.0,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,109.04,7,Credit review and payment recovery
C0106,Dealer,Infrastructure,Central,Advance,2,223855,212350,94.86,Very High Credit Utilisation,41,53156043.23,1296488.86,5,2019-04-20,2024-12-06,0.0,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.97,8,Credit review and payment recovery
C0286,Dealer,Construction,South,Net 30,2,168144,158029,93.98,Very High Credit Utilisation,37,45082886.91,1218456.4,5,2019-01-18,2024-08-03,0.0,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.8,9,Credit review and payment recovery
C0139,Government,Mining,West,Net 15,2,825908,770729,93.32,Very High Credit Utilisation,33,33323955.58,1009816.84,5,2019-03-28,2025-01-25,0.02,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.66,10,Credit review and payment recovery
C0482,Fleet Owner,Logistics,East,Net 60,1,285819,265924,93.04,Very High Credit Utilisation,33,55970796.75,1696084.75,5,2020-01-07,2025-01-14,0.0,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.61,11,Credit review and payment recovery
C0306,Fleet Owner,Manufacturing,East,Net 30,1,126541,117140,92.57,Very High Credit Utilisation,43,55633138.43,1293793.92,5,2019-04-11,2025-02-10,0.0,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.51,12,Credit review and payment recovery
C0452,Fleet Owner,Mining,South,Advance,1,362507,335242,92.48,Very High Credit Utilisation,42,39873877.07,949378.03,5,2019-03-29,2025-03-07,0.01,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.5,13,Credit review and payment recovery
C0191,Corporate,Manufacturing,South,Net 30,2,615994,569076,92.38,Very High Credit Utilisation,31,54497957.87,1757998.64,5,2019-02-18,2025-02-09,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.48,14,Credit review and payment recovery
C0273,Dealer,Manufacturing,East,Advance,1,181148,167313,92.36,Very High Credit Utilisation,39,45824131.44,1174977.73,5,2019-06-25,2025-02-09,0.0,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.47,15,Credit review and payment recovery
C0292,Corporate,Rental,Central,Net 15,2,627266,572987,91.35,Very High Credit Utilisation,34,24826484.4,730190.72,5,2019-02-12,2024-05-29,0.02,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.27,16,Credit review and payment recovery
C0023,Corporate,Mining,South,Net 15,2,274997,248491,90.36,Very High Credit Utilisation,36,52705576.54,1464043.79,5,2019-02-20,2025-01-20,0.0,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.07,17,Credit review and payment recovery
C0200,Retail,Logistics,East,Net 45,2,12816,11546,90.09,Very High Credit Utilisation,59,75393773.47,1277860.57,5,2019-03-17,2025-01-05,0.0,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,108.02,18,Credit review and payment recovery
C0283,Retail,Logistics,North,Net 30,1,11744,10481,89.25,Very High Credit Utilisation,30,28792308.51,959743.62,5,2019-05-17,2024-10-18,0.0,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.85,19,Credit review and payment recovery
C0272,Government,Construction,North,Net 45,1,963398,856171,88.87,Very High Credit Utilisation,37,55667096.19,1504516.11,5,2019-10-10,2025-02-07,0.02,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.77,20,Credit review and payment recovery
C0127,Government,Construction,East,Net 45,1,1030275,912169,88.54,Very High Credit Utilisation,28,35403122.17,1264397.22,5,2019-04-01,2024-08-15,0.03,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.71,21,Credit review and payment recovery
C0478,Retail,Rental,North,Net 30,1,15416,13473,87.4,Very High Credit Utilisation,43,60480551.02,1406524.44,5,2019-04-15,2025-01-23,0.0,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.48,22,Credit review and payment recovery
C0098,Corporate,Mining,East,Net 30,1,270655,236169,87.26,Very High Credit Utilisation,39,44100313.68,1130777.27,5,2019-05-10,2025-02-06,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.45,23,Credit review and payment recovery
C0409,Government,Logistics,West,Net 45,1,990136,859423,86.8,Very High Credit Utilisation,49,47639090.11,972226.33,5,2019-02-20,2024-12-08,0.02,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.36,24,Credit review and payment recovery
C0077,Corporate,Mining,North,Net 60,1,715444,620984,86.8,Very High Credit Utilisation,30,45416507.56,1513883.59,5,2019-03-28,2024-12-05,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.36,25,Credit review and payment recovery
C0344,Fleet Owner,Mining,West,Net 30,2,508890,439948,86.45,Very High Credit Utilisation,30,40814412.28,1360480.41,5,2019-02-01,2024-07-14,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.29,26,Credit review and payment recovery
C0223,Corporate,Logistics,West,Advance,1,681810,584759,85.77,Very High Credit Utilisation,32,42909153.01,1340911.03,5,2019-01-11,2024-11-24,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.15,27,Credit review and payment recovery
C0014,Fleet Owner,Construction,East,Advance,2,611397,522294,85.43,Very High Credit Utilisation,30,30069315.78,1002310.53,5,2019-05-16,2025-02-10,0.02,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.09,28,Credit review and payment recovery
C0017,Government,Infrastructure,South,Net 15,1,1155360,986611,85.39,Very High Credit Utilisation,40,53913981.07,1347849.53,5,2019-02-17,2025-02-20,0.02,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.08,29,Credit review and payment recovery
C0029,Dealer,Construction,South,Net 45,1,403949,343364,85.0,Very High Credit Utilisation,39,42769874.8,1096663.46,5,2019-03-19,2024-06-16,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,107.0,30,Credit review and payment recovery
C0345,Retail,Infrastructure,West,Net 30,2,31532,26687,84.63,Very High Credit Utilisation,47,52218020.98,1111021.72,5,2019-03-25,2025-01-01,0.0,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,106.93,31,Credit review and payment recovery
C0356,Dealer,Mining,East,Net 45,2,277333,232370,83.79,Very High Credit Utilisation,45,55511329.54,1233585.1,5,2019-03-31,2025-03-02,0.0,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,106.76,32,Credit review and payment recovery
C0176,Dealer,Logistics,South,Net 15,2,397313,332315,83.64,Very High Credit Utilisation,43,53293097.27,1239374.36,5,2019-01-27,2024-10-09,0.01,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,106.73,33,Credit review and payment recovery
C0485,Fleet Owner,Rental,West,Net 60,1,581553,485739,83.52,Very High Credit Utilisation,28,47672753.91,1702598.35,5,2019-02-06,2024-12-03,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,106.7,34,Credit review and payment recovery
C0132,Corporate,Construction,Central,Net 30,2,604969,495963,81.98,Very High Credit Utilisation,38,36512947.63,960867.04,5,2019-03-30,2024-11-26,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,106.4,35,Credit review and payment recovery
C0488,Government,Construction,South,Advance,1,1281429,1043182,81.41,Very High Credit Utilisation,39,52086586.05,1335553.49,5,2019-05-02,2025-01-17,0.02,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,106.28,36,Credit review and payment recovery
C0332,Corporate,Mining,South,Net 45,1,545215,438695,80.46,Very High Credit Utilisation,39,41094493.71,1053704.97,5,2019-04-05,2025-01-06,0.01,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,106.09,37,Credit review and payment recovery
C0002,Fleet Owner,Manufacturing,South,Advance,2,531506,426735,80.29,Very High Credit Utilisation,58,54699150.67,943088.8,5,2019-03-02,2024-11-18,0.01,Very High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,106.06,38,Credit review and payment recovery
C0313,Corporate,Mining,West,Net 60,1,821603,658403,80.14,Very High Credit Utilisation,31,36092179.2,1164263.85,5,2019-07-26,2024-10-14,0.02,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,106.03,39,Credit review and payment recovery
C0314,Retail,Logistics,East,Net 15,1,10952,8769,80.07,Very High Credit Utilisation,38,41244658.79,1085385.76,5,2019-02-05,2024-12-04,0.0,High Payment Activity,Weak Payment Behaviour,90,High Credit Risk,106.01,40,Credit review and payment recovery
C0228,Government,Construction,South,Net 30,3,1026411,1025544,99.92,Very High Credit Utilisation,40,51275128.91,1281878.22,5,2019-04-11,2024-10-26,0.02,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,94.98,41,Credit review and payment recovery
C0072,Government,Logistics,West,Net 15,3,1196826,1192089,99.6,Very High Credit Utilisation,32,46166557.84,1442704.93,5,2019-07-22,2025-01-29,0.03,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,94.92,42,Credit review and payment recovery
C0405,Corporate,Infrastructure,West,Net 30,3,216557,212474,98.11,Very High Credit Utilisation,33,40290783.45,1220932.83,5,2019-02-20,2024-10-22,0.01,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,94.62,43,Credit review and payment recovery
C0149,Government,Manufacturing,West,Advance,3,1227707,1171024,95.38,Very High Credit Utilisation,46,54002256.57,1173962.1,5,2019-03-30,2025-02-11,0.02,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,94.08,44,Credit review and payment recovery
C0493,Retail,Construction,South,Advance,3,18646,17697,94.91,Very High Credit Utilisation,38,47282385.66,1244273.31,5,2019-03-02,2025-01-20,0.0,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,93.98,45,Credit review and payment recovery
C0397,Fleet Owner,Mining,West,Net 30,3,685521,640617,93.45,Very High Credit Utilisation,37,43215136.98,1167976.68,5,2019-05-17,2025-01-03,0.01,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,93.69,46,Credit review and payment recovery
C0243,Government,Construction,North,Net 60,3,1271592,1157997,91.07,Very High Credit Utilisation,32,32256643.9,1008020.12,5,2019-12-27,2024-12-20,0.04,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,93.21,47,Credit review and payment recovery
C0436,Fleet Owner,Logistics,East,Net 30,3,550408,500938,91.01,Very High Credit Utilisation,37,51104662.75,1381207.1,5,2019-03-04,2025-01-18,0.01,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,93.2,48,Credit review and payment recovery
C0473,Government,Rental,South,Net 45,3,1339337,1213028,90.57,Very High Credit Utilisation,29,28394693.29,979127.35,5,2019-04-26,2025-01-05,0.04,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,93.11,49,Credit review and payment recovery
C0087,Government,Logistics,South,Net 60,3,831098,749605,90.19,Very High Credit Utilisation,39,38803333.91,994957.28,5,2019-03-23,2024-12-17,0.02,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,93.04,50,Credit review and payment recovery
C0028,Retail,Infrastructure,South,Net 45,3,45173,40670,90.03,Very High Credit Utilisation,29,32020369.39,1104150.67,5,2019-03-29,2025-01-20,0.0,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,93.01,51,Credit review and payment recovery
C0432,Fleet Owner,Mining,South,Net 30,3,378549,339143,89.59,Very High Credit Utilisation,42,41634762.35,991303.87,5,2019-02-13,2024-11-19,0.01,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,92.92,52,Credit review and payment recovery
C0475,Fleet Owner,Construction,East,Net 45,3,306605,272802,88.98,Very High Credit Utilisation,62,70325108.98,1116271.57,5,2019-02-08,2025-01-30,0.0,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,92.8,53,Credit review and payment recovery
C0297,Fleet Owner,Rental,South,Net 15,3,333899,295884,88.61,Very High Credit Utilisation,33,48650835.89,1474267.75,5,2019-04-17,2024-09-20,0.01,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,92.72,54,Credit review and payment recovery
C0084,Corporate,Logistics,West,Net 60,3,522422,458160,87.7,Very High Credit Utilisation,43,53991519.09,1255616.72,5,2019-05-05,2024-11-19,0.01,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,92.54,55,Credit review and payment recovery
C0451,Government,Manufacturing,East,Advance,3,1083798,936832,86.44,Very High Credit Utilisation,38,41291058.5,1086606.8,5,2019-01-20,2024-09-05,0.02,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,92.29,56,Credit review and payment recovery
C0466,Retail,Manufacturing,South,Advance,3,17753,15154,85.36,Very High Credit Utilisation,56,77298567.66,1380331.57,5,2019-04-13,2025-02-17,0.0,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,92.07,57,Credit review and payment recovery
C0333,Corporate,Mining,South,Net 15,3,523789,445736,85.1,Very High Credit Utilisation,39,51570807.37,1322328.39,5,2019-05-26,2024-12-23,0.01,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,92.02,58,Credit review and payment recovery
C0346,Retail,Construction,East,Advance,3,30962,26154,84.47,Very High Credit Utilisation,46,44046863.89,957540.52,5,2019-02-20,2024-12-16,0.0,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,91.89,59,Credit review and payment recovery
C0206,Retail,Construction,West,Advance,3,29675,24913,83.95,Very High Credit Utilisation,54,73820601.79,1367048.18,5,2019-01-26,2025-01-21,0.0,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,91.79,61,Credit review and payment recovery
C0276,Dealer,Manufacturing,Central,Net 45,3,337657,283507,83.96,Very High Credit Utilisation,45,53356614.92,1185702.55,5,2019-03-05,2025-02-28,0.01,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,91.79,60,Credit review and payment recovery
C0059,Retail,Manufacturing,South,Net 30,3,37344,31278,83.76,Very High Credit Utilisation,37,51246283.64,1385034.69,5,2019-02-17,2024-09-29,0.0,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,91.75,62,Credit review and payment recovery
C0382,Retail,Manufacturing,South,Advance,3,41306,34329,83.11,Very High Credit Utilisation,33,30615516.56,927742.93,5,2019-05-11,2025-01-15,0.0,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,91.62,63,Credit review and payment recovery
C0449,Fleet Owner,Logistics,West,Net 45,3,359802,296904,82.52,Very High Credit Utilisation,39,50545754.49,1296044.99,5,2019-08-11,2025-02-09,0.01,High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,91.5,64,Credit review and payment recovery
C0412,Corporate,Infrastructure,East,Net 45,3,699539,571001,81.63,Very High Credit Utilisation,42,39532170.72,941242.16,5,2019-05-14,2024-07-18,0.01,Very High Payment Activity,Weak Payment Behaviour,75,High Credit Risk,91.33,65,Credit review and payment recovery
