customer_id,customer_type,industry_segment,region,unique_products_purchased,total_product_units,total_product_revenue,total_product_gross_value,avg_revenue_per_product,product_diversification_class,cross_sell_opportunity_score,cross_sell_opportunity_class,cross_sell_priority_rank,action_focus
C0162,Retail,Mining,East,29,2208,48770920,62233145.6,1681755.8620689656,Highly Diversified,3.33,Low Cross-Sell Opportunity,1,Maintain product engagement and monitor purchasing breadth
C0410,Corporate,Mining,South,29,2506,46906860,59804309.8,1617477.9310344828,Highly Diversified,3.33,Low Cross-Sell Opportunity,2,Maintain product engagement and monitor purchasing breadth
C0122,Dealer,Rental,North East,29,2051,37712330,48051119.4,1300425.1724137932,Highly Diversified,3.33,Low Cross-Sell Opportunity,3,Maintain product engagement and monitor purchasing breadth
C0053,Fleet Owner,Construction,North,29,1874,35369930,45016037.4,1219652.7586206896,Highly Diversified,3.33,Low Cross-Sell Opportunity,4,Maintain product engagement and monitor purchasing breadth
C0147,Dealer,Rental,North,29,1946,34566290,44007572.2,1191941.0344827587,Highly Diversified,3.33,Low Cross-Sell Opportunity,5,Maintain product engagement and monitor purchasing breadth
C0150,Fleet Owner,Manufacturing,West,29,1938,32673410,41608958.8,1126669.3103448276,Highly Diversified,3.33,Low Cross-Sell Opportunity,6,Maintain product engagement and monitor purchasing breadth
C0388,Fleet Owner,Infrastructure,West,29,1660,30890020,39389408.6,1065173.103448276,Highly Diversified,3.33,Low Cross-Sell Opportunity,7,Maintain product engagement and monitor purchasing breadth
C0271,Corporate,Infrastructure,South,29,1675,29644660,37757473.8,1022229.6551724138,Highly Diversified,3.33,Low Cross-Sell Opportunity,8,Maintain product engagement and monitor purchasing breadth
C0180,Fleet Owner,Logistics,South,29,1892,23677460,30093537.8,816464.1379310344,Highly Diversified,3.33,Low Cross-Sell Opportunity,9,Maintain product engagement and monitor purchasing breadth
C0153,Retail,Rental,East,30,4158,84966970,108200489.6,2832232.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,10,Maintain product engagement and monitor purchasing breadth
C0288,Dealer,Infrastructure,North,30,4116,76291160,97218403.8,2543038.6666666665,Highly Diversified,0.0,Low Cross-Sell Opportunity,11,Maintain product engagement and monitor purchasing breadth
C0483,Corporate,Rental,North,30,3454,75352940,96130859.2,2511764.6666666665,Highly Diversified,0.0,Low Cross-Sell Opportunity,12,Maintain product engagement and monitor purchasing breadth
C0475,Fleet Owner,Construction,East,30,4162,74442140,94883375.2,2481404.6666666665,Highly Diversified,0.0,Low Cross-Sell Opportunity,13,Maintain product engagement and monitor purchasing breadth
C0495,Fleet Owner,Infrastructure,North,30,3533,74165320,94540537.6,2472177.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,14,Maintain product engagement and monitor purchasing breadth
C0240,Corporate,Manufacturing,South,30,3430,72778580,92835709.4,2425952.6666666665,Highly Diversified,0.0,Low Cross-Sell Opportunity,15,Maintain product engagement and monitor purchasing breadth
C0420,Retail,Rental,South,30,3596,72545910,92482888.8,2418197.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,16,Maintain product engagement and monitor purchasing breadth
C0110,Dealer,Logistics,Central,30,3618,71230450,90807306.0,2374348.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,17,Maintain product engagement and monitor purchasing breadth
C0083,Dealer,Infrastructure,North,30,3381,70378740,89672688.2,2345958.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,18,Maintain product engagement and monitor purchasing breadth
C0206,Retail,Construction,West,30,3255,70279540,89674652.2,2342651.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,19,Maintain product engagement and monitor purchasing breadth
C0178,Dealer,Logistics,East,30,3693,70236970,89493824.6,2341232.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,20,Maintain product engagement and monitor purchasing breadth
C0254,Dealer,Mining,West,30,3425,70227620,89556446.6,2340920.6666666665,Highly Diversified,0.0,Low Cross-Sell Opportunity,21,Maintain product engagement and monitor purchasing breadth
C0466,Retail,Manufacturing,South,30,3592,69276730,88329161.4,2309224.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,22,Maintain product engagement and monitor purchasing breadth
C0207,Corporate,Rental,East,30,3149,68312200,87068691.0,2277073.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,23,Maintain product engagement and monitor purchasing breadth
C0046,Retail,Rental,West,30,3109,68236200,87078641.0,2274540.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,24,Maintain product engagement and monitor purchasing breadth
C0304,Dealer,Construction,North,30,3566,67903880,86460648.4,2263462.6666666665,Highly Diversified,0.0,Low Cross-Sell Opportunity,25,Maintain product engagement and monitor purchasing breadth
C0359,Fleet Owner,Mining,South,30,3389,67221300,85617784.0,2240710.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,26,Maintain product engagement and monitor purchasing breadth
C0134,Fleet Owner,Infrastructure,West,30,3623,66943890,85243025.2,2231463.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,27,Maintain product engagement and monitor purchasing breadth
C0107,Fleet Owner,Construction,North,30,3857,66825070,85196217.6,2227502.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,28,Maintain product engagement and monitor purchasing breadth
C0142,Retail,Manufacturing,West,30,3255,66580100,84828043.0,2219336.6666666665,Highly Diversified,0.0,Low Cross-Sell Opportunity,29,Maintain product engagement and monitor purchasing breadth
C0490,Government,Logistics,West,30,3654,66510660,84742703.8,2217022.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,30,Maintain product engagement and monitor purchasing breadth
C0200,Retail,Logistics,East,30,3496,66268870,84469856.6,2208962.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,31,Maintain product engagement and monitor purchasing breadth
C0462,Retail,Logistics,South,30,3546,64949220,82777824.6,2164974.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,32,Maintain product engagement and monitor purchasing breadth
C0440,Retail,Manufacturing,South,30,3315,64680520,82426773.6,2156017.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,33,Maintain product engagement and monitor purchasing breadth
C0049,Dealer,Manufacturing,South,30,3073,64589840,82316206.2,2152994.6666666665,Highly Diversified,0.0,Low Cross-Sell Opportunity,34,Maintain product engagement and monitor purchasing breadth
C0221,Dealer,Logistics,North,30,2968,64336800,82001959.0,2144560.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,35,Maintain product engagement and monitor purchasing breadth
C0371,Retail,Rental,South,30,2844,64331600,82052808.0,2144386.6666666665,Highly Diversified,0.0,Low Cross-Sell Opportunity,36,Maintain product engagement and monitor purchasing breadth
C0375,Fleet Owner,Mining,West,30,3033,63738420,81286325.6,2124614.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,37,Maintain product engagement and monitor purchasing breadth
C0403,Government,Construction,East,30,3459,63236900,80523517.0,2107896.6666666665,Highly Diversified,0.0,Low Cross-Sell Opportunity,38,Maintain product engagement and monitor purchasing breadth
C0201,Dealer,Infrastructure,South,30,3326,63133600,80475593.0,2104453.3333333335,Highly Diversified,0.0,Low Cross-Sell Opportunity,39,Maintain product engagement and monitor purchasing breadth
C0076,Government,Mining,South,30,3067,62759940,80026994.2,2091998.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,40,Maintain product engagement and monitor purchasing breadth
C0294,Government,Infrastructure,South,30,3654,62587650,79772077.0,2086255.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,41,Maintain product engagement and monitor purchasing breadth
C0356,Dealer,Mining,East,30,3218,62479450,79690881.0,2082648.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,42,Maintain product engagement and monitor purchasing breadth
C0165,Fleet Owner,Manufacturing,North,30,3496,62168180,79168592.4,2072272.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,43,Maintain product engagement and monitor purchasing breadth
C0291,Retail,Construction,South,30,2969,61983900,79064597.0,2066130.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,44,Maintain product engagement and monitor purchasing breadth
C0062,Dealer,Construction,South,30,3044,61918150,78963082.0,2063938.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,45,Maintain product engagement and monitor purchasing breadth
C0113,Corporate,Logistics,South,30,2822,61701750,78713400.0,2056725.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,46,Maintain product engagement and monitor purchasing breadth
C0380,Fleet Owner,Manufacturing,South,30,3614,61154260,77887431.8,2038475.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,47,Maintain product engagement and monitor purchasing breadth
C0082,Fleet Owner,Manufacturing,West,30,3206,60929520,77500928.6,2030984.0,Highly Diversified,0.0,Low Cross-Sell Opportunity,48,Maintain product engagement and monitor purchasing breadth
C0244,Government,Logistics,North,30,2958,60886580,77550764.4,2029552.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,49,Maintain product engagement and monitor purchasing breadth
C0197,Government,Manufacturing,West,30,3182,60798070,77464617.60000001,2026602.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,50,Maintain product engagement and monitor purchasing breadth
C0060,Dealer,Mining,South,30,3190,60575030,77163010.4,2019167.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,51,Maintain product engagement and monitor purchasing breadth
C0069,Dealer,Logistics,North,30,3351,60517360,77108269.8,2017245.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,52,Maintain product engagement and monitor purchasing breadth
C0246,Retail,Manufacturing,North,30,2469,60399770,77080113.6,2013325.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,53,Maintain product engagement and monitor purchasing breadth
C0013,Dealer,Construction,West,30,3311,60328180,76843692.4,2010939.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,54,Maintain product engagement and monitor purchasing breadth
C0070,Government,Logistics,West,30,2884,60254230,76883391.4,2008474.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,55,Maintain product engagement and monitor purchasing breadth
C0129,Corporate,Mining,North,30,2939,59941820,76393252.6,1998060.6666666667,Highly Diversified,0.0,Low Cross-Sell Opportunity,56,Maintain product engagement and monitor purchasing breadth
C0257,Corporate,Logistics,North,30,3264,59812600,76189558.0,1993753.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,57,Maintain product engagement and monitor purchasing breadth
C0478,Retail,Rental,North,30,3141,59528290,75901402.2,1984276.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,58,Maintain product engagement and monitor purchasing breadth
C0272,Government,Construction,North,30,2889,59253070,75550922.6,1975102.3333333333,Highly Diversified,0.0,Low Cross-Sell Opportunity,59,Maintain product engagement and monitor purchasing breadth
