customer_id,customer_type,industry_segment,region,delivered_order_count,total_revenue,average_order_value,first_purchase_date,last_purchase_date,purchase_frequency_class,purchase_frequency_score,customer_value_class,purchase_behaviour_segment,order_share_pct,revenue_share_pct,purchase_behaviour_priority_score,purchase_behaviour_priority_class,purchase_behaviour_priority_rank
C0153,Retail,Rental,East,56,108200489.6,1932151.6,2019-01-17,2024-12-12,Very High Frequency,100,Very High Value,High Frequency High Value,0.3105,0.3699,100.0,Critical Priority,1
C0288,Dealer,Infrastructure,North,55,97218403.8,1767607.34,2019-02-21,2024-10-18,Very High Frequency,100,Very High Value,High Frequency High Value,0.305,0.3323,94.93,Critical Priority,2
C0483,Corporate,Rental,North,47,96130859.2,2045337.43,2019-02-20,2024-12-18,Very High Frequency,100,Very High Value,High Frequency High Value,0.2606,0.3286,94.42,Critical Priority,3
C0475,Fleet Owner,Construction,East,55,94883375.2,1725152.28,2019-01-19,2024-12-18,Very High Frequency,100,Very High Value,High Frequency High Value,0.305,0.3243,93.85,Critical Priority,4
C0495,Fleet Owner,Infrastructure,North,48,94540537.6,1969594.53,2019-01-28,2024-11-25,Very High Frequency,100,Very High Value,High Frequency High Value,0.2662,0.3232,93.69,Critical Priority,5
C0240,Corporate,Manufacturing,South,46,92835709.4,2018167.6,2019-02-19,2024-11-10,Very High Frequency,100,Very High Value,High Frequency High Value,0.2551,0.3173,92.9,Critical Priority,6
C0420,Retail,Rental,South,46,92482888.8,2010497.58,2019-01-10,2024-11-22,Very High Frequency,100,Very High Value,High Frequency High Value,0.2551,0.3161,92.74,Critical Priority,7
C0083,Dealer,Infrastructure,North,45,89672688.2,1992726.4,2019-05-23,2024-10-04,Very High Frequency,100,Very High Value,High Frequency High Value,0.2495,0.3065,91.44,Critical Priority,8
C0254,Dealer,Mining,West,48,89556446.6,1865759.3,2019-07-01,2024-09-25,Very High Frequency,100,Very High Value,High Frequency High Value,0.2662,0.3061,91.38,Critical Priority,9
C0178,Dealer,Logistics,East,54,89493824.6,1657293.05,2019-01-22,2024-12-09,Very High Frequency,100,Very High Value,High Frequency High Value,0.2995,0.3059,91.36,Critical Priority,10
C0466,Retail,Manufacturing,South,47,88329161.4,1879343.86,2019-03-19,2024-12-13,Very High Frequency,100,Very High Value,High Frequency High Value,0.2606,0.3019,90.82,Critical Priority,11
C0046,Retail,Rental,West,46,87078641.0,1893013.93,2019-02-03,2024-12-09,Very High Frequency,100,Very High Value,High Frequency High Value,0.2551,0.2977,90.24,Critical Priority,12
C0207,Corporate,Rental,East,45,87068691.0,1934859.8,2019-02-10,2024-10-13,Very High Frequency,100,Very High Value,High Frequency High Value,0.2495,0.2976,90.23,Critical Priority,13
C0304,Dealer,Construction,North,48,86460648.4,1801263.51,2019-01-26,2024-12-25,Very High Frequency,100,Very High Value,High Frequency High Value,0.2662,0.2956,89.95,Critical Priority,14
C0359,Fleet Owner,Mining,South,46,85617784.0,1861256.17,2019-02-12,2024-11-28,Very High Frequency,100,Very High Value,High Frequency High Value,0.2551,0.2927,89.56,Critical Priority,15
C0134,Fleet Owner,Infrastructure,West,48,85243025.2,1775896.36,2019-03-03,2024-11-24,Very High Frequency,100,Very High Value,High Frequency High Value,0.2662,0.2914,89.39,Critical Priority,16
C0107,Fleet Owner,Construction,North,49,85196217.6,1738698.32,2019-01-16,2024-12-11,Very High Frequency,100,Very High Value,High Frequency High Value,0.2717,0.2912,89.37,Critical Priority,17
C0142,Retail,Manufacturing,West,45,84828043.0,1885067.62,2019-02-06,2024-12-08,Very High Frequency,100,Very High Value,High Frequency High Value,0.2495,0.29,89.2,Critical Priority,18
C0200,Retail,Logistics,East,47,84469856.6,1797230.99,2019-02-09,2024-11-25,Very High Frequency,100,Very High Value,High Frequency High Value,0.2606,0.2887,89.03,Critical Priority,19
C0462,Retail,Logistics,South,49,82777824.6,1689343.36,2019-01-06,2024-11-13,Very High Frequency,100,Very High Value,High Frequency High Value,0.2717,0.283,88.25,Critical Priority,20
C0371,Retail,Rental,South,47,82052808.0,1745804.43,2019-01-03,2024-11-02,Very High Frequency,100,Very High Value,High Frequency High Value,0.2606,0.2805,87.92,Critical Priority,21
C0403,Government,Construction,East,45,80523517.0,1789411.49,2019-02-19,2024-12-10,Very High Frequency,100,Very High Value,High Frequency High Value,0.2495,0.2753,87.21,Critical Priority,22
C0201,Dealer,Infrastructure,South,47,80475593.0,1712246.66,2019-02-01,2024-12-13,Very High Frequency,100,Very High Value,High Frequency High Value,0.2606,0.2751,87.19,Critical Priority,23
C0076,Government,Mining,South,45,80026994.2,1778377.65,2019-01-12,2024-10-06,Very High Frequency,100,Very High Value,High Frequency High Value,0.2495,0.2736,86.98,Critical Priority,24
C0294,Government,Infrastructure,South,45,79772077.0,1772712.82,2019-03-26,2024-12-27,Very High Frequency,100,Very High Value,High Frequency High Value,0.2495,0.2727,86.86,Critical Priority,25
C0356,Dealer,Mining,East,45,79690881.0,1770908.47,2019-03-16,2024-12-05,Very High Frequency,100,Very High Value,High Frequency High Value,0.2495,0.2724,86.83,Critical Priority,26
C0165,Fleet Owner,Manufacturing,North,50,79168592.4,1583371.85,2019-02-27,2024-12-24,Very High Frequency,100,Very High Value,High Frequency High Value,0.2773,0.2706,86.58,Critical Priority,27
C0291,Retail,Construction,South,46,79064597.0,1718795.59,2019-03-13,2024-12-03,Very High Frequency,100,Very High Value,High Frequency High Value,0.2551,0.2703,86.54,Critical Priority,28
C0380,Fleet Owner,Manufacturing,South,50,77887431.8,1557748.64,2019-01-29,2024-11-03,Very High Frequency,100,Very High Value,High Frequency High Value,0.2773,0.2662,85.99,Critical Priority,29
C0082,Fleet Owner,Manufacturing,West,46,77500928.6,1684802.8,2019-03-17,2024-12-18,Very High Frequency,100,Very High Value,High Frequency High Value,0.2551,0.2649,85.81,Critical Priority,30
C0197,Government,Manufacturing,West,47,77464617.6,1648183.35,2019-02-22,2024-10-18,Very High Frequency,100,Very High Value,High Frequency High Value,0.2606,0.2648,85.8,Critical Priority,31
C0069,Dealer,Logistics,North,47,77108269.8,1640601.49,2019-02-18,2024-12-11,Very High Frequency,100,Very High Value,High Frequency High Value,0.2606,0.2636,85.63,Critical Priority,32
C0468,Fleet Owner,Rental,South,49,75254807.6,1535812.4,2019-05-10,2024-11-10,Very High Frequency,100,Very High Value,High Frequency High Value,0.2717,0.2572,84.78,Critical Priority,33
C0005,Dealer,Construction,West,45,74996415.4,1666587.01,2019-02-28,2024-10-04,Very High Frequency,100,Very High Value,High Frequency High Value,0.2495,0.2564,84.66,Critical Priority,34
C0154,Fleet Owner,Logistics,North,45,74171590.6,1648257.57,2019-01-29,2024-08-21,Very High Frequency,100,Very High Value,High Frequency High Value,0.2495,0.2535,84.28,Critical Priority,35
C0215,Corporate,Rental,South,49,73940925.4,1508998.48,2019-02-28,2024-12-24,Very High Frequency,100,Very High Value,High Frequency High Value,0.2717,0.2528,84.17,Critical Priority,36
C0435,Dealer,Manufacturing,South,50,73908258.2,1478165.16,2019-10-11,2024-11-01,Very High Frequency,100,Very High Value,High Frequency High Value,0.2773,0.2526,84.15,Critical Priority,37
C0242,Government,Construction,South,47,73225487.6,1557989.1,2019-01-30,2024-11-18,Very High Frequency,100,Very High Value,High Frequency High Value,0.2606,0.2503,83.84,Critical Priority,38
C0002,Fleet Owner,Manufacturing,South,51,71712838.0,1406134.08,2019-01-24,2024-09-07,Very High Frequency,100,Very High Value,High Frequency High Value,0.2828,0.2451,83.14,Critical Priority,39
C0196,Fleet Owner,Rental,North East,48,71291851.6,1485246.91,2019-01-09,2024-10-28,Very High Frequency,100,Very High Value,High Frequency High Value,0.2662,0.2437,82.94,Critical Priority,40
C0255,Retail,Infrastructure,South,45,71144094.2,1580979.87,2019-01-05,2024-11-11,Very High Frequency,100,Very High Value,High Frequency High Value,0.2495,0.2432,82.88,Critical Priority,41
C0489,Fleet Owner,Rental,South,47,70625273.0,1502665.38,2019-04-14,2024-08-17,Very High Frequency,100,Very High Value,High Frequency High Value,0.2606,0.2414,82.64,Critical Priority,42
C0225,Fleet Owner,Logistics,North,48,69254158.0,1442794.96,2019-03-17,2024-07-17,Very High Frequency,100,Very High Value,High Frequency High Value,0.2662,0.2367,82.0,Critical Priority,43
C0110,Dealer,Logistics,Central,42,90807306.0,2162078.71,2019-01-25,2024-06-21,High Frequency,80,Very High Value,High Frequency Valuable,0.2329,0.3104,81.96,Critical Priority,44
C0206,Retail,Construction,West,40,89674652.2,2241866.31,2019-01-08,2024-12-11,High Frequency,80,Very High Value,High Frequency Valuable,0.2218,0.3065,81.44,Critical Priority,45
C0119,Government,Manufacturing,West,51,67143205.2,1316533.44,2019-01-07,2024-10-26,Very High Frequency,100,Very High Value,High Frequency High Value,0.2828,0.2295,81.03,Critical Priority,46
C0275,Fleet Owner,Construction,West,45,64270295.0,1428228.78,2019-06-17,2024-11-06,Very High Frequency,100,High Value,High Frequency Valuable,0.2495,0.2197,79.7,High Priority,47
C0301,Dealer,Mining,East,46,63821535.6,1387424.69,2019-01-13,2024-12-19,Very High Frequency,100,High Value,High Frequency Valuable,0.2551,0.2182,79.49,High Priority,48
C0490,Government,Logistics,West,44,84742703.8,1925970.54,2019-01-26,2024-12-29,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2897,79.16,High Priority,49
C0010,Dealer,Construction,South,46,63051038.4,1370674.75,2019-01-23,2024-11-27,Very High Frequency,100,High Value,High Frequency Valuable,0.2551,0.2155,79.14,High Priority,50
C0467,Retail,Construction,North,48,62880162.4,1310003.38,2019-01-02,2024-11-06,Very High Frequency,100,High Value,High Frequency Valuable,0.2662,0.2149,79.06,High Priority,51
C0004,Fleet Owner,Logistics,South,46,60843242.8,1322679.19,2019-03-21,2024-12-31,Very High Frequency,100,High Value,High Frequency Valuable,0.2551,0.208,78.12,High Priority,52
C0409,Government,Logistics,West,45,60821412.6,1351586.95,2019-01-19,2024-10-09,Very High Frequency,100,High Value,High Frequency Valuable,0.2495,0.2079,78.11,High Priority,53
C0440,Retail,Manufacturing,South,44,82426773.6,1873335.76,2019-01-29,2024-10-21,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2818,78.09,High Priority,54
C0221,Dealer,Logistics,North,44,82001959.0,1863680.89,2019-01-17,2024-09-05,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2803,77.89,High Priority,55
C0021,Corporate,Mining,South,45,59956738.4,1332371.96,2019-01-16,2024-10-01,Very High Frequency,100,High Value,High Frequency Valuable,0.2495,0.205,77.71,High Priority,56
C0375,Fleet Owner,Mining,West,42,81286325.6,1935388.7,2019-02-20,2024-11-03,High Frequency,80,Very High Value,High Frequency Valuable,0.2329,0.2779,77.56,High Priority,57
C0113,Corporate,Logistics,South,41,78713400.0,1919839.02,2019-01-13,2024-12-23,High Frequency,80,Very High Value,High Frequency Valuable,0.2274,0.2691,76.37,High Priority,58
C0244,Government,Logistics,North,44,77550764.4,1762517.37,2019-05-06,2024-12-09,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2651,75.84,High Priority,59
C0060,Dealer,Mining,South,44,77163010.4,1753704.78,2019-07-20,2024-11-24,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2638,75.66,High Priority,60
C0070,Government,Logistics,West,41,76883391.4,1875204.67,2019-02-04,2024-12-20,High Frequency,80,Very High Value,High Frequency Valuable,0.2274,0.2628,75.53,High Priority,61
C0013,Dealer,Construction,West,44,76843692.4,1746447.55,2019-01-02,2024-10-27,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2627,75.51,High Priority,62
C0257,Corporate,Logistics,North,43,76189558.0,1771850.19,2019-01-18,2024-12-23,High Frequency,80,Very High Value,High Frequency Valuable,0.2385,0.2604,75.21,High Priority,63
C0478,Retail,Rental,North,44,75901402.2,1725031.87,2019-02-04,2024-12-29,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2595,75.07,High Priority,64
C0285,Government,Infrastructure,West,47,54036327.8,1149709.1,2019-02-11,2024-12-05,Very High Frequency,100,Medium Value,Frequent Low Value,0.2606,0.1847,74.97,High Priority,65
C0103,Dealer,Infrastructure,South,40,75304293.2,1882607.33,2019-02-21,2024-08-29,High Frequency,80,Very High Value,High Frequency Valuable,0.2218,0.2574,74.8,High Priority,66
C0045,Corporate,Rental,East,42,75275350.6,1792270.25,2019-02-02,2024-12-15,High Frequency,80,Very High Value,High Frequency Valuable,0.2329,0.2573,74.79,High Priority,67
C0237,Dealer,Infrastructure,South,44,74820743.4,1700471.44,2019-01-28,2024-10-15,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2558,74.58,High Priority,68
C0250,Government,Infrastructure,East,43,74416923.4,1730626.13,2019-03-08,2024-12-20,High Frequency,80,Very High Value,High Frequency Valuable,0.2385,0.2544,74.39,High Priority,69
C0042,Fleet Owner,Rental,South,41,73882726.2,1802017.71,2019-01-25,2024-10-13,High Frequency,80,Very High Value,High Frequency Valuable,0.2274,0.2526,74.14,High Priority,70
C0307,Dealer,Manufacturing,West,42,73655534.6,1753703.2,2019-01-15,2024-11-24,High Frequency,80,Very High Value,High Frequency Valuable,0.2329,0.2518,74.04,High Priority,71
C0300,Dealer,Mining,North,40,72746205.0,1818655.12,2019-05-05,2024-11-18,High Frequency,80,Very High Value,High Frequency Valuable,0.2218,0.2487,73.62,High Priority,72
C0411,Corporate,Mining,South,43,72229183.0,1679748.44,2019-07-14,2024-12-12,High Frequency,80,Very High Value,High Frequency Valuable,0.2385,0.2469,73.38,High Priority,73
C0071,Corporate,Rental,North,42,72076738.0,1716112.81,2019-01-24,2024-11-26,High Frequency,80,Very High Value,High Frequency Valuable,0.2329,0.2464,73.31,High Priority,74
C0032,Government,Logistics,West,44,71991263.0,1636165.07,2019-01-23,2024-10-25,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2461,73.27,High Priority,75
C0459,Retail,Logistics,East,41,71816909.8,1751631.95,2019-03-10,2024-12-14,High Frequency,80,Very High Value,High Frequency Valuable,0.2274,0.2455,73.19,High Priority,76
C0160,Retail,Rental,West,44,70762190.2,1608231.6,2019-02-19,2024-11-23,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2419,72.7,High Priority,77
C0186,Fleet Owner,Infrastructure,East,40,70676837.0,1766920.92,2019-02-17,2024-12-11,High Frequency,80,Very High Value,High Frequency Valuable,0.2218,0.2416,72.66,High Priority,78
C0394,Government,Construction,South,40,69936379.2,1748409.48,2019-03-08,2024-11-21,High Frequency,80,Very High Value,High Frequency Valuable,0.2218,0.2391,72.32,High Priority,79
C0306,Fleet Owner,Manufacturing,East,42,69813587.0,1662228.26,2019-07-19,2024-12-16,High Frequency,80,Very High Value,High Frequency Valuable,0.2329,0.2386,72.26,High Priority,80
C0284,Corporate,Manufacturing,East,41,69641823.4,1698581.06,2019-01-09,2024-12-23,High Frequency,80,Very High Value,High Frequency Valuable,0.2274,0.2381,72.18,High Priority,81
C0109,Retail,Mining,South,44,69451949.0,1578453.39,2019-01-14,2024-12-09,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2374,72.09,High Priority,82
C0169,Fleet Owner,Construction,West,40,69450095.6,1736252.39,2019-03-25,2024-10-27,High Frequency,80,Very High Value,High Frequency Valuable,0.2218,0.2374,72.09,High Priority,83
C0429,Fleet Owner,Logistics,West,42,69444114.2,1653431.29,2019-02-08,2024-10-21,High Frequency,80,Very High Value,High Frequency Valuable,0.2329,0.2374,72.09,High Priority,84
C0282,Government,Logistics,East,44,69381309.6,1576847.95,2019-01-17,2024-12-24,High Frequency,80,Very High Value,High Frequency Valuable,0.244,0.2372,72.06,High Priority,85
C0311,Government,Infrastructure,North,41,69331648.2,1691015.81,2019-02-03,2024-09-17,High Frequency,80,Very High Value,High Frequency Valuable,0.2274,0.237,72.04,High Priority,86
C0192,Fleet Owner,Logistics,East,40,69269688.4,1731742.21,2019-01-19,2024-08-29,High Frequency,80,Very High Value,High Frequency Valuable,0.2218,0.2368,72.01,High Priority,87
C0469,Government,Manufacturing,North,40,68502617.4,1712565.44,2019-01-04,2024-12-18,High Frequency,80,Very High Value,High Frequency Valuable,0.2218,0.2342,71.66,High Priority,88
C0343,Corporate,Construction,West,40,68419201.6,1710480.04,2019-02-28,2024-11-21,High Frequency,80,Very High Value,High Frequency Valuable,0.2218,0.2339,71.62,High Priority,89
