customer_id,total_delivered_orders,total_purchase_value,first_purchase_date,last_purchase_date,purchase_period_days,average_order_value,orders_per_month,purchase_span_years,repeat_purchase_class,customer_loyalty_class,customer_type,industry_segment,region,customer_rating,frequency_score,value_score,loyalty_score,action_focus,loyalty_rank
C0153,56,108200489.6,2019-01-17,2024-12-12,2156,1932151.6,0.79,5.9,Very High Repeat,Highly Loyal,Retail,Rental,East,4,100.0,100.0,100.0,Protect relationship and introduce premium loyalty benefits,1
C0288,55,97218403.8,2019-02-21,2024-10-18,2066,1767607.34,0.81,5.66,Very High Repeat,Highly Loyal,Dealer,Infrastructure,North,3,98.21,89.85,94.87,Protect relationship and introduce premium loyalty benefits,2
C0475,55,94883375.2,2019-01-19,2024-12-18,2160,1725152.28,0.78,5.91,Very High Repeat,Highly Loyal,Fleet Owner,Construction,East,3,98.21,87.69,94.01,Protect relationship and introduce premium loyalty benefits,3
C0178,54,89493824.6,2019-01-22,2024-12-09,2148,1657293.05,0.77,5.88,Very High Repeat,Highly Loyal,Dealer,Logistics,East,1,96.43,82.71,90.94,Protect relationship and introduce premium loyalty benefits,4
C0495,48,94540537.6,2019-01-28,2024-11-25,2128,1969594.53,0.69,5.83,Very High Repeat,Highly Loyal,Fleet Owner,Infrastructure,North,2,85.71,87.38,86.38,Protect relationship and introduce premium loyalty benefits,5
C0483,47,96130859.2,2019-02-20,2024-12-18,2128,2045337.43,0.67,5.83,Very High Repeat,Highly Loyal,Corporate,Rental,North,1,83.93,88.85,85.9,Protect relationship and introduce premium loyalty benefits,6
C0254,48,89556446.6,2019-07-01,2024-09-25,1913,1865759.3,0.76,5.24,Very High Repeat,Highly Loyal,Dealer,Mining,West,5,85.71,82.77,84.54,Protect relationship and introduce premium loyalty benefits,7
C0107,49,85196217.6,2019-01-16,2024-12-11,2156,1738698.32,0.69,5.9,Very High Repeat,Highly Loyal,Fleet Owner,Construction,North,1,87.5,78.74,84.0,Protect relationship and introduce premium loyalty benefits,8
C0240,46,92835709.4,2019-02-19,2024-11-10,2091,2018167.6,0.67,5.72,Very High Repeat,Highly Loyal,Corporate,Manufacturing,South,1,82.14,85.8,83.61,Protect relationship and introduce premium loyalty benefits,9
C0420,46,92482888.8,2019-01-10,2024-11-22,2143,2010497.58,0.65,5.87,Very High Repeat,Highly Loyal,Retail,Rental,South,3,82.14,85.47,83.48,Protect relationship and introduce premium loyalty benefits,10
C0304,48,86460648.4,2019-01-26,2024-12-25,2160,1801263.51,0.68,5.91,Very High Repeat,Highly Loyal,Dealer,Construction,North,5,85.71,79.91,83.39,Protect relationship and introduce premium loyalty benefits,11
C0462,49,82777824.6,2019-01-06,2024-11-13,2138,1689343.36,0.7,5.85,Very High Repeat,Highly Loyal,Retail,Logistics,South,5,87.5,76.5,83.1,Protect relationship and introduce premium loyalty benefits,12
C0466,47,88329161.4,2019-03-19,2024-12-13,2096,1879343.86,0.68,5.74,Very High Repeat,Highly Loyal,Retail,Manufacturing,South,3,83.93,81.63,83.01,Protect relationship and introduce premium loyalty benefits,13
C0134,48,85243025.2,2019-03-03,2024-11-24,2093,1775896.36,0.7,5.73,Very High Repeat,Highly Loyal,Fleet Owner,Infrastructure,West,5,85.71,78.78,82.94,Protect relationship and introduce premium loyalty benefits,14
C0165,50,79168592.4,2019-02-27,2024-12-24,2127,1583371.85,0.72,5.82,Very High Repeat,Highly Loyal,Fleet Owner,Manufacturing,North,4,89.29,73.17,82.84,Protect relationship and introduce premium loyalty benefits,15
C0380,50,77887431.8,2019-01-29,2024-11-03,2105,1557748.64,0.72,5.76,Very High Repeat,Highly Loyal,Fleet Owner,Manufacturing,South,5,89.29,71.98,82.37,Protect relationship and introduce premium loyalty benefits,16
C0200,47,84469856.6,2019-02-09,2024-11-25,2116,1797230.99,0.68,5.79,Very High Repeat,Highly Loyal,Retail,Logistics,East,2,83.93,78.07,81.58,Protect relationship and introduce premium loyalty benefits,17
