customer_id,delivered_order_count,first_purchase_date,last_purchase_date,total_revenue,average_days_between_orders,minimum_days_between_orders,maximum_days_between_orders,customer_active_days,purchase_period_years,orders_per_year,purchase_frequency_class,purchase_interval_class,repeat_customer_class,average_order_value,customer_type,industry_segment,region,credit_limit,current_balance,customer_rating,purchase_frequency_score,purchase_behaviour_class,purchase_priority_score,purchase_priority_rank
C0475,55,2019-01-19,2024-12-18,94883375.2,40.0,0.0,123.0,2160,5.91,9.3,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1725152.28,Fleet Owner,Construction,East,306605,272802,3,5,Engaged Customer,115,1
C0468,49,2019-05-10,2024-11-10,75254807.6,41.9,1.0,203.0,2011,5.51,8.9,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1535812.4,Fleet Owner,Rental,South,531281,35084,1,5,Engaged Customer,115,2
C0462,49,2019-01-06,2024-11-13,82777824.6,44.54,5.0,150.0,2138,5.85,8.37,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1689343.36,Retail,Logistics,South,22565,9458,5,5,Engaged Customer,115,3
C0435,50,2019-10-11,2024-11-01,73908258.2,37.71,0.0,195.0,1848,5.06,9.88,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1478165.16,Dealer,Manufacturing,South,393189,129432,4,5,Engaged Customer,115,4
C0083,45,2019-05-23,2024-10-04,89672688.2,44.57,0.0,242.0,1961,5.37,8.38,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1992726.4,Dealer,Infrastructure,North,214857,64003,2,5,Engaged Customer,115,5
C0107,49,2019-01-16,2024-12-11,85196217.6,44.92,1.0,195.0,2156,5.9,8.3,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1738698.32,Fleet Owner,Construction,North,412425,152905,1,5,Engaged Customer,115,6
C0119,51,2019-01-07,2024-10-26,67143205.2,42.38,0.0,211.0,2119,5.8,8.79,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1316533.44,Government,Manufacturing,West,1079453,124485,4,5,Engaged Customer,115,7
C0380,50,2019-01-29,2024-11-03,77887431.8,42.96,0.0,156.0,2105,5.76,8.68,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1557748.64,Fleet Owner,Manufacturing,South,343972,250436,5,5,Engaged Customer,115,8
C0225,48,2019-03-17,2024-07-17,69254158.0,41.47,1.0,159.0,1949,5.34,9.0,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1442794.96,Fleet Owner,Logistics,North,431855,283635,5,5,Engaged Customer,115,9
C0215,49,2019-02-28,2024-12-24,73940925.4,44.29,0.0,171.0,2126,5.82,8.42,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1508998.48,Corporate,Rental,South,647280,121034,5,5,Engaged Customer,115,10
C0002,51,2019-01-24,2024-09-07,71712838.0,41.06,2.0,316.0,2053,5.62,9.07,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1406134.08,Fleet Owner,Manufacturing,South,531506,426735,2,5,Engaged Customer,115,11
C0489,47,2019-04-14,2024-08-17,70625273.0,42.43,1.0,213.0,1952,5.34,8.79,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1502665.38,Fleet Owner,Rental,South,594359,581546,5,5,Engaged Customer,115,12
C0254,48,2019-07-01,2024-09-25,89556446.6,40.7,1.0,192.0,1913,5.24,9.16,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1865759.3,Dealer,Mining,West,194781,184262,5,5,Engaged Customer,115,13
C0288,55,2019-02-21,2024-10-18,97218403.8,38.26,0.0,136.0,2066,5.66,9.72,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1767607.34,Dealer,Infrastructure,North,279745,19656,3,5,Engaged Customer,115,14
C0197,47,2019-02-22,2024-10-18,77464617.6,44.89,1.0,259.0,2065,5.65,8.31,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1648183.35,Government,Manufacturing,West,1385304,201035,2,5,Engaged Customer,115,15
C0275,45,2019-06-17,2024-11-06,64270295.0,44.75,2.0,168.0,1969,5.39,8.35,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1428228.78,Fleet Owner,Construction,West,651275,262408,5,5,Engaged Customer,115,16
C0209,44,2019-10-18,2024-11-22,65445658.4,43.3,1.0,255.0,1862,5.1,8.63,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1487401.33,Corporate,Infrastructure,East,834417,590973,5,5,Engaged Customer,115,17
C0165,50,2019-02-27,2024-12-24,79168592.4,43.41,1.0,231.0,2127,5.82,8.59,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1583371.85,Fleet Owner,Manufacturing,North,364580,79115,4,5,Engaged Customer,115,18
C0178,54,2019-01-22,2024-12-09,89493824.6,40.53,0.0,223.0,2148,5.88,9.18,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1657293.05,Dealer,Logistics,East,178736,135022,1,5,Engaged Customer,115,19
C0153,56,2019-01-17,2024-12-12,108200489.6,39.2,1.0,137.0,2156,5.9,9.49,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1932151.6,Retail,Rental,East,32014,27630,4,5,Engaged Customer,115,20
C0134,48,2019-03-03,2024-11-24,85243025.2,44.53,1.0,210.0,2093,5.73,8.38,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1775896.36,Fleet Owner,Infrastructure,West,369606,281323,5,5,Engaged Customer,115,21
C0080,42,2019-02-20,2024-11-03,56541324.2,50.8,1.0,146.0,2083,5.7,7.36,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1346222.0,Retail,Mining,South,35201,14738,1,5,Moderately Engaged Customer,110,22
C0069,47,2019-02-18,2024-12-11,77108269.8,46.15,1.0,273.0,2123,5.81,8.09,Very Frequent Customer,Moderate Purchase Gap,Repeat Customer,1640601.49,Dealer,Logistics,North,413414,288815,2,5,Moderately Engaged Customer,110,23
C0411,43,2019-07-14,2024-12-12,72229183.0,47.1,1.0,248.0,1978,5.42,7.94,Frequent Customer,Moderate Purchase Gap,Repeat Customer,1679748.44,Corporate,Mining,South,621936,347662,5,5,Moderately Engaged Customer,110,24
