year_month,delivered_orders,active_customers,total_revenue,average_order_value,orders_per_customer,revenue_per_customer,revenue_share_pct,revenue_mom_change_pct,orders_mom_change_pct,active_customers_mom_change_pct
2019-01,254,193,455859148.2,1794721.06,1.32,2361964.5,1.56,,,
2019-02,220,173,329124442.4,1496020.19,1.27,1902453.42,1.13,-27.8,-13.39,-10.36
2019-03,266,212,436379492.4,1640524.41,1.25,2058393.83,1.49,32.59,20.91,22.54
2019-04,258,203,423687275.0,1642198.74,1.27,2087129.43,1.45,-2.91,-3.01,-4.25
2019-05,264,206,432168120.0,1637000.45,1.28,2097903.5,1.48,2.0,2.33,1.48
2019-06,239,187,386433093.6,1616874.87,1.28,2066487.13,1.32,-10.58,-9.47,-9.22
2019-07,266,216,466943483.0,1755426.63,1.23,2161775.38,1.6,20.83,11.3,15.51
2019-08,271,224,443627883.4,1637003.26,1.21,1980481.62,1.52,-4.99,1.88,3.7
2019-09,247,189,384922383.2,1558390.22,1.31,2036626.37,1.32,-13.23,-8.86,-15.62
2019-10,239,196,405406331.6,1696260.8,1.22,2068399.65,1.39,5.32,-3.24,3.7
2019-11,269,207,407321042.4,1514204.62,1.3,1967734.5,1.39,0.47,12.55,5.61
2019-12,238,197,359805567.8,1511788.1,1.21,1826424.2,1.23,-11.67,-11.52,-4.83
2020-01,248,187,403134542.2,1625542.51,1.33,2155799.69,1.38,12.04,4.2,-5.08
2020-02,222,179,347737446.6,1566384.89,1.24,1942667.3,1.19,-13.74,-10.48,-4.28
2020-03,223,177,380441474.0,1706015.58,1.26,2149386.86,1.3,9.4,0.45,-1.12
2020-04,222,182,380966525.0,1716065.43,1.22,2093222.66,1.3,0.14,-0.45,2.82
2020-05,291,219,458176307.6,1574489.03,1.33,2092129.26,1.57,20.27,31.08,20.33
2020-06,249,201,413477233.2,1660551.14,1.24,2057100.66,1.41,-9.76,-14.43,-8.22
2020-07,312,232,519093426.6,1663760.98,1.34,2237471.67,1.77,25.54,25.3,15.42
2020-08,265,206,461646315.4,1742061.57,1.29,2241001.53,1.58,-11.07,-15.06,-11.21
2020-09,236,194,398347549.4,1687913.34,1.22,2053337.88,1.36,-13.71,-10.94,-5.83
2020-10,245,195,385393180.0,1573033.39,1.26,1976375.28,1.32,-3.25,3.81,0.52
2020-11,263,201,392666138.6,1493027.14,1.31,1953562.88,1.34,1.89,7.35,3.08
2020-12,262,199,449804848.0,1716812.4,1.32,2260325.87,1.54,14.55,-0.38,-1.0
2021-01,257,206,447701842.6,1742030.52,1.25,2173309.92,1.53,-0.47,-1.91,3.52
2021-02,245,201,404940701.4,1652819.19,1.22,2014630.36,1.38,-9.55,-4.67,-2.43
2021-03,242,196,396808092.0,1639702.86,1.23,2024531.08,1.36,-2.01,-1.22,-2.49
2021-04,246,195,401017038.8,1630150.56,1.26,2056497.63,1.37,1.06,1.65,-0.51
2021-05,245,192,397262904.2,1621481.24,1.28,2069077.63,1.36,-0.94,-0.41,-1.54
2021-06,239,192,368151747.6,1540383.88,1.24,1917457.02,1.26,-7.33,-2.45,0.0
2021-07,256,209,395144129.6,1543531.76,1.22,1890641.77,1.35,7.33,7.11,8.85
2021-08,233,190,428703206.2,1839927.92,1.23,2256332.66,1.47,8.49,-8.98,-9.09
2021-09,248,199,394242815.0,1589688.77,1.25,1981119.67,1.35,-8.04,6.44,4.74
2021-10,276,205,423360647.4,1533915.39,1.35,2065173.89,1.45,7.39,11.29,3.02
2021-11,274,211,398327958.6,1453751.67,1.3,1887810.23,1.36,-5.91,-0.72,2.93
2021-12,277,203,452995993.2,1635364.6,1.36,2231507.36,1.55,13.72,1.09,-3.79
2022-01,265,206,424898351.8,1603390.01,1.29,2062613.36,1.45,-6.2,-4.33,1.48
2022-02,223,189,375734320.4,1684907.27,1.18,1988012.28,1.28,-11.57,-15.85,-8.25
2022-03,250,205,408416607.6,1633666.43,1.22,1992276.13,1.4,8.7,12.11,8.47
2022-04,235,187,383405756.4,1631513.86,1.26,2050298.16,1.31,-6.12,-6.0,-8.78
2022-05,273,214,443332276.4,1623927.75,1.28,2071646.15,1.52,15.63,16.17,14.44
2022-06,235,193,371205545.6,1579598.07,1.22,1923344.8,1.27,-16.27,-13.92,-9.81
2022-07,245,190,397789362.4,1623630.05,1.29,2093628.22,1.36,7.16,4.26,-1.55
2022-08,259,207,418694579.6,1616581.39,1.25,2022679.13,1.43,5.26,5.71,8.95
2022-09,230,193,396347667.0,1723250.73,1.19,2053614.85,1.35,-5.34,-11.2,-6.76
