customer_id,customer_type,industry_segment,region,first_purchase_date,last_purchase_date,delivered_order_count,total_revenue,customer_lifetime_days,days_since_last_purchase,customer_lifetime_years,orders_per_year,retention_status,retention_score,retention_class,average_order_value
C0153,Retail,Rental,East,2019-01-17,2024-12-12,56,108200489.6,2176,20,5.9575633127994525,9.399816176470589,Active Customer,100,High Retention,1932151.5999999999
C0483,Corporate,Rental,North,2019-02-20,2024-12-18,47,96130859.2,2142,14,5.864476386036961,8.01435574229692,Active Customer,100,High Retention,2045337.4297872342
C0475,Fleet Owner,Construction,East,2019-01-19,2024-12-18,55,94883375.2,2174,14,5.952087611225188,9.240455381784729,Active Customer,100,High Retention,1725152.2763636364
C0206,Retail,Construction,West,2019-01-08,2024-12-11,40,89674652.2,2185,21,5.982203969883641,6.68649885583524,Active Customer,100,High Retention,2241866.305
C0178,Dealer,Logistics,East,2019-01-22,2024-12-09,54,89493824.6,2171,23,5.943874058863792,9.084983878397052,Active Customer,100,High Retention,1657293.048148148
C0466,Retail,Manufacturing,South,2019-03-19,2024-12-13,47,88329161.4,2115,19,5.790554414784395,8.116666666666665,Active Customer,100,High Retention,1879343.859574468
C0046,Retail,Rental,West,2019-02-03,2024-12-09,46,87078641.0,2159,23,5.9110198494182065,7.782075034738305,Active Customer,100,High Retention,1893013.9347826086
C0304,Dealer,Construction,North,2019-01-26,2024-12-25,48,86460648.4,2167,7,5.932922655715264,8.090447623442547,Active Customer,100,High Retention,1801263.5083333335
C0107,Fleet Owner,Construction,North,2019-01-16,2024-12-11,49,85196217.6,2177,21,5.960301163586585,8.221061093247588,Active Customer,100,High Retention,1738698.318367347
C0142,Retail,Manufacturing,West,2019-02-06,2024-12-08,45,84828043.0,2156,24,5.90280629705681,7.623492578849722,Active Customer,100,High Retention,1885067.6222222222
C0490,Government,Logistics,West,2019-01-26,2024-12-29,44,84742703.8,2167,3,5.932922655715264,7.416243654822335,Active Customer,100,High Retention,1925970.5409090908
C0049,Dealer,Manufacturing,South,2019-01-25,2024-12-25,39,82316206.2,2168,7,5.935660506502396,6.5704566420664205,Active Customer,100,High Retention,2110671.953846154
