customer_id,delivered_order_count,total_purchase_value,first_order_date,last_order_date,recency_days,customer_tenure_days,customer_tenure_years,average_orders_per_year,average_order_value,customer_type,industry_segment,region,customer_rating,retention_status,customer_value_class,retention_priority_score,action_focus,retention_priority_rank
C0444,30,50928809.0,2019-02-25,2024-01-08,359,2137,5.85,5.13,1697626.97,Dealer,Manufacturing,South,1,Churn Risk,Medium Value,78.83,Win-back campaign and churn recovery strategy,1
C0126,33,64059034.8,2019-03-05,2024-04-05,271,2129,5.83,5.66,1941182.87,Dealer,Manufacturing,South,4,Churn Risk,Medium Value,68.97,Win-back campaign and churn recovery strategy,2
C0110,42,90807306.0,2019-01-25,2024-06-21,194,2168,5.94,7.08,2162078.71,Dealer,Logistics,Central,5,Churn Risk,High Value,65.99,Win-back campaign and churn recovery strategy,3
C0267,29,46440405.2,2019-03-07,2024-03-25,282,2127,5.82,4.98,1601393.28,Fleet Owner,Infrastructure,South,3,Churn Risk,Low Value,64.3,Win-back campaign and churn recovery strategy,4
C0133,29,51247358.0,2019-03-27,2024-04-07,269,2107,5.77,5.03,1767150.28,Government,Mining,South,1,Churn Risk,Medium Value,63.9,Win-back campaign and churn recovery strategy,5
C0487,26,39512216.0,2019-03-08,2024-03-18,289,2126,5.82,4.47,1519700.62,Dealer,Mining,South,1,Churn Risk,Low Value,62.91,Win-back campaign and churn recovery strategy,6
C0238,30,36717219.2,2019-01-22,2024-03-25,282,2171,5.94,5.05,1223907.31,Corporate,Construction,South,5,Churn Risk,Low Value,60.7,Win-back campaign and churn recovery strategy,7
C0041,38,68044561.6,2019-01-11,2024-06-11,204,2182,5.97,6.36,1790646.36,Government,Rental,South,5,Churn Risk,High Value,59.25,Win-back campaign and churn recovery strategy,8
C0421,38,69466242.8,2019-04-06,2024-06-21,194,2097,5.74,6.62,1828059.02,Retail,Construction,South,3,Churn Risk,High Value,58.1,Win-back campaign and churn recovery strategy,9
C0297,34,73065015.6,2019-02-13,2024-07-01,184,2149,5.88,5.78,2148971.05,Fleet Owner,Rental,South,3,Churn Risk,High Value,57.76,Win-back campaign and churn recovery strategy,10
C0433,31,57020323.4,2019-09-11,2024-05-27,219,1939,5.31,5.84,1839365.27,Dealer,Infrastructure,North,3,Churn Risk,Medium Value,57.68,Win-back campaign and churn recovery strategy,11
C0131,32,59008448.8,2019-02-21,2024-06-14,201,2141,5.86,5.46,1844014.02,Corporate,Rental,South,2,Churn Risk,Medium Value,55.41,Win-back campaign and churn recovery strategy,12
C0491,27,65215944.4,2019-03-27,2024-07-04,181,2107,5.77,4.68,2415405.35,Dealer,Infrastructure,South,1,Churn Risk,Medium Value,54.36,Win-back campaign and churn recovery strategy,13
C0225,48,69254158.0,2019-03-17,2024-07-17,168,2117,5.8,8.28,1442794.96,Fleet Owner,Logistics,North,5,High Churn Risk,High Value,53.68,Immediate retention intervention required,14
C0292,27,30979627.8,2019-01-11,2024-04-28,248,2182,5.97,4.52,1147393.62,Corporate,Rental,Central,2,Churn Risk,Low Value,52.9,Win-back campaign and churn recovery strategy,15
C0029,38,58176890.6,2019-01-16,2024-06-30,185,2177,5.96,6.38,1530970.81,Dealer,Construction,South,1,Churn Risk,Medium Value,52.43,Win-back campaign and churn recovery strategy,16
C0412,32,43246987.6,2019-04-20,2024-05-28,218,2083,5.7,5.61,1351468.36,Corporate,Infrastructure,East,3,Churn Risk,Low Value,52.42,Win-back campaign and churn recovery strategy,17
C0251,36,60544705.8,2019-01-09,2024-07-06,179,2184,5.98,6.02,1681797.38,Dealer,Mining,North,4,High Churn Risk,Medium Value,52.3,Immediate retention intervention required,18
C0274,39,54639688.2,2019-01-08,2024-06-27,188,2185,5.98,6.52,1401017.65,Dealer,Mining,North,3,Churn Risk,Medium Value,51.62,Win-back campaign and churn recovery strategy,19
C0321,38,54558976.4,2019-01-04,2024-06-28,187,2189,5.99,6.34,1435762.54,Retail,Logistics,South,2,Churn Risk,Medium Value,51.42,Win-back campaign and churn recovery strategy,20
