customer_id,customer_type,industry_segment,region,credit_limit,customer_rating,first_purchase_date,last_purchase_date,customer_tenure_days,recency_days,delivered_order_count,total_revenue,average_order_value,recency_segment,frequency_segment,monetary_segment,recency_score,frequency_score,monetary_score,retention_score,churn_risk_score,churn_risk_class,retention_class,retention_priority_score,retention_priority_rank
C0491,Dealer,Infrastructure,South,312699,1,2019-03-27,2024-07-04,2107,181,27,65215944.4,2415405.348148148,Churning Customer,Medium Frequency,Medium-High Value,30,5.1,72.2,34.33,65.67,Medium Churn Risk,Weakly Retained,39.58,1
C0297,Fleet Owner,Rental,South,333899,3,2019-02-13,2024-07-01,2149,184,34,73065015.6,2148971.0470588235,Churning Customer,High Frequency,High Value,30,39.900000000000006,86.6,46.62,53.38,Medium Churn Risk,Moderately Retained,36.05,2
C0433,Dealer,Infrastructure,North,448175,3,2019-09-11,2024-05-27,1939,219,31,57020323.4,1839365.270967742,Churning Customer,High Frequency,Medium-Low Value,30,21.0,47.4,32.1,67.9,Medium Churn Risk,Weakly Retained,35.78,3
C0131,Corporate,Rental,South,215893,2,2019-02-21,2024-06-14,2141,201,32,59008448.8,1844014.025,Churning Customer,High Frequency,Medium-High Value,30,27.1,54.2,35.33,64.67,Medium Churn Risk,Weakly Retained,35.27,4
C0133,Government,Mining,South,1144779,1,2019-03-27,2024-04-07,2107,269,29,51247358.0,1767150.2758620689,Churning Customer,Medium Frequency,Medium-Low Value,30,11.5,31.6,25.78,74.22,High Churn Risk,Weakly Retained,35.15,5
C0126,Dealer,Manufacturing,South,473103,4,2019-03-05,2024-04-05,2129,271,33,64059034.8,1941182.8727272726,Churning Customer,High Frequency,Medium-High Value,30,33.5,69.6,40.78,59.22,Medium Churn Risk,Moderately Retained,35.06,6
C0127,Government,Construction,East,1030275,1,2019-03-01,2024-06-25,2133,190,28,48960650.8,1748594.6714285712,Churning Customer,Medium Frequency,Medium-Low Value,30,8.4,25.4,23.45,76.55,High Churn Risk,Weakly Retained,34.64,7
C0444,Dealer,Manufacturing,South,403967,1,2019-02-25,2024-01-08,2137,359,30,50928809.0,1697626.9666666666,Churning Customer,High Frequency,Medium-Low Value,30,15.6,31.2,26.7,73.3,High Churn Risk,Weakly Retained,34.5,8
C0344,Fleet Owner,Mining,West,508890,2,2019-01-04,2024-06-17,2189,198,28,48151864.0,1719709.4285714286,Churning Customer,Medium Frequency,Low Value,30,8.4,22.2,22.65,77.35,High Churn Risk,Weakly Retained,34.42,9
C0281,Government,Logistics,South,1088567,4,2019-07-26,2024-06-25,1986,190,26,46282268.6,1780087.2538461538,Churning Customer,Medium Frequency,Low Value,30,2.3,17.0,19.82,80.18,High Churn Risk,Weakly Retained,34.3,10
C0267,Fleet Owner,Infrastructure,South,253236,3,2019-03-07,2024-03-25,2127,282,29,46440405.199999996,1601393.2827586206,Churning Customer,Medium Frequency,Low Value,30,11.5,17.599999999999998,22.28,77.72,High Churn Risk,Weakly Retained,33.36,11
C0110,Dealer,Logistics,Central,107758,5,2019-01-25,2024-06-21,2168,194,42,90807306.0,2162078.714285714,Churning Customer,Very High Frequency,High Value,30,83.1,98.6,60.42,39.58,Low Churn Risk,Strongly Retained,33.22,12
C0405,Corporate,Infrastructure,West,216557,3,2019-01-30,2024-06-25,2163,190,32,50787823.0,1587119.46875,Churning Customer,High Frequency,Medium-Low Value,30,27.1,30.599999999999998,29.42,70.58,High Churn Risk,Weakly Retained,33.13,13
C0137,Dealer,Infrastructure,South,257346,5,2019-06-13,2024-06-10,2029,205,21,42806442.6,2038402.0285714287,Churning Customer,Medium Frequency,Low Value,30,0.2,10.4,17.65,82.35,High Churn Risk,Weakly Retained,32.58,14
C0421,Retail,Construction,South,35710,3,2019-04-06,2024-06-21,2097,194,38,69466242.8,1828059.0210526315,Churning Customer,High Frequency,High Value,30,66.10000000000001,81.39999999999999,51.88,48.12,Low Churn Risk,Moderately Retained,30.89,15
C0041,Government,Rental,South,592802,5,2019-01-11,2024-06-11,2182,204,38,68044561.6,1790646.3578947366,Churning Customer,High Frequency,High Value,30,66.10000000000001,77.8,50.98,49.02,Low Churn Risk,Moderately Retained,30.83,16
C0078,Dealer,Rental,South,166204,1,2019-01-31,2024-06-22,2162,193,31,42565724.6,1373087.8903225807,Churning Customer,High Frequency,Low Value,30,21.0,10.0,22.75,77.25,High Churn Risk,Weakly Retained,30.39,17
C0487,Dealer,Mining,South,346606,1,2019-03-08,2024-03-18,2126,289,26,39512216.0,1519700.6153846155,Churning Customer,Medium Frequency,Low Value,30,2.3,6.0,17.08,82.92,High Churn Risk,Weakly Retained,30.28,18
