customer_id,delivered_order_count,total_revenue,average_order_value,first_order_date,last_order_date,revenue_share_pct,revenue_rank,cumulative_revenue_share_pct,contribution_class,concentration_group,abc_revenue_class,overall_concentration_flag,action_focus
C0153,56,108200489.6,1932151.6,2019-01-17,2024-12-12,0.37,1,0.37,High Contribution,Top 10,A - Core Revenue,Diversified,Protect key account relationship and prioritize retention
C0288,55,97218403.8,1767607.34,2019-02-21,2024-10-18,0.33,2,0.7,High Contribution,Top 10,A - Core Revenue,Diversified,Protect key account relationship and prioritize retention
C0483,47,96130859.2,2045337.43,2019-02-20,2024-12-18,0.33,3,1.03,High Contribution,Top 10,A - Core Revenue,Diversified,Protect key account relationship and prioritize retention
C0475,55,94883375.2,1725152.28,2019-01-19,2024-12-18,0.32,4,1.36,High Contribution,Top 10,A - Core Revenue,Diversified,Protect key account relationship and prioritize retention
C0495,48,94540537.6,1969594.53,2019-01-28,2024-11-25,0.32,5,1.68,High Contribution,Top 10,A - Core Revenue,Diversified,Protect key account relationship and prioritize retention
C0240,46,92835709.4,2018167.6,2019-02-19,2024-11-10,0.32,6,2.0,High Contribution,Top 10,A - Core Revenue,Diversified,Protect key account relationship and prioritize retention
C0420,46,92482888.8,2010497.58,2019-01-10,2024-11-22,0.32,7,2.31,High Contribution,Top 10,A - Core Revenue,Diversified,Protect key account relationship and prioritize retention
C0110,42,90807306.0,2162078.71,2019-01-25,2024-06-21,0.31,8,2.62,High Contribution,Top 10,A - Core Revenue,Diversified,Protect key account relationship and prioritize retention
C0206,40,89674652.2,2241866.31,2019-01-08,2024-12-11,0.31,9,2.93,High Contribution,Top 10,A - Core Revenue,Diversified,Protect key account relationship and prioritize retention
C0083,45,89672688.2,1992726.4,2019-05-23,2024-10-04,0.31,10,3.24,High Contribution,Top 10,A - Core Revenue,Diversified,Protect key account relationship and prioritize retention
C0254,48,89556446.6,1865759.3,2019-07-01,2024-09-25,0.31,11,3.54,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0178,54,89493824.6,1657293.05,2019-01-22,2024-12-09,0.31,12,3.85,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0466,47,88329161.4,1879343.86,2019-03-19,2024-12-13,0.3,13,4.15,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0046,46,87078641.0,1893013.93,2019-02-03,2024-12-09,0.3,14,4.45,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0207,45,87068691.0,1934859.8,2019-02-10,2024-10-13,0.3,15,4.74,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0304,48,86460648.4,1801263.51,2019-01-26,2024-12-25,0.3,16,5.04,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0359,46,85617784.0,1861256.17,2019-02-12,2024-11-28,0.29,17,5.33,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0134,48,85243025.2,1775896.36,2019-03-03,2024-11-24,0.29,18,5.62,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0107,49,85196217.6,1738698.32,2019-01-16,2024-12-11,0.29,19,5.92,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0142,45,84828043.0,1885067.62,2019-02-06,2024-12-08,0.29,20,6.21,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0490,44,84742703.8,1925970.54,2019-01-26,2024-12-29,0.29,21,6.5,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0200,47,84469856.6,1797230.99,2019-02-09,2024-11-25,0.29,22,6.78,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0462,49,82777824.6,1689343.36,2019-01-06,2024-11-13,0.28,23,7.07,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0440,44,82426773.6,1873335.76,2019-01-29,2024-10-21,0.28,24,7.35,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0049,39,82316206.2,2110671.95,2019-01-25,2024-12-25,0.28,25,7.63,High Contribution,Top 25,A - Core Revenue,Diversified,Strengthen engagement and increase customer lifetime value
C0371,47,82052808.0,1745804.43,2019-01-03,2024-11-02,0.28,26,7.91,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0221,44,82001959.0,1863680.89,2019-01-17,2024-09-05,0.28,27,8.19,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0375,42,81286325.6,1935388.7,2019-02-20,2024-11-03,0.28,28,8.47,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0403,45,80523517.0,1789411.49,2019-02-19,2024-12-10,0.28,29,8.74,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0201,47,80475593.0,1712246.66,2019-02-01,2024-12-13,0.28,30,9.02,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0076,45,80026994.2,1778377.65,2019-01-12,2024-10-06,0.27,31,9.29,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0294,45,79772077.0,1772712.82,2019-03-26,2024-12-27,0.27,32,9.57,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0356,45,79690881.0,1770908.47,2019-03-16,2024-12-05,0.27,33,9.84,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0165,50,79168592.4,1583371.85,2019-02-27,2024-12-24,0.27,34,10.11,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0291,46,79064597.0,1718795.59,2019-03-13,2024-12-03,0.27,35,10.38,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0062,36,78963082.0,2193418.94,2019-03-18,2024-10-31,0.27,36,10.65,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0113,41,78713400.0,1919839.02,2019-01-13,2024-12-23,0.27,37,10.92,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0380,50,77887431.8,1557748.64,2019-01-29,2024-11-03,0.27,38,11.18,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0244,44,77550764.4,1762517.37,2019-05-06,2024-12-09,0.27,39,11.45,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0082,46,77500928.6,1684802.8,2019-03-17,2024-12-18,0.26,40,11.71,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0197,47,77464617.6,1648183.35,2019-02-22,2024-10-18,0.26,41,11.98,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0060,44,77163010.4,1753704.78,2019-07-20,2024-11-24,0.26,42,12.24,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0069,47,77108269.8,1640601.49,2019-02-18,2024-12-11,0.26,43,12.51,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0246,35,77080113.6,2202288.96,2019-01-26,2024-11-02,0.26,44,12.77,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0070,41,76883391.4,1875204.67,2019-02-04,2024-12-20,0.26,45,13.03,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0013,44,76843692.4,1746447.55,2019-01-02,2024-10-27,0.26,46,13.29,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0129,36,76393252.6,2122034.79,2019-01-06,2024-10-31,0.26,47,13.56,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0257,43,76189558.0,1771850.19,2019-01-18,2024-12-23,0.26,48,13.82,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0478,44,75901402.2,1725031.87,2019-02-04,2024-12-29,0.26,49,14.08,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0272,39,75550922.6,1937203.14,2019-09-01,2024-12-13,0.26,50,14.33,High Contribution,Top 50,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0103,40,75304293.2,1882607.33,2019-02-21,2024-08-29,0.26,51,14.59,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0045,42,75275350.6,1792270.25,2019-02-02,2024-12-15,0.26,52,14.85,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0468,49,75254807.6,1535812.4,2019-05-10,2024-11-10,0.26,53,15.11,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0005,45,74996415.4,1666587.01,2019-02-28,2024-10-04,0.26,54,15.36,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
C0237,44,74820743.4,1700471.44,2019-01-28,2024-10-15,0.26,55,15.62,High Contribution,Other Customers,A - Core Revenue,Diversified,Maintain service quality and monitor revenue contribution
