customer_id,customer_type,industry_segment,region,last_purchase_date,recency_days,delivered_order_count,frequency,total_revenue,monetary,R_score,F_score,M_score,RFM_score,RFM_total_score,customer_segment,customer_priority_score,customer_priority_class,customer_priority_rank
C0483,Corporate,Rental,North,2024-12-18,14,47,47,96130859.2,96130859.2,5,5,5,555,15,Champions,100.0,Critical Priority,1
C0475,Fleet Owner,Construction,East,2024-12-18,14,55,55,94883375.2,94883375.2,5,5,5,555,15,Champions,100.0,Critical Priority,2
C0304,Dealer,Construction,North,2024-12-25,7,48,48,86460648.4,86460648.4,5,5,5,555,15,Champions,100.0,Critical Priority,3
C0490,Government,Logistics,West,2024-12-29,3,44,44,84742703.8,84742703.8,5,5,5,555,15,Champions,100.0,Critical Priority,4
C0294,Government,Infrastructure,South,2024-12-27,5,45,45,79772077.0,79772077.0,5,5,5,555,15,Champions,100.0,Critical Priority,5
C0165,Fleet Owner,Manufacturing,North,2024-12-24,8,50,50,79168592.4,79168592.4,5,5,5,555,15,Champions,100.0,Critical Priority,6
C0082,Fleet Owner,Manufacturing,West,2024-12-18,14,46,46,77500928.6,77500928.6,5,5,5,555,15,Champions,100.0,Critical Priority,7
C0257,Corporate,Logistics,North,2024-12-23,9,43,43,76189558.0,76189558.0,5,5,5,555,15,Champions,100.0,Critical Priority,8
C0478,Retail,Rental,North,2024-12-29,3,44,44,75901402.2,75901402.2,5,5,5,555,15,Champions,100.0,Critical Priority,9
C0045,Corporate,Rental,East,2024-12-15,17,42,42,75275350.60000001,75275350.60000001,5,5,5,555,15,Champions,100.0,Critical Priority,10
C0250,Government,Infrastructure,East,2024-12-20,12,43,43,74416923.4,74416923.4,5,5,5,555,15,Champions,100.0,Critical Priority,11
C0215,Corporate,Rental,South,2024-12-24,8,49,49,73940925.4,73940925.4,5,5,5,555,15,Champions,100.0,Critical Priority,12
C0306,Fleet Owner,Manufacturing,East,2024-12-16,16,42,42,69813587.0,69813587.0,5,5,5,555,15,Champions,100.0,Critical Priority,13
C0282,Government,Logistics,East,2024-12-24,8,44,44,69381309.6,69381309.6,5,5,5,555,15,Champions,100.0,Critical Priority,14
C0049,Dealer,Manufacturing,South,2024-12-25,7,39,39,82316206.2,82316206.2,5,4,5,545,14,Champions,94.0,Critical Priority,15
C0113,Corporate,Logistics,South,2024-12-23,9,41,41,78713400.0,78713400.0,5,4,5,545,14,Champions,94.0,Critical Priority,16
C0070,Government,Logistics,West,2024-12-20,12,41,41,76883391.4,76883391.4,5,4,5,545,14,Champions,94.0,Critical Priority,17
C0063,Retail,Rental,North,2024-12-19,13,38,38,72065344.4,72065344.4,5,4,5,545,14,Champions,94.0,Critical Priority,18
C0284,Corporate,Manufacturing,East,2024-12-23,9,41,41,69641823.4,69641823.4,5,4,5,545,14,Champions,94.0,Critical Priority,19
C0270,Corporate,Manufacturing,North,2024-12-20,12,43,43,68114112.8,68114112.8,5,5,4,554,14,Champions,94.0,Critical Priority,20
C0331,Dealer,Logistics,North,2024-12-15,17,42,42,67826105.8,67826105.8,5,5,4,554,14,Champions,94.0,Critical Priority,21
C0276,Dealer,Manufacturing,Central,2024-12-29,3,44,44,67350598.6,67350598.6,5,5,4,554,14,Champions,94.0,Critical Priority,22
C0326,Government,Mining,East,2024-12-30,2,42,42,66177447.4,66177447.4,5,5,4,554,14,Champions,94.0,Critical Priority,23
C0395,Corporate,Manufacturing,East,2024-12-20,12,44,44,64514679.8,64514679.8,5,5,4,554,14,Champions,94.0,Critical Priority,24
C0379,Retail,Mining,West,2024-12-15,17,41,41,64194052.6,64194052.6,5,5,4,554,14,Champions,94.0,Critical Priority,25
C0301,Dealer,Mining,East,2024-12-19,13,46,46,63821535.6,63821535.6,5,5,4,554,14,Champions,94.0,Critical Priority,26
C0004,Fleet Owner,Logistics,South,2024-12-31,1,46,46,60843242.8,60843242.8,5,5,4,554,14,Champions,94.0,Critical Priority,27
C0153,Retail,Rental,East,2024-12-12,20,56,56,108200489.6,108200489.6,4,5,5,455,14,Champions,92.0,Critical Priority,28
C0178,Dealer,Logistics,East,2024-12-09,23,54,54,89493824.6,89493824.6,4,5,5,455,14,Champions,92.0,Critical Priority,29
C0466,Retail,Manufacturing,South,2024-12-13,19,47,47,88329161.4,88329161.4,4,5,5,455,14,Champions,92.0,Critical Priority,30
C0046,Retail,Rental,West,2024-12-09,23,46,46,87078641.0,87078641.0,4,5,5,455,14,Champions,92.0,Critical Priority,31
C0359,Fleet Owner,Mining,South,2024-11-28,34,46,46,85617784.0,85617784.0,4,5,5,455,14,Champions,92.0,Critical Priority,32
C0107,Fleet Owner,Construction,North,2024-12-11,21,49,49,85196217.6,85196217.6,4,5,5,455,14,Champions,92.0,Critical Priority,33
C0142,Retail,Manufacturing,West,2024-12-08,24,45,45,84828043.0,84828043.0,4,5,5,455,14,Champions,92.0,Critical Priority,34
C0200,Retail,Logistics,East,2024-11-25,37,47,47,84469856.6,84469856.6,4,5,5,455,14,Champions,92.0,Critical Priority,35
C0403,Government,Construction,East,2024-12-10,22,45,45,80523517.0,80523517.0,4,5,5,455,14,Champions,92.0,Critical Priority,36
C0201,Dealer,Infrastructure,South,2024-12-13,19,47,47,80475593.0,80475593.0,4,5,5,455,14,Champions,92.0,Critical Priority,37
C0356,Dealer,Mining,East,2024-12-05,27,45,45,79690881.0,79690881.0,4,5,5,455,14,Champions,92.0,Critical Priority,38
C0291,Retail,Construction,South,2024-12-03,29,46,46,79064597.0,79064597.0,4,5,5,455,14,Champions,92.0,Critical Priority,39
C0244,Government,Logistics,North,2024-12-09,23,44,44,77550764.4,77550764.4,4,5,5,455,14,Champions,92.0,Critical Priority,40
C0069,Dealer,Logistics,North,2024-12-11,21,47,47,77108269.8,77108269.8,4,5,5,455,14,Champions,92.0,Critical Priority,41
C0411,Corporate,Mining,South,2024-12-12,20,43,43,72229183.0,72229183.0,4,5,5,455,14,Champions,92.0,Critical Priority,42
C0071,Corporate,Rental,North,2024-11-26,36,42,42,72076738.0,72076738.0,4,5,5,455,14,Champions,92.0,Critical Priority,43
C0459,Retail,Logistics,East,2024-12-14,18,41,41,71816909.8,71816909.8,4,5,5,455,14,Champions,92.0,Critical Priority,44
C0109,Retail,Mining,South,2024-12-09,23,44,44,69451949.0,69451949.0,4,5,5,455,14,Champions,92.0,Critical Priority,45
C0016,Government,Rental,East,2024-12-18,14,35,35,70872336.2,70872336.2,5,3,5,535,13,Potential Loyalists,88.0,Critical Priority,46
C0469,Government,Manufacturing,North,2024-12-18,14,40,40,68502617.4,68502617.4,5,4,4,544,13,Champions,88.0,Critical Priority,47
C0414,Dealer,Construction,South,2024-12-31,1,40,40,66316815.6,66316815.6,5,4,4,544,13,Champions,88.0,Critical Priority,48
C0315,Dealer,Rental,West,2024-12-17,15,40,40,61457629.4,61457629.4,5,4,4,544,13,Champions,88.0,Critical Priority,49
