customer_id,customer_type,industry_segment,region,branch_id,customer_rating,last_purchase_date,frequency,monetary,recency_days,recency_score,frequency_score,monetary_score,rfm_score,customer_value_segment,monetary_share_pct,customer_value_rank,action_focus
C0483,Corporate,Rental,North,DEL001,1,2024-12-18,47,96130859.2,14,5,5,5,15,Champions,0.33,3,"Retain, reward and expand high-value relationship"
C0475,Fleet Owner,Construction,East,KOL001,3,2024-12-18,55,94883375.2,14,5,5,5,15,Champions,0.32,4,"Retain, reward and expand high-value relationship"
C0304,Dealer,Construction,North,DEL001,5,2024-12-25,48,86460648.4,7,5,5,5,15,Champions,0.3,16,"Retain, reward and expand high-value relationship"
C0490,Government,Logistics,West,PUN001,3,2024-12-29,44,84742703.8,3,5,5,5,15,Champions,0.29,21,"Retain, reward and expand high-value relationship"
C0294,Government,Infrastructure,South,HYD001,4,2024-12-27,45,79772077.0,5,5,5,5,15,Champions,0.27,32,"Retain, reward and expand high-value relationship"
C0165,Fleet Owner,Manufacturing,North,DEL001,4,2024-12-24,50,79168592.4,8,5,5,5,15,Champions,0.27,34,"Retain, reward and expand high-value relationship"
C0082,Fleet Owner,Manufacturing,West,AHM001,3,2024-12-18,46,77500928.6,14,5,5,5,15,Champions,0.26,40,"Retain, reward and expand high-value relationship"
C0257,Corporate,Logistics,North,DEL001,1,2024-12-23,43,76189558.0,9,5,5,5,15,Champions,0.26,48,"Retain, reward and expand high-value relationship"
C0478,Retail,Rental,North,DEL001,1,2024-12-29,44,75901402.2,3,5,5,5,15,Champions,0.26,49,"Retain, reward and expand high-value relationship"
C0045,Corporate,Rental,East,KOL001,4,2024-12-15,42,75275350.6,17,5,5,5,15,Champions,0.26,52,"Retain, reward and expand high-value relationship"
C0250,Government,Infrastructure,East,PUN001,2,2024-12-20,43,74416923.4,12,5,5,5,15,Champions,0.25,56,"Retain, reward and expand high-value relationship"
C0215,Corporate,Rental,South,CHN001,5,2024-12-24,49,73940925.4,8,5,5,5,15,Champions,0.25,58,"Retain, reward and expand high-value relationship"
C0306,Fleet Owner,Manufacturing,East,KOL001,1,2024-12-16,42,69813587.0,16,5,5,5,15,Champions,0.24,90,"Retain, reward and expand high-value relationship"
C0282,Government,Logistics,East,KOL001,2,2024-12-24,44,69381309.6,8,5,5,5,15,Champions,0.24,98,"Retain, reward and expand high-value relationship"
C0153,Retail,Rental,East,PUN001,4,2024-12-12,56,108200489.6,20,4,5,5,14,Champions,0.37,1,"Retain, reward and expand high-value relationship"
C0178,Dealer,Logistics,East,KOL001,1,2024-12-09,54,89493824.6,23,4,5,5,14,Champions,0.31,12,"Retain, reward and expand high-value relationship"
C0466,Retail,Manufacturing,South,DEL001,3,2024-12-13,47,88329161.4,19,4,5,5,14,Champions,0.3,13,"Retain, reward and expand high-value relationship"
C0046,Retail,Rental,West,AHM001,3,2024-12-09,46,87078641.0,23,4,5,5,14,Champions,0.3,14,"Retain, reward and expand high-value relationship"
C0359,Fleet Owner,Mining,South,HYD001,3,2024-11-28,46,85617784.0,34,4,5,5,14,Champions,0.29,17,"Retain, reward and expand high-value relationship"
C0107,Fleet Owner,Construction,North,DEL001,1,2024-12-11,49,85196217.6,21,4,5,5,14,Champions,0.29,19,"Retain, reward and expand high-value relationship"
C0142,Retail,Manufacturing,West,AHM001,1,2024-12-08,45,84828043.0,24,4,5,5,14,Champions,0.29,20,"Retain, reward and expand high-value relationship"
C0200,Retail,Logistics,East,DEL001,2,2024-11-25,47,84469856.6,37,4,5,5,14,Champions,0.29,22,"Retain, reward and expand high-value relationship"
C0049,Dealer,Manufacturing,South,KOL001,5,2024-12-25,39,82316206.2,7,5,4,5,14,Champions,0.28,25,"Retain, reward and expand high-value relationship"
C0403,Government,Construction,East,KOL001,4,2024-12-10,45,80523517.0,22,4,5,5,14,Champions,0.28,29,"Retain, reward and expand high-value relationship"
C0201,Dealer,Infrastructure,South,CHN001,4,2024-12-13,47,80475593.0,19,4,5,5,14,Champions,0.28,30,"Retain, reward and expand high-value relationship"
