supplier_id,product_id,purchase_order_count,ordered_quantity,total_procurement_value,average_purchase_value_per_po,average_unit_procurement_cost,unit_procurement_cost,product_name,category,machine_type,brand,unit_cost,unit_price,supplier_name,supplier_type,region,procurement_value_share_pct,supplier_share_of_product_pct,supplier_product_rank,supplier_product_dependency_class,procurement_value_class,unit_cost_variance_pct,supplier_product_cost_performance,supplier_product_priority_score,supplier_product_priority_class
SUP0005,P015,596,109949,9796008318.0,14217718.894049346,14217718.894049346,89095.92918534957,Engine Block EB-600,Engine,Excavator,Komatsu,95500,119000,Tianjin OEM Supplies,OEM,North China,2.8261359500477288,13.469557369648683,1.0,Low Product Dependency,High Value Supplier-Product,-6.705833313770082,Below Standard Cost,100.0,Critical Procurement Priority
SUP0003,P015,588,107399,9591374593.51,14554437.926418817,14554437.926418817,89305.99533990075,Engine Block EB-600,Engine,Excavator,Komatsu,95500,119000,Shanghai Distributor Supplies,Distributor,East China,2.767099380600284,13.18818503897005,2.0,Low Product Dependency,High Value Supplier-Product,-6.485868754030633,Below Standard Cost,97.91104991087045,Critical Procurement Priority
SUP0008,P015,568,101811,9113055777.86,14128768.647844963,14128768.647844963,89509.54000903635,Engine Block EB-600,Engine,Excavator,Komatsu,95500,119000,Hangzhou OEM Supplies,OEM,East China,2.629105010178118,12.530494424667319,3.0,Low Product Dependency,High Value Supplier-Product,-6.272732974831041,Below Standard Cost,93.02825683717434,Critical Procurement Priority
SUP0006,P015,573,101397,9043559130.88,14086540.702305295,14086540.702305295,89189.61242324722,Engine Block EB-600,Engine,Excavator,Komatsu,95500,119000,Qingdao Distributor Supplies,Distributor,East China,2.6090553158473093,12.43493620920773,4.0,Low Product Dependency,High Value Supplier-Product,-6.607735682463645,Below Standard Cost,92.3188184136452,Critical Procurement Priority
SUP0002,P015,566,100253,8922209114.08,14321362.943948636,14321362.943948636,88996.92891065605,Engine Block EB-600,Engine,Excavator,Komatsu,95500,119000,Guangzhou Local Vendor Supplies,Local Vendor,South China,2.5740459902236053,12.268079367110934,5.0,Low Product Dependency,High Value Supplier-Product,-6.809498522873247,Below Standard Cost,91.0800483671047,Critical Procurement Priority
SUP0007,P015,548,99685,8913900703.52,14308026.811428573,14308026.811428573,89420.68218407985,Engine Block EB-600,Engine,Excavator,Komatsu,95500,119000,Suzhou Local Vendor Supplies,Local Vendor,East China,2.5716490243361605,12.256655263633718,6.0,Low Product Dependency,High Value Supplier-Product,-6.365777817717433,Below Standard Cost,90.99523412144167,Critical Procurement Priority
SUP0001,P015,551,99009,8835605243.210001,14580206.671963697,14580206.671963697,89240.42504428892,Engine Block EB-600,Engine,Excavator,Komatsu,95500,119000,Shenzhen OEM Supplies,OEM,South China,2.549060883542013,12.148998638588722,7.0,Low Product Dependency,High Value Supplier-Product,-6.5545287494356845,Below Standard Cost,90.19597530327455,Critical Procurement Priority
SUP0004,P015,543,95312,8511311839.69,14091575.893526489,14091575.893526489,89299.47792187762,Engine Block EB-600,Engine,Excavator,Komatsu,95500,119000,Ningbo Distributor Supplies,Distributor,East China,2.4555026487692677,11.703093688172848,8.0,Low Product Dependency,High Value Supplier-Product,-6.492693275520811,Below Standard Cost,86.88551054055974,Critical Procurement Priority
SUP0007,P014,631,113686,7071561951.18,9876483.172039106,9876483.172039106,62202.57508558662,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,68500,83500,Suzhou Local Vendor Supplies,Local Vendor,East China,2.040136635704668,13.345758400601456,1.0,Low Product Dependency,High Value Supplier-Product,-9.193321042939239,Below Standard Cost,86.80962750568833,Critical Procurement Priority
SUP0008,P014,591,110814,6943142174.09,10121198.504504373,10121198.504504373,62655.821232786475,Transmission Assembly TA-800,Transmission,Bulldozer,Volvo,68500,83500,Hangzhou OEM Supplies,OEM,East China,2.00308769322222,13.103399027844176,2.0,Low Product Dependency,High Value Supplier-Product,-8.53164783534821,Below Standard Cost,85.23316206700457,Critical Procurement Priority
