movement_date,product_id,branch_id,movement_count,total_quantity,max_single_quantity,daily_volume_anomaly,high_frequency_anomaly,anomaly_flag,anomaly_reason
2019-01-13,P023,CHN001,4,59,18,False,True,True,Unusually High Movement Frequency
2019-01-15,P009,KOL001,3,599,252,True,False,True,Unusual Daily Movement Volume
2019-01-20,P014,AHM001,2,566,284,True,False,True,Unusual Daily Movement Volume
2019-01-20,P018,AHM001,5,618,232,True,True,True,High Volume and High Frequency
2019-01-21,P015,CHN001,5,52,17,False,True,True,Unusually High Movement Frequency
2019-01-22,P009,KOL001,3,588,288,True,False,True,Unusual Daily Movement Volume
2019-01-22,P012,CHN001,4,196,166,False,True,True,Unusually High Movement Frequency
2019-01-22,P016,KOL001,4,955,284,True,True,True,High Volume and High Frequency
2019-01-22,P027,DEL001,3,532,263,True,False,True,Unusual Daily Movement Volume
2019-01-24,P002,PUN001,6,519,240,False,True,True,Unusually High Movement Frequency
2019-01-24,P005,PUN001,3,740,287,True,False,True,Unusual Daily Movement Volume
2019-01-24,P008,DEL001,4,510,153,False,True,True,Unusually High Movement Frequency
2019-01-24,P012,PUN001,4,574,294,True,True,True,High Volume and High Frequency
2019-01-24,P028,DEL001,4,646,211,True,True,True,High Volume and High Frequency
2019-01-25,P002,HYD001,5,370,195,False,True,True,Unusually High Movement Frequency
2019-01-26,P004,AHM001,4,232,179,False,True,True,Unusually High Movement Frequency
2019-01-26,P012,AHM001,6,293,276,False,True,True,Unusually High Movement Frequency
2019-01-26,P016,CHN001,4,125,96,False,True,True,Unusually High Movement Frequency
2019-01-26,P021,AHM001,5,74,18,False,True,True,Unusually High Movement Frequency
2019-01-26,P027,CHN001,6,341,152,False,True,True,Unusually High Movement Frequency
2019-01-27,P011,DEL001,3,535,270,True,False,True,Unusual Daily Movement Volume
2019-01-27,P028,KOL001,4,578,237,True,True,True,High Volume and High Frequency
2019-01-28,P028,PUN001,4,674,267,True,True,True,High Volume and High Frequency
2019-01-29,P017,KOL001,3,576,259,True,False,True,Unusual Daily Movement Volume
2019-01-30,P007,DEL001,3,544,299,True,False,True,Unusual Daily Movement Volume
2019-01-30,P021,DEL001,4,441,294,False,True,True,Unusually High Movement Frequency
2019-01-30,P021,HYD001,4,623,276,True,True,True,High Volume and High Frequency
2019-01-30,P030,HYD001,4,446,286,False,True,True,Unusually High Movement Frequency
2019-01-31,P029,AHM001,3,688,278,True,False,True,Unusual Daily Movement Volume
2019-02-01,P007,CHN001,4,68,38,False,True,True,Unusually High Movement Frequency
2019-02-01,P012,KOL001,3,658,232,True,False,True,Unusual Daily Movement Volume
2019-02-01,P017,KOL001,4,332,252,False,True,True,Unusually High Movement Frequency
2019-02-01,P026,KOL001,5,619,224,True,True,True,High Volume and High Frequency
2019-02-01,P027,CHN001,4,53,17,False,True,True,Unusually High Movement Frequency
2019-02-01,P029,CHN001,4,47,15,False,True,True,Unusually High Movement Frequency
2019-02-02,P001,KOL001,4,264,240,False,True,True,Unusually High Movement Frequency
2019-02-02,P007,KOL001,4,529,253,False,True,True,Unusually High Movement Frequency
2019-02-04,P023,KOL001,5,653,257,True,True,True,High Volume and High Frequency
2019-02-05,P016,AHM001,4,518,278,False,True,True,Unusually High Movement Frequency
2019-02-06,P018,HYD001,4,291,274,False,True,True,Unusually High Movement Frequency
2019-02-07,P007,DEL001,4,226,108,False,True,True,Unusually High Movement Frequency
2019-02-09,P001,DEL001,4,581,209,True,True,True,High Volume and High Frequency
2019-02-09,P009,DEL001,3,708,267,True,False,True,Unusual Daily Movement Volume
2019-02-09,P018,DEL001,4,308,240,False,True,True,Unusually High Movement Frequency
2019-02-09,P030,HYD001,3,561,258,True,False,True,Unusual Daily Movement Volume
2019-02-10,P005,KOL001,4,422,258,False,True,True,Unusually High Movement Frequency
2019-02-10,P007,CHN001,5,681,248,True,True,True,High Volume and High Frequency
2019-02-10,P009,HYD001,4,88,48,False,True,True,Unusually High Movement Frequency
