product_id,branch_id,opening_stock,total_incoming,total_outgoing,total_adjustments,current_stock,expected_stock,stock_variance,shrinkage_pct,shrinkage_class
P025,HYD001,83,119686,5512,207,113613,114464,-851,-0.7434651942968968,High Shrinkage
P021,DEL001,152,121224,5141,494,115902,116729,-827,-0.7084786128554172,High Shrinkage
P025,CHN001,300,117735,7815,610,110058,110830,-772,-0.6965623026256429,High Shrinkage
P028,DEL001,207,112579,5948,675,106744,107513,-769,-0.7152623403681415,High Shrinkage
P013,KOL001,129,112609,7052,435,105381,106121,-740,-0.697317213369644,High Shrinkage
P015,CHN001,239,121358,7465,439,113851,114571,-720,-0.6284312784212409,High Shrinkage
P026,AHM001,263,110165,6547,630,103793,104511,-718,-0.6870090229736583,High Shrinkage
P028,CHN001,120,110825,7310,541,103464,104176,-712,-0.6834587620949163,High Shrinkage
P005,CHN001,172,121927,7576,440,114267,114963,-696,-0.605412176091438,High Shrinkage
P013,PUN001,80,109561,5269,527,104221,104899,-678,-0.6463359993898893,High Shrinkage
P004,PUN001,171,110451,5697,605,104859,105530,-671,-0.6358381502890174,High Shrinkage
P012,DEL001,257,125728,5835,431,119923,120581,-658,-0.5456912780620495,High Shrinkage
P011,KOL001,300,116935,7422,506,109669,110319,-650,-0.5892004097209003,High Shrinkage
P013,AHM001,84,105221,6512,540,98687,99333,-646,-0.6503377528112511,High Shrinkage
P002,CHN001,267,113543,7606,326,105885,106530,-645,-0.605463249788792,High Shrinkage
P011,PUN001,86,114492,5881,638,108691,109335,-644,-0.5890154113504367,High Shrinkage
P012,KOL001,188,116167,6590,500,109625,110265,-640,-0.5804198975196119,High Shrinkage
P029,KOL001,150,112947,7723,273,105010,105647,-637,-0.6029513379461793,High Shrinkage
P006,DEL001,131,105092,5711,462,99358,99974,-616,-0.6161602016524296,High Shrinkage
P005,HYD001,178,118054,5310,559,112865,113481,-616,-0.5428221464386109,High Shrinkage
P012,HYD001,128,111323,5317,675,106209,106809,-600,-0.5617504142909305,High Shrinkage
P013,DEL001,126,113508,5130,614,108520,109118,-598,-0.548030572407852,High Shrinkage
P003,KOL001,234,117239,7307,513,110093,110679,-586,-0.5294590663088752,High Shrinkage
P030,HYD001,162,109601,5060,494,104611,105197,-586,-0.5570501059916158,High Shrinkage
P020,AHM001,142,108786,6276,626,102706,103278,-572,-0.5538449621410174,High Shrinkage
P010,AHM001,128,122118,6742,211,115149,115715,-566,-0.4891327831309683,High Shrinkage
