dataset,check,issue_type,issue_count,severity,details
stock_ledger,Missing values,Missing Data,0,None,Total missing cells: 0
inventory_master,Missing values,Missing Data,0,None,Total missing cells: 0
purchase_orders_header,Missing values,Missing Data,2370,High,Total missing cells: 2370
purchase_orders_lines,Missing values,Missing Data,0,None,Total missing cells: 0
sales_orders_header,Missing values,Missing Data,0,None,Total missing cells: 0
sales_orders_lines,Missing values,Missing Data,0,None,Total missing cells: 0
products,Missing values,Missing Data,0,None,Total missing cells: 0
suppliers,Missing values,Missing Data,0,None,Total missing cells: 0
branches,Missing values,Missing Data,0,None,Total missing cells: 0
stock_ledger,Duplicate rows,Duplicate Data,0,None,Duplicate complete rows: 0
inventory_master,Duplicate rows,Duplicate Data,0,None,Duplicate complete rows: 0
purchase_orders_header,Duplicate rows,Duplicate Data,0,None,Duplicate complete rows: 0
purchase_orders_lines,Duplicate rows,Duplicate Data,0,None,Duplicate complete rows: 0
sales_orders_header,Duplicate rows,Duplicate Data,0,None,Duplicate complete rows: 0
sales_orders_lines,Duplicate rows,Duplicate Data,0,None,Duplicate complete rows: 0
products,Duplicate rows,Duplicate Data,0,None,Duplicate complete rows: 0
suppliers,Duplicate rows,Duplicate Data,0,None,Duplicate complete rows: 0
branches,Duplicate rows,Duplicate Data,0,None,Duplicate complete rows: 0
stock_ledger,Negative values in quantity,Invalid Numeric Value,0,None,Negative records detected: 0
purchase_orders_lines,Negative values in quantity,Invalid Numeric Value,0,None,Negative records detected: 0
purchase_orders_lines,Negative values in unit_cost,Invalid Numeric Value,0,None,Negative records detected: 0
purchase_orders_lines,Negative values in line_total,Invalid Numeric Value,0,None,Negative records detected: 0
purchase_orders_lines,Negative values in gst_amount,Invalid Numeric Value,0,None,Negative records detected: 0
purchase_orders_lines,Negative values in line_grand_total,Invalid Numeric Value,0,None,Negative records detected: 0
sales_orders_lines,Negative values in quantity,Invalid Numeric Value,0,None,Negative records detected: 0
sales_orders_lines,Negative values in unit_price,Invalid Numeric Value,0,None,Negative records detected: 0
