product_id,branch_id,total_incoming,total_outgoing,total_adjustments,movement_count,opening_stock,current_stock,expected_stock,stock_variance,absolute_variance,shrinkage_pct,shrinkage_class,anomaly_event_count,total_anomaly_volume,max_daily_quantity,high_frequency_events,volume_anomaly_events,shrinkage_risk_points,anomaly_risk_points,frequency_risk_points,operational_risk_score,operational_risk_class,primary_risk_driver,operational_risk_rank
P025,HYD001,119686,5512,207,1271,83,113613,114464,-851,851,-0.7434651942968968,High Shrinkage,27,11810,977,21,10,50,40,10,100,High Risk,Stock Shrinkage,1
P021,DEL001,121224,5141,494,1258,152,115902,116729,-827,827,-0.7084786128554172,High Shrinkage,27,13586,880,17,14,50,40,10,100,High Risk,Stock Shrinkage,2
P025,CHN001,117735,7815,610,1496,300,110058,110830,-772,772,-0.6965623026256429,High Shrinkage,38,13753,793,29,14,50,40,10,100,High Risk,Stock Shrinkage,3
P028,DEL001,112579,5948,675,1298,207,106744,107513,-769,769,-0.7152623403681415,High Shrinkage,29,13713,751,19,16,50,40,10,100,High Risk,Stock Shrinkage,4
P013,KOL001,112609,7052,435,1382,129,105381,106121,-740,740,-0.697317213369644,High Shrinkage,27,9661,857,22,10,50,40,10,100,High Risk,Stock Shrinkage,5
P015,CHN001,121358,7465,439,1490,239,113851,114571,-720,720,-0.6284312784212409,High Shrinkage,36,16523,955,30,16,50,40,10,100,High Risk,Stock Shrinkage,6
P026,AHM001,110165,6547,630,1319,263,103793,104511,-718,718,-0.6870090229736583,High Shrinkage,28,14456,1096,22,15,50,40,10,100,High Risk,Stock Shrinkage,7
P028,CHN001,110825,7310,541,1420,120,103464,104176,-712,712,-0.6834587620949163,High Shrinkage,24,10037,781,17,9,50,40,10,100,High Risk,Stock Shrinkage,8
P005,CHN001,121927,7576,440,1532,172,114267,114963,-696,696,-0.605412176091438,High Shrinkage,45,19034,788,29,19,50,40,10,100,High Risk,Stock Shrinkage,9
P013,PUN001,109561,5269,527,1216,80,104221,104899,-678,678,-0.6463359993898893,High Shrinkage,25,11575,836,17,15,50,40,10,100,High Risk,Stock Shrinkage,10
P004,PUN001,110451,5697,605,1242,171,104859,105530,-671,671,-0.6358381502890174,High Shrinkage,28,12697,830,17,16,50,40,10,100,High Risk,Stock Shrinkage,11
P012,DEL001,125728,5835,431,1337,257,119923,120581,-658,658,-0.5456912780620495,High Shrinkage,29,14254,845,17,17,50,40,10,100,High Risk,Stock Shrinkage,12
P011,KOL001,116935,7422,506,1450,300,109669,110319,-650,650,-0.5892004097209003,High Shrinkage,34,13995,807,28,12,50,40,10,100,High Risk,Stock Shrinkage,13
P013,AHM001,105221,6512,540,1322,84,98687,99333,-646,646,-0.6503377528112511,High Shrinkage,29,14761,948,20,16,50,40,10,100,High Risk,Stock Shrinkage,14
P002,CHN001,113543,7606,326,1462,267,105885,106530,-645,645,-0.605463249788792,High Shrinkage,27,10834,783,22,11,50,40,10,100,High Risk,Stock Shrinkage,15
