product_id,branch_id,total_incoming,total_outgoing,total_adjustments,movement_count,opening_stock,current_stock,expected_stock,stock_variance,absolute_variance,shrinkage_pct,shrinkage_class
P001,AHM001,112918,6385,271,1292,236,106714,107040,-326,326,-0.30455904334828104,High Shrinkage
P001,CHN001,107266,7965,411,1426,187,99373,99899,-526,526,-0.5265317971150862,High Shrinkage
P001,DEL001,121433,5859,298,1311,196,115928,116068,-140,140,-0.12061894751352656,High Shrinkage
P001,HYD001,113622,5012,448,1220,226,108772,109284,-512,512,-0.46850408110976904,High Shrinkage
P001,KOL001,110844,7210,219,1372,263,103808,104116,-308,308,-0.2958238887394829,High Shrinkage
P001,PUN001,114283,5241,353,1273,198,109389,109593,-204,204,-0.1861432755741699,High Shrinkage
P002,AHM001,116731,6483,277,1358,102,110279,110627,-348,348,-0.31457058403463894,High Shrinkage
P002,CHN001,113543,7606,326,1462,267,105885,106530,-645,645,-0.605463249788792,High Shrinkage
P002,DEL001,114021,5640,371,1269,166,108628,108918,-290,290,-0.26625534806000845,High Shrinkage
P002,HYD001,125818,4958,284,1244,219,121013,121363,-350,350,-0.28839102527129357,High Shrinkage
P002,KOL001,114510,7104,404,1389,288,107584,108098,-514,514,-0.47549445873189145,High Shrinkage
P002,PUN001,106927,5389,334,1206,113,101623,101985,-362,362,-0.35495415992547924,High Shrinkage
P003,AHM001,109087,6798,260,1353,238,102501,102787,-286,286,-0.2782453033943981,High Shrinkage
P003,CHN001,115420,7934,293,1506,191,107840,107970,-130,130,-0.12040381587478002,High Shrinkage
P003,DEL001,110409,5681,205,1239,113,104884,105046,-162,162,-0.15421815204767436,High Shrinkage
P003,HYD001,111236,4818,270,1192,272,106658,106960,-302,302,-0.28234854151084515,High Shrinkage
P003,KOL001,117239,7307,513,1433,234,110093,110679,-586,586,-0.5294590663088752,High Shrinkage
P003,PUN001,123172,5382,363,1265,218,118139,118371,-232,232,-0.1959939512211606,High Shrinkage
P004,AHM001,106281,6699,284,1325,273,99909,100139,-230,230,-0.22968074376616504,High Shrinkage
P004,CHN001,111231,7520,254,1424,171,103984,104136,-152,152,-0.14596297149880924,High Shrinkage
P004,DEL001,115584,5507,250,1237,172,110145,110499,-354,354,-0.3203648901800016,High Shrinkage
P004,HYD001,114685,4818,377,1174,193,109943,110437,-494,494,-0.4473138531470431,High Shrinkage
P004,KOL001,117063,7014,332,1391,115,110042,110496,-454,454,-0.4108746017955401,High Shrinkage
P004,PUN001,110451,5697,605,1242,171,104859,105530,-671,671,-0.6358381502890174,High Shrinkage
P005,AHM001,114428,6514,452,1354,106,108136,108472,-336,336,-0.3097573567372225,High Shrinkage
P005,CHN001,121927,7576,440,1532,172,114267,114963,-696,696,-0.605412176091438,High Shrinkage
P005,DEL001,116391,5706,429,1257,242,110862,111356,-494,494,-0.44362225654657134,High Shrinkage
P005,HYD001,118054,5310,559,1262,178,112865,113481,-616,616,-0.5428221464386109,High Shrinkage
P005,KOL001,110698,6583,388,1349,215,104202,104718,-516,516,-0.49275196241333863,High Shrinkage
P005,PUN001,113357,5181,284,1240,262,108488,108722,-234,234,-0.21522782877430513,High Shrinkage
P006,AHM001,113118,6049,242,1319,170,107359,107481,-122,122,-0.11350843404880863,High Shrinkage
P006,CHN001,118323,7760,537,1516,119,110681,111219,-538,538,-0.4837302978807577,High Shrinkage
P006,DEL001,105092,5711,462,1202,131,99358,99974,-616,616,-0.6161602016524296,High Shrinkage
P006,HYD001,114717,5646,432,1250,275,109564,109778,-214,214,-0.19493887664195012,High Shrinkage
