product_id,product_name,category,brand,total_units_sold,number_of_orders,sales_revenue,revenue_share_pct,average_selling_price,avg_quantity_per_order,unit_cost,unit_price,margin_percentage
P015,Engine Block EB-600,Engine,Komatsu,40815,3411,4856985000,21.15504882263878,119000.0,11.965699208443272,95500,119000,24.6
P014,Transmission Assembly TA-800,Transmission,Volvo,40574,3462,3387929000,14.75643910834268,83500.0,11.719815135759676,68500,83500,21.8
P021,Boom Cylinder BC-400,Hydraulic,Komatsu,41864,3481,1934116800,8.424225179341892,46200.0,12.026429187015223,35600,46200,29.8
P019,Swing Motor SWM-350,Hydraulic,Volvo,41543,3476,1653411400,7.201586764403747,39800.0,11.951380897583428,31200,39800,27.6
P004,Track Chain TC-45,Undercarriage,Volvo,40891,3392,1627461800,7.088560873871256,39800.0,12.055129716981131,32500,39800,22.5
P010,Turbocharger TB-900,Engine,CAT,42292,3542,1475990800,6.428814879141209,34900.0,11.940146809712028,28900,34900,20.8
P011,Hydraulic Cylinder HC-200,Hydraulic,Tata Hitachi,42093,3595,1161766800,5.060183091881243,27600.0,11.708762169680112,21500,27600,28.4
P001,Hydraulic Pump HP-300,Hydraulic,CAT,41304,3499,1011948000,4.4076334075505,24500.0,11.804515575878822,18950,24500,29.2
P030,Fuel Pump FP-350,Engine,Volvo,41595,3509,910930500,3.9676423133962224,21900.0,11.853804502707325,16400,21900,33.5
P022,Control Valve CV-75,Hydraulic,CAT,41297,3493,697919300,3.039852267561436,16900.0,11.82278843401088,12800,16900,32.0
P009,Starter Motor SM-700,Electrical,Volvo,40547,3412,604150300,2.631432687708911,14900.0,11.883645955451348,11450,14900,30.1
P023,Idler Wheel IW-55,Undercarriage,Volvo,40276,3402,521574200,2.2717648223391183,12950.0,11.838918283362728,9200,12950,40.8
P006,Alternator ALT-500,Electrical,CAT,41843,3539,468641600,2.0412119716901644,11200.0,11.823396439672225,8650,11200,29.5
P018,Wheel Rim WR-24,Undercarriage,CAT,40752,3466,460497600,2.005740024049484,11300.0,11.757645701096363,8200,11300,37.8
P016,Radiator RD-250,Cooling,JCB,41770,3544,426054000,1.855717728401579,10200.0,11.78611738148984,7800,10200,30.8
P024,Track Roller TR-60,Undercarriage,Tata Hitachi,39486,3401,406705800,1.7714448480796958,10300.0,11.610114672155248,7400,10300,39.2
P005,Fuel Injector FI-220,Engine,Tata Hitachi,40480,3454,342056000,1.4898566456508575,8450.0,11.719745222929935,6350,8450,33.0
P025,Cabin Glass CG-20,Cabin,JCB,41091,3480,322564350,1.4049589555439728,7850.0,11.807758620689656,5600,7850,40.2
P029,Pressure Sensor PS-90,Sensors,CAT,42702,3506,168672900,0.7346704662575791,3950.0,12.17969195664575,2750,3950,43.6
P012,Brake Pad BP-40,Brakes,JCB,41549,3517,101795050,0.4433777853242197,2450.0,11.81376172874609,1800,2450,36.1
P028,Light Assembly LA-18,Electrical,Generic,41292,3498,92907000,0.4046650588718929,2250.0,11.804459691252143,1450,2250,55.2
P007,Hydraulic Hose HH-60,Hydraulic,JCB,42156,3534,61126200,0.2662408356917681,1450.0,11.928692699490664,980,1450,48.0
P013,Seal Kit SK-15,Seals,CAT,39927,3421,57894150,0.2521633420311516,1450.0,11.671148786904414,950,1450,52.6
P003,Air Filter AF-120,Filters,Komatsu,41712,3554,52140000,0.2271006078075979,1250.0,11.73663477771525,820,1250,52.4
P020,Pivot Pin PP-12,Pins & Bushes,JCB,40915,3452,47052250,0.2049404406159387,1150.0,11.852549246813442,750,1150,53.3
P002,Engine Oil Filter OF-90,Filters,JCB,40917,3464,29460240,0.1283168087870676,720.0,11.812066974595844,450,720,37.3
P008,Bucket Tooth BT-10,Attachments,Komatsu,41059,3478,23814220,0.1037250448113512,580.0,11.80534790109258,340,580,70.6
P017,Fan Belt FB-30,Belts,Tata Hitachi,40920,3532,21278400,0.0926800455154045,520.0,11.58550396375991,320,520,62.5
P027,O-Ring Set OR-50,Seals,Generic,40870,3476,19617600,0.0854462770181498,480.0,11.75776754890679,260,480,84.6
P026,Grease Cartridge GC-5,Lubricants,Generic,40407,3428,12526170,0.0545588956751303,310.0,11.787339556592766,180,310,72.2
