product_id,product_name,category,total_units_sold,total_current_stock,total_reorder_level,total_safety_stock,total_max_stock,stock_to_sales_ratio,sales_revenue,revenue_share_pct,stock_movement_class,movement_class
P024,Track Roller TR-60,Undercarriage,39486,656188,432,276,1987,16.61824444106772,406705800,1.7714448480796958,Dead Stock,Dead Stock
P023,Idler Wheel IW-55,Undercarriage,40276,661520,336,211,1583,16.424669778528155,521574200,2.2717648223391183,Dead Stock,Dead Stock
P005,Fuel Injector FI-220,Engine,40480,658820,433,302,2108,16.275197628458496,342056000,1.4898566456508575,Dead Stock,Dead Stock
P014,Transmission Assembly TA-800,Transmission,40574,661663,374,241,1918,16.307561492581456,3387929000,14.75643910834268,Dead Stock,Dead Stock
P018,Wheel Rim WR-24,Undercarriage,40752,650455,485,353,2409,15.96130251276011,460497600,2.005740024049484,Dead Stock,Dead Stock
P015,Engine Block EB-600,Engine,40815,632583,409,299,1832,15.498787210584345,4856985000,21.15504882263878,Normal,Normal
P027,O-Ring Set OR-50,Seals,40870,630991,310,219,1592,15.438977244922926,19617600,0.0854462770181498,Normal,Normal
P004,Track Chain TC-45,Undercarriage,40891,638882,380,272,1851,15.624024846543248,1627461800,7.088560873871256,Normal,Normal
P020,Pivot Pin PP-12,Pins & Bushes,40915,625266,339,251,1632,15.282072589514849,47052250,0.2049404406159387,Normal,Normal
P002,Engine Oil Filter OF-90,Filters,40917,655012,419,302,1979,16.00830950460689,29460240,0.1283168087870676,Normal,Normal
P017,Fan Belt FB-30,Belts,40920,659066,412,334,2168,16.106207233626588,21278400,0.0926800455154045,Normal,Normal
P008,Bucket Tooth BT-10,Attachments,41059,624694,474,323,2355,15.214544923159355,23814220,0.1037250448113512,Normal,Normal
P025,Cabin Glass CG-20,Cabin,41091,651781,437,328,2134,15.861891898469253,322564350,1.4049589555439728,Normal,Normal
P028,Light Assembly LA-18,Electrical,41292,624246,425,312,2077,15.117843650101715,92907000,0.4046650588718929,Normal,Normal
P022,Control Valve CV-75,Hydraulic,41297,647348,436,267,2022,15.67542436496598,697919300,3.039852267561436,Normal,Normal
P001,Hydraulic Pump HP-300,Hydraulic,41304,643984,433,309,2347,15.591322874297887,1011948000,4.4076334075505,Normal,Normal
P019,Swing Motor SWM-350,Hydraulic,41543,622249,355,237,1850,14.978431986134847,1653411400,7.201586764403747,Normal,Normal
P012,Brake Pad BP-40,Brakes,41549,663107,361,254,1836,15.95963801776216,101795050,0.4433777853242197,Normal,Normal
P030,Fuel Pump FP-350,Engine,41595,632290,334,239,1729,15.2011059021517,910930500,3.9676423133962224,Normal,Normal
P003,Air Filter AF-120,Filters,41712,650115,435,286,2197,15.585802646720367,52140000,0.2271006078075979,Normal,Normal
P016,Radiator RD-250,Cooling,41770,633960,346,239,1732,15.177400047881257,426054000,1.855717728401579,Normal,Normal
P006,Alternator ALT-500,Electrical,41843,647154,332,233,1715,15.466242860215567,468641600,2.0412119716901644,Normal,Normal
P021,Boom Cylinder BC-400,Hydraulic,41864,630617,457,277,2165,15.063467418306898,1934116800,8.424225179341892,Normal,Normal
P011,Hydraulic Cylinder HC-200,Hydraulic,42093,650389,391,275,1976,15.451238923336422,1161766800,5.060183091881243,Normal,Normal
P007,Hydraulic Hose HH-60,Hydraulic,42156,656823,464,324,2529,15.580771420438372,61126200,0.2662408356917681,Normal,Normal
P010,Turbocharger TB-900,Engine,42292,661248,301,230,1524,15.6352974557836,1475990800,6.428814879141209,Normal,Normal
P029,Pressure Sensor PS-90,Sensors,42702,634978,288,217,1462,14.869982670600908,168672900,0.7346704662575791,Normal,Normal
P013,Seal Kit SK-15,Seals,39927,634580,284,188,1484,15.893505647807247,57894150,0.2521633420311516,Slow-Moving,Slow-Moving
P026,Grease Cartridge GC-5,Lubricants,40407,631316,338,266,1760,15.623926547380403,12526170,0.0545588956751303,Slow-Moving,Slow-Moving
P009,Starter Motor SM-700,Electrical,40547,631941,399,273,1963,15.585394727106817,604150300,2.631432687708911,Slow-Moving,Slow-Moving
