operational_risk_rank,product_id,branch_id,stock_variance,shrinkage_pct,anomaly_event_count,high_frequency_events,operational_risk_score,operational_risk_class,primary_risk_driver
1,P025,HYD001,-851,-0.7434651942968968,27,21,100,High Risk,Stock Shrinkage
2,P021,DEL001,-827,-0.7084786128554172,27,17,100,High Risk,Stock Shrinkage
3,P025,CHN001,-772,-0.6965623026256429,38,29,100,High Risk,Stock Shrinkage
4,P028,DEL001,-769,-0.7152623403681415,29,19,100,High Risk,Stock Shrinkage
5,P013,KOL001,-740,-0.697317213369644,27,22,100,High Risk,Stock Shrinkage
6,P015,CHN001,-720,-0.6284312784212409,36,30,100,High Risk,Stock Shrinkage
7,P026,AHM001,-718,-0.6870090229736583,28,22,100,High Risk,Stock Shrinkage
8,P028,CHN001,-712,-0.6834587620949163,24,17,100,High Risk,Stock Shrinkage
9,P005,CHN001,-696,-0.605412176091438,45,29,100,High Risk,Stock Shrinkage
10,P013,PUN001,-678,-0.6463359993898893,25,17,100,High Risk,Stock Shrinkage
11,P004,PUN001,-671,-0.6358381502890174,28,17,100,High Risk,Stock Shrinkage
12,P012,DEL001,-658,-0.5456912780620495,29,17,100,High Risk,Stock Shrinkage
13,P011,KOL001,-650,-0.5892004097209003,34,28,100,High Risk,Stock Shrinkage
14,P013,AHM001,-646,-0.6503377528112511,29,20,100,High Risk,Stock Shrinkage
15,P002,CHN001,-645,-0.605463249788792,27,22,100,High Risk,Stock Shrinkage
16,P011,PUN001,-644,-0.5890154113504367,24,11,100,High Risk,Stock Shrinkage
17,P012,KOL001,-640,-0.5804198975196119,28,21,100,High Risk,Stock Shrinkage
18,P029,KOL001,-637,-0.6029513379461793,31,22,100,High Risk,Stock Shrinkage
19,P005,HYD001,-616,-0.5428221464386109,32,19,100,High Risk,Stock Shrinkage
20,P006,DEL001,-616,-0.6161602016524296,16,11,100,High Risk,Stock Shrinkage
21,P012,HYD001,-600,-0.5617504142909305,21,13,100,High Risk,Stock Shrinkage
22,P013,DEL001,-598,-0.548030572407852,30,16,100,High Risk,Stock Shrinkage
23,P030,HYD001,-586,-0.5570501059916158,27,17,100,High Risk,Stock Shrinkage
24,P003,KOL001,-586,-0.5294590663088752,25,14,100,High Risk,Stock Shrinkage
25,P020,AHM001,-572,-0.5538449621410174,31,25,100,High Risk,Stock Shrinkage
26,P010,AHM001,-566,-0.4891327831309683,32,25,100,High Risk,Stock Shrinkage
27,P023,HYD001,-563,-0.5293293594456615,19,12,100,High Risk,Stock Shrinkage
28,P008,AHM001,-556,-0.50620464870672,32,24,100,High Risk,Stock Shrinkage
29,P027,DEL001,-556,-0.5180236837446777,27,14,100,High Risk,Stock Shrinkage
30,P014,HYD001,-546,-0.4881057741303939,29,19,100,High Risk,Stock Shrinkage
31,P021,CHN001,-540,-0.5325076178173105,34,26,100,High Risk,Stock Shrinkage
32,P006,CHN001,-538,-0.4837302978807577,23,18,100,High Risk,Stock Shrinkage
33,P008,CHN001,-532,-0.4884632688476123,39,30,100,High Risk,Stock Shrinkage
34,P023,KOL001,-530,-0.4716099696567925,36,27,100,High Risk,Stock Shrinkage
35,P010,CHN001,-530,-0.465095871177219,28,15,100,High Risk,Stock Shrinkage
36,P026,HYD001,-530,-0.4867833722147724,20,15,100,High Risk,Stock Shrinkage
37,P030,DEL001,-526,-0.5074428162111579,31,18,100,High Risk,Stock Shrinkage
38,P001,CHN001,-526,-0.5265317971150862,25,14,100,High Risk,Stock Shrinkage
39,P026,PUN001,-525,-0.4966182660927966,23,16,100,High Risk,Stock Shrinkage
40,P030,KOL001,-522,-0.5019858251512208,25,17,100,High Risk,Stock Shrinkage
41,P005,KOL001,-516,-0.4927519624133386,23,13,100,High Risk,Stock Shrinkage
42,P020,KOL001,-514,-0.5135686023740058,26,15,100,High Risk,Stock Shrinkage
43,P002,KOL001,-514,-0.4754944587318914,21,17,100,High Risk,Stock Shrinkage
44,P001,HYD001,-512,-0.468504081109769,22,10,100,High Risk,Stock Shrinkage
45,P020,HYD001,-504,-0.4886561954624782,25,16,100,High Risk,Stock Shrinkage
46,P010,HYD001,-502,-0.453367290724033,30,19,100,High Risk,Stock Shrinkage
47,P019,HYD001,-502,-0.4994527907670879,22,13,100,High Risk,Stock Shrinkage
48,P016,DEL001,-496,-0.4738023594593303,26,18,100,High Risk,Stock Shrinkage
49,P009,CHN001,-494,-0.4412684234033051,40,33,100,High Risk,Stock Shrinkage
50,P005,DEL001,-494,-0.4436222565465713,24,10,100,High Risk,Stock Shrinkage
51,P004,HYD001,-494,-0.4473138531470431,23,13,100,High Risk,Stock Shrinkage
52,P030,AHM001,-480,-0.4627487274409995,31,23,100,High Risk,Stock Shrinkage
53,P028,KOL001,-478,-0.4538161380056775,28,23,100,High Risk,Stock Shrinkage
54,P025,KOL001,-472,-0.4250299411981882,41,26,100,High Risk,Stock Shrinkage
55,P008,KOL001,-466,-0.4663404285128144,22,18,100,High Risk,Stock Shrinkage
56,P023,CHN001,-464,-0.4307023976385627,44,29,100,High Risk,Stock Shrinkage
57,P016,KOL001,-460,-0.4680076102107052,19,11,100,High Risk,Stock Shrinkage
58,P004,KOL001,-454,-0.4108746017955401,38,24,100,High Risk,Stock Shrinkage
59,P014,CHN001,-448,-0.3904139433551198,44,32,100,High Risk,Stock Shrinkage
60,P027,KOL001,-446,-0.4419210685373997,26,19,100,High Risk,Stock Shrinkage
61,P024,PUN001,-442,-0.3982089606025388,28,20,100,High Risk,Stock Shrinkage
62,P009,HYD001,-440,-0.4377630309120394,26,19,100,High Risk,Stock Shrinkage
63,P014,PUN001,-438,-0.3848046106269328,19,15,100,High Risk,Stock Shrinkage
64,P015,DEL001,-436,-0.4299675552005364,17,13,100,High Risk,Stock Shrinkage
65,P017,CHN001,-432,-0.4048810661868076,40,31,100,High Risk,Stock Shrinkage
66,P016,AHM001,-432,-0.3880529979788906,35,25,100,High Risk,Stock Shrinkage
67,P023,AHM001,-430,-0.3739520645632588,26,22,100,High Risk,Stock Shrinkage
68,P025,AHM001,-428,-0.4370022462732285,25,17,100,High Risk,Stock Shrinkage
69,P012,CHN001,-426,-0.3933082206957677,38,28,100,High Risk,Stock Shrinkage
70,P026,KOL001,-424,-0.416355709179465,30,20,100,High Risk,Stock Shrinkage
71,P017,KOL001,-424,-0.3910465105554889,28,19,100,High Risk,Stock Shrinkage
72,P013,CHN001,-422,-0.3947688450672604,38,27,100,High Risk,Stock Shrinkage
73,P015,PUN001,-416,-0.3907424105801022,26,15,100,High Risk,Stock Shrinkage
74,P013,HYD001,-416,-0.3723894692554896,22,13,100,High Risk,Stock Shrinkage
75,P022,DEL001,-414,-0.3724160264829174,32,21,100,High Risk,Stock Shrinkage
76,P019,PUN001,-412,-0.3752276867030965,29,18,100,High Risk,Stock Shrinkage
77,P029,HYD001,-408,-0.3605928570797281,23,14,100,High Risk,Stock Shrinkage
78,P018,DEL001,-402,-0.3494770883864069,30,22,100,High Risk,Stock Shrinkage
79,P014,AHM001,-402,-0.38015262844336,25,18,100,High Risk,Stock Shrinkage
80,P021,AHM001,-396,-0.3647617994915441,33,24,100,High Risk,Stock Shrinkage
81,P029,DEL001,-388,-0.3559306485643518,23,11,100,High Risk,Stock Shrinkage
82,P023,PUN001,-386,-0.3550600658608827,32,26,100,High Risk,Stock Shrinkage
83,P007,KOL001,-384,-0.3845884202830331,26,19,100,High Risk,Stock Shrinkage
84,P028,AHM001,-382,-0.3748037676609105,27,22,100,High Risk,Stock Shrinkage
85,P024,HYD001,-380,-0.3711734943054172,16,10,100,High Risk,Stock Shrinkage
86,P027,PUN001,-374,-0.3308065842893408,25,17,100,High Risk,Stock Shrinkage
87,P015,AHM001,-372,-0.3525832409224033,33,24,100,High Risk,Stock Shrinkage
88,P017,AHM001,-370,-0.335476149459158,25,15,100,High Risk,Stock Shrinkage
89,P015,HYD001,-370,-0.3351297495584439,15,10,100,High Risk,Stock Shrinkage
90,P007,DEL001,-366,-0.3054964317015149,31,17,100,High Risk,Stock Shrinkage
91,P007,PUN001,-364,-0.3284368571119211,29,19,100,High Risk,Stock Shrinkage
92,P027,AHM001,-362,-0.3330297426839253,22,19,100,High Risk,Stock Shrinkage
93,P002,PUN001,-362,-0.3549541599254792,21,12,100,High Risk,Stock Shrinkage
94,P007,AHM001,-360,-0.3377681034320992,34,22,100,High Risk,Stock Shrinkage
95,P014,KOL001,-356,-0.3347437705688763,34,22,100,High Risk,Stock Shrinkage
96,P004,DEL001,-354,-0.3203648901800016,30,20,100,High Risk,Stock Shrinkage
97,P022,PUN001,-354,-0.3169004628179075,29,18,100,High Risk,Stock Shrinkage
98,P022,HYD001,-350,-0.3087862934175585,26,14,100,High Risk,Stock Shrinkage
99,P002,HYD001,-350,-0.2883910252712935,24,15,100,High Risk,Stock Shrinkage
100,P022,CHN001,-348,-0.318072553446243,38,30,100,High Risk,Stock Shrinkage
101,P002,AHM001,-348,-0.3145705840346389,33,27,100,High Risk,Stock Shrinkage
102,P021,HYD001,-340,-0.3406608821112959,27,19,100,High Risk,Stock Shrinkage
103,P010,PUN001,-338,-0.2941611620236199,26,17,100,High Risk,Stock Shrinkage
104,P005,AHM001,-336,-0.3097573567372225,34,18,100,High Risk,Stock Shrinkage
105,P009,KOL001,-336,-0.3030221043802927,32,26,100,High Risk,Stock Shrinkage
