product_id,product_name,category,sales_revenue,revenue_share_pct,cumulative_revenue_pct,abc_class
P015,Engine Block EB-600,Engine,4856985000,21.15504882263878,21.15504882263878,A
P014,Transmission Assembly TA-800,Transmission,3387929000,14.75643910834268,35.91148793098146,A
P021,Boom Cylinder BC-400,Hydraulic,1934116800,8.424225179341892,44.33571311032335,A
P019,Swing Motor SWM-350,Hydraulic,1653411400,7.201586764403747,51.5372998747271,A
P004,Track Chain TC-45,Undercarriage,1627461800,7.088560873871256,58.625860748598356,A
P010,Turbocharger TB-900,Engine,1475990800,6.428814879141209,65.05467562773957,A
P011,Hydraulic Cylinder HC-200,Hydraulic,1161766800,5.060183091881243,70.11485871962081,A
P001,Hydraulic Pump HP-300,Hydraulic,1011948000,4.4076334075505,74.5224921271713,A
P030,Fuel Pump FP-350,Engine,910930500,3.9676423133962224,78.49013444056753,A
P022,Control Valve CV-75,Hydraulic,697919300,3.039852267561436,81.52998670812896,B
P009,Starter Motor SM-700,Electrical,604150300,2.631432687708911,84.16141939583788,B
P023,Idler Wheel IW-55,Undercarriage,521574200,2.2717648223391183,86.43318421817699,B
P006,Alternator ALT-500,Electrical,468641600,2.0412119716901644,88.47439618986715,B
P018,Wheel Rim WR-24,Undercarriage,460497600,2.005740024049484,90.48013621391664,B
P016,Radiator RD-250,Cooling,426054000,1.855717728401579,92.33585394231822,B
P024,Track Roller TR-60,Undercarriage,406705800,1.7714448480796958,94.10729879039792,B
P005,Fuel Injector FI-220,Engine,342056000,1.4898566456508575,95.59715543604878,C
P025,Cabin Glass CG-20,Cabin,322564350,1.4049589555439728,97.00211439159276,C
P029,Pressure Sensor PS-90,Sensors,168672900,0.7346704662575791,97.73678485785032,C
P012,Brake Pad BP-40,Brakes,101795050,0.4433777853242197,98.18016264317455,C
P028,Light Assembly LA-18,Electrical,92907000,0.4046650588718929,98.58482770204644,C
P007,Hydraulic Hose HH-60,Hydraulic,61126200,0.2662408356917681,98.8510685377382,C
P013,Seal Kit SK-15,Seals,57894150,0.2521633420311516,99.10323187976935,C
P003,Air Filter AF-120,Filters,52140000,0.2271006078075979,99.33033248757695,C
P020,Pivot Pin PP-12,Pins & Bushes,47052250,0.2049404406159387,99.5352729281929,C
P002,Engine Oil Filter OF-90,Filters,29460240,0.1283168087870676,99.66358973697996,C
P008,Bucket Tooth BT-10,Attachments,23814220,0.1037250448113512,99.76731478179131,C
P017,Fan Belt FB-30,Belts,21278400,0.0926800455154045,99.85999482730672,C
P027,O-Ring Set OR-50,Seals,19617600,0.0854462770181498,99.94544110432487,C
P026,Grease Cartridge GC-5,Lubricants,12526170,0.0545588956751303,100.0,C
