product_id,product_name,category,total_units_sold,total_current_stock,stock_to_sales_ratio,inventory_turnover,days_inventory_outstanding,stock_movement_class,stock_health_score,stock_health_class
P024,Track Roller TR-60,Undercarriage,39486,656188,16.61824444106772,0.12012576607327836,3038.4821835587295,Dead Stock,30,At Risk
P023,Idler Wheel IW-55,Undercarriage,40276,661520,16.424669778528155,0.12160058934439964,3001.6301891945577,Dead Stock,30,At Risk
P014,Transmission Assembly TA-800,Transmission,40574,661663,16.307561492581456,0.12245316786532384,2980.7313797012866,Dead Stock,30,At Risk
P005,Fuel Injector FI-220,Engine,40480,658820,16.275197628458496,0.12266759596663611,2975.520936264822,Dead Stock,30,At Risk
P018,Wheel Rim WR-24,Undercarriage,40752,650455,15.96130251276011,0.12504295743531837,2918.9968590498625,Dead Stock,30,At Risk
P017,Fan Belt FB-30,Belts,40920,659066,16.106207233626588,0.12395023210377651,2944.7302663734117,Normal,70,Watch
P002,Engine Oil Filter OF-90,Filters,40917,655012,16.00830950460689,0.1247152020750815,2926.668071950534,Normal,70,Watch
P012,Brake Pad BP-40,Brakes,41549,663107,15.95963801776216,0.1251259194567206,2917.0614816241064,Normal,70,Watch
P013,Seal Kit SK-15,Seals,39927,634580,15.893505647807249,0.12567753876371604,2904.2580208881204,Slow-Moving,80,Watch
P026,Grease Cartridge GC-5,Lubricants,40407,631316,15.623926547380405,0.1278008928698507,2856.005085752469,Slow-Moving,80,Watch
P009,Starter Motor SM-700,Electrical,40547,631941,15.585394727106815,0.1280966213793441,2849.4116087503394,Slow-Moving,80,Watch
P025,Cabin Glass CG-20,Cabin,41091,651781,15.861891898469251,0.1258549135515092,2900.16487795381,Normal,100,Healthy
P022,Control Valve CV-75,Hydraulic,41297,647348,15.675424364965979,0.1273551230238091,2866.001707145798,Normal,100,Healthy
P010,Turbocharger TB-900,Engine,42292,661248,15.635297455783599,0.12774376338467208,2857.2823465430815,Normal,100,Healthy
P004,Track Chain TC-45,Undercarriage,40891,638882,15.624024846543248,0.1277889674160165,2856.271612335233,Normal,100,Healthy
P001,Hydraulic Pump HP-300,Hydraulic,41304,643984,15.591322874297889,0.12801686063630305,2851.1869310478405,Normal,100,Healthy
P003,Air Filter AF-120,Filters,41712,650115,15.585802646720369,0.12807251055833682,2849.9480365362488,Normal,100,Healthy
P007,Hydraulic Hose HH-60,Hydraulic,42156,656823,15.580771420438372,0.1280936363387754,2849.4780102476516,Normal,100,Healthy
P015,Engine Block EB-600,Engine,40815,632583,15.498787210584345,0.1288138802755225,2833.5455714810732,Normal,100,Healthy
P006,Alternator ALT-500,Electrical,41843,647154,15.466242860215567,0.12911238513709494,2826.994479363334,Normal,100,Healthy
P011,Hydraulic Cylinder HC-200,Hydraulic,42093,650389,15.451238923336422,0.1292123794380015,2824.806737462286,Normal,100,Healthy
P027,O-Ring Set OR-50,Seals,40870,630991,15.438977244922926,0.12936184759230918,2821.5428798629805,Normal,100,Healthy
P020,Pivot Pin PP-12,Pins & Bushes,40915,625266,15.282072589514847,0.13067250911018777,2793.2424538677747,Normal,100,Healthy
P008,Bucket Tooth BT-10,Attachments,41059,624694,15.214544923159355,0.13117744689755864,2782.4905014734895,Normal,100,Healthy
P030,Fuel Pump FP-350,Engine,41595,632290,15.201105902151701,0.13137178420222317,2778.3743839403774,Normal,100,Healthy
P016,Radiator RD-250,Cooling,41770,633960,15.177400047881255,0.1315704509839435,2774.1791357433567,Normal,100,Healthy
P028,Light Assembly LA-18,Electrical,41292,624246,15.117843650101715,0.13203996501701984,2764.3145766734474,Normal,100,Healthy
P021,Boom Cylinder BC-400,Hydraulic,41864,630617,15.063467418306898,0.13251393146715243,2754.4273719663674,Normal,100,Healthy
P019,Swing Motor SWM-350,Hydraulic,41543,622249,14.978431986134849,0.13330124579853841,2738.1589557807574,Normal,100,Healthy
P029,Pressure Sensor PS-90,Sensors,42702,634978,14.869982670600908,0.1343315979049027,2717.156690553136,Normal,100,Healthy
